ages,birth_year,1.5C,2C
0,2017,44.31294100011369,123.3001493258096
1,2016,49.51091075969102,127.95472489617686
2,2015,55.14000270848307,133.1272130473881
3,2014,60.75602549771102,138.28663203903523
4,2013,66.38549880770718,143.4475537275538
5,2012,71.95935897245104,148.5409123986058
6,2011,77.55351578840286,153.64261579980723
7,2010,83.03106353693029,158.6157561631544
8,2009,88.22776275294508,163.29609197366082
9,2008,93.21403872853716,167.753891746553
10,2007,98.0885360511423,172.08779089306262
11,2006,102.78541255668785,176.2319380624814
12,2005,107.33251432305738,180.21417013561012
13,2004,111.69828182097187,184.00291837562443
14,2003,115.87585182495349,187.59661661593384
15,2002,119.81812927781748,190.9481572989466
16,2001,123.53959944625869,194.0720131567144
17,2000,127.1413630087033,197.0692722986586
18,1999,130.7131466674012,200.02964882353737
19,1998,134.18306439438385,202.88085730450103
20,1997,137.5987045737436,205.67046357821798
21,1996,141.09647916815558,208.53485695534505
22,1995,144.5805748695305,211.37820137053268
23,1994,147.98840466241208,214.1378869451691
24,1993,151.29541645242898,216.77581138073242
25,1992,154.5013995026495,219.29168129992146
26,1991,157.60447820734154,221.6835379665265
27,1990,160.62088923417969,223.9675344237535
28,1989,163.53691611687384,226.1298700829308
29,1988,166.41468087917087,228.23259186488437
30,1987,169.22330139731883,230.24473308141427
31,1986,171.88410740012336,232.0875383935004
32,1985,174.4586900149268,233.82251335327817
33,1984,176.95847390977212,235.46099654215968
34,1983,179.33770088542502,236.95503164882547
35,1982,181.60375167511398,238.31190993862617
36,1981,183.7862492318694,239.56116439321144
37,1980,185.89627690014848,240.7137878783696
38,1979,187.99964621473862,241.83550093910958
39,1978,190.0844024609285,242.91343428369242
40,1977,192.0831588958936,243.880064585607
41,1976,193.99127184176623,244.73061046837884
42,1975,195.7801998788836,245.4363916866507
43,1974,197.4523224435984,245.9996477116593
44,1973,199.02960960160456,246.44561557350158
45,1972,200.55790941385598,246.81998459304555
46,1971,201.96545574819217,247.05082820864368
47,1970,203.27031658333593,247.15605225607257
48,1969,204.42933220727198,247.09233314242408
49,1968,205.3675873287825,246.78420613941205
50,1967,206.14220653040744,246.28861090534758
51,1966,206.7876382489053,245.63980877506455
52,1965,207.38368527462276,244.91741322496182
53,1964,207.8682157384388,244.0591008249397
54,1963,208.20744101082298,243.02559599934528
55,1962,208.432898412528,241.84817109642705
56,1961,208.54241021909283,240.5243798797633
57,1960,208.61000243072132,239.1279762348193
58,1959,208.6925592120056,237.7155685439272
59,1958,208.61429657835998,236.11008897199008
60,1957,208.44561068780845,234.38159819808072
61,1956,208.1855560718182,232.52881001304604
62,1955,207.83317235514863,230.55041792874655
63,1954,207.38748394082782,228.4450947494999
64,1953,206.79718478850467,226.2288654414965
65,1952,206.06051390710414,223.90037945009843
66,1951,205.17567794190768,221.45826140005974
67,1950,204.14085037662227,218.90111048357102
68,1949,202.9541707107065,216.22749982932598
69,1948,201.61265347850662,213.43416294877758
70,1947,200.11419670528332,210.5194745160484
71,1946,198.45665532120583,207.48177588251602
72,1945,196.63783997518695,204.31937415962625
73,1944,194.65551580762505,201.03054126993084
74,1943,192.4417715564928,197.6348685562621
75,1942,189.9928842826954,194.13063724749423
76,1941,187.30504048023224,190.5160867604337
77,1940,184.374333114588,186.78941333253098
78,1939,181.19675853906472,182.94876859824325
79,1938,177.763890174527,178.98740131117555
80,1937,174.0709192041907,174.90303749262932
81,1936,170.11289964822276,170.69333830265998
82,1935,165.8847430972234,166.35589754966068
83,1934,161.38121319048884,161.8882390792611
84,1933,156.82815833871666,157.35934566005506
85,1932,152.2245442240162,152.76793841322623
86,1931,148.65282234089233,149.1962165301023
87,1930,145.14191032943762,145.68530451864763
88,1929,141.64406747754703,142.18746166675706
89,1928,138.12667310203062,138.67006729124066
90,1927,134.65878982296184,135.2021840121719
91,1926,131.16450679766442,131.70790098687445
92,1925,127.7807286982856,128.32412288749563
93,1924,124.67169394315927,125.21508813236929
94,1923,121.7673373945317,122.31073158374173
95,1922,118.96901011274315,119.5124043019532
96,1921,116.34254990469508,116.88594409390512
97,1920,113.86010633037748,114.40350051958751
98,1919,111.55323455198057,112.09662874119059
99,1918,109.41806887700626,109.96146306621631
100,1917,107.50167427888596,108.04506846809605
