ages,birth_year,1.5C,2C
0,2017,37.482309483997696,106.1168011260968
1,2016,42.680279243575015,110.77137669646405
2,2015,47.81743913148315,115.36514239516208
3,2014,52.941529859827156,119.94583893429608
4,2013,58.073749459807786,124.53664870099165
5,2012,63.14513708642495,129.06859316976872
6,2011,68.23170400324736,133.61766615896587
7,2010,73.19664462875745,138.04704487293014
8,2009,77.87581832838079,142.19257168998263
9,2008,82.3393569652533,146.1243839773013
10,2007,86.68600588238655,149.9412101801841
11,2006,90.85002240950355,153.57729095267402
12,2005,94.85935087860723,157.06055416925471
13,2004,98.6825287964854,160.35952109356654
14,2003,102.3176814927801,163.47116881837283
15,2002,105.71787351600048,166.34855628861078
16,2001,108.897748285035,169.00632138604539
17,2000,111.95856320149278,171.54571604056378
18,1999,114.9902002858125,174.05661686525843
19,1998,117.92053788267845,176.4666191085981
20,1997,120.79731707395004,178.82346115589937
21,1996,123.75710170822089,181.26370418632754
22,1995,126.70422956678725,183.6916833385031
23,1994,129.5762639421405,186.0449592886377
24,1993,132.3841678076539,188.3168231806711
25,1992,135.12789026438878,190.50732870747558
26,1991,137.80571635586338,192.6148645577256
27,1990,140.43404421833594,194.65593157757
28,1989,142.99931968156375,196.61707738261072
29,1988,145.56366635384288,198.56073825087958
30,1987,148.0963672913358,200.4563071370058
31,1986,150.5189182137895,202.22538856857602
32,1985,152.89307705924,203.92984821522217
33,1984,155.23043613495153,205.58138505370843
34,1983,157.4561182073227,207.0953495791637
35,1982,159.57799542134845,208.47980884486165
36,1981,161.62617974441366,209.76506753416882
37,1980,163.61224119718,210.96288622418686
38,1979,165.60247571086808,212.1397492751808
39,1978,167.5854458604374,213.28333346454812
40,1977,169.49422567541149,214.32683912212445
41,1976,171.3246331036275,215.2662095785045
42,1975,173.0485892419726,216.0734904046457
43,1974,174.66893697185677,216.7516480560999
44,1973,176.21047245704395,217.3293754718214
45,1972,177.71952464977238,217.85305713051457
46,1971,179.12481200756,218.25146680250592
47,1970,180.44489085716896,218.5432159148029
48,1969,181.63709365397602,218.6856918115528
49,1968,182.6270160387086,218.60420599104148
50,1967,183.47229430151498,218.35643640807004
51,1966,184.2078935511313,217.97738971604286
52,1965,184.91413829659547,217.54743184914216
53,1964,185.5294235181441,217.0049990936829
54,1963,186.02299607263637,216.31430378489543
55,1962,186.42717697582367,215.50767990636382
56,1961,186.74058224400642,214.5837564327224
57,1960,187.0380418440455,213.61737627967716
58,1959,187.37725431726682,212.6662509279185
59,1958,187.58301435622872,211.55343202151062
60,1957,187.72651350703853,210.35004951942958
61,1956,187.80761584537663,209.05590570854469
62,1955,187.8261850013241,207.6708022275642
63,1954,187.78208415741278,206.19454006419912
64,1953,187.62945051060302,204.63818870726433
65,1952,187.36774143454838,203.0013477385883
66,1951,186.9964102232888,201.283613729546
67,1950,186.5149060502528,199.484580210805
68,1949,185.9226739267425,197.6038376416916
69,1948,185.21764334075988,195.63823551673042
70,1947,184.39902159171504,193.58717747832503
71,1946,183.46600759339856,191.45006086028255
72,1945,182.41779175528617,189.2262765985183
73,1944,181.25355586173583,186.91520914017394
74,1943,179.89739347695323,184.5234158156937
75,1942,178.34726442091073,182.05003850852074
76,1941,176.60109580906223,179.49420534630804
77,1940,174.65678134957528,176.855030405328
78,1939,172.51218062158242,174.13161340689945
79,1938,170.15997795898926,171.317156578278
80,1937,167.59722626234253,168.41036752575678
81,1936,164.82091522841043,165.4099261388292
82,1935,161.8279695298704,162.3144837919261
83,1934,158.61524692898982,159.1226625172063
84,1933,155.41403938498866,155.9404259751662
85,1932,152.2245442240162,152.76793841322623
86,1931,148.65282234089233,149.1962165301023
87,1930,145.14191032943762,145.68530451864763
88,1929,141.64406747754703,142.18746166675706
89,1928,138.12667310203062,138.67006729124066
90,1927,134.65878982296184,135.2021840121719
91,1926,131.16450679766442,131.70790098687445
92,1925,127.7807286982856,128.32412288749563
93,1924,124.67169394315927,125.21508813236929
94,1923,121.7673373945317,122.31073158374173
95,1922,118.96901011274315,119.5124043019532
96,1921,116.34254990469508,116.88594409390512
97,1920,113.86010633037748,114.40350051958751
98,1919,111.55323455198057,112.09662874119059
99,1918,109.41806887700626,109.96146306621631
100,1917,107.50167427888596,108.04506846809605
