ages,birth_year,1.5C,2C
0,2017,41.91074342790628,120.23855721647932
1,2016,50.61774254900054,128.51816249627632
2,2015,56.7449068272946,134.1887229769896
3,2014,62.9011953645859,139.88840771670007
4,2013,69.01121059703192,145.52987132766847
5,2012,74.81944752767352,150.8576067646182
6,2011,80.73121132580279,156.27691714799704
7,2010,86.66462380533541,161.70592224234943
8,2009,92.55143058927649,167.07636562078213
9,2008,98.2806265050846,172.27708533389043
10,2007,104.28048748038864,177.73634813309891
11,2006,109.96749698207384,182.87062829865727
12,2005,115.70287223619832,188.04113385954102
13,2004,121.13281149544588,192.8940538608884
14,2003,126.47342610464486,197.6507967064151
15,2002,131.2424080485264,201.82904188044552
16,2001,135.7563176273198,205.74533714856548
17,2000,140.5321956801653,209.91671078091053
18,1999,145.56157088388304,214.33467885080918
19,1998,150.7505521429916,218.90495086389873
20,1997,155.76677295995881,223.29513777522308
21,1996,160.7591555273356,227.65413912531503
22,1995,165.69532246694868,231.9495547787408
23,1994,170.45417474012353,236.06026283367044
24,1993,175.05738242433978,239.99438316343316
25,1992,179.53587281891973,243.78276042698158
26,1991,184.12591975684362,247.66158532681843
27,1990,188.59788448923408,251.4011354895978
28,1989,192.9251809278239,254.97474070467084
29,1988,197.41713185273238,258.69164864923573
30,1987,202.06074735167718,262.5387848465626
31,1986,206.51020309895202,266.17023990311907
32,1985,210.6240978599078,269.44452700904924
33,1984,214.63053545245415,272.5896638956318
34,1983,218.8375699109334,275.9115064851238
35,1982,223.00444822504653,279.16921229934866
36,1981,227.11494301997192,282.346463992104
37,1980,231.1823212102689,285.45643799928
38,1979,235.49770581778427,288.79016635294516
39,1978,239.89194316505694,292.1775807986108
40,1977,243.99713620428693,295.25064770479025
41,1976,248.0393355830796,298.23528002048204
42,1975,252.04998107988462,301.1627786984416
43,1974,255.8802482483579,303.8841793272088
44,1973,259.74053297783144,306.6131447605183
45,1972,263.5476024416183,309.2662834315978
46,1971,267.2032610477951,311.74523931903644
47,1970,270.8151383515763,314.1574798351029
48,1969,274.1737132800564,316.29332002599836
49,1968,277.29447715386715,318.1677017752866
50,1967,280.0489123124176,319.6519224981476
51,1966,282.6342395704772,320.9430159074264
52,1965,285.0970561937998,322.0873899549288
53,1964,287.3507034731718,322.9981943704626
54,1963,289.4153251254197,323.6900859247318
55,1962,291.17045180591595,324.0423303006049
56,1961,293.0456232282885,324.48419869974896
57,1960,294.75253362874,324.727113243628
58,1959,296.2951982444913,324.7748133872028
59,1958,297.7966865082198,324.7490847126399
60,1957,299.00851910832574,324.4011124293879
61,1956,300.3420941252436,324.1419538772614
62,1955,301.4528595207566,323.6267109051445
63,1954,302.25953742427373,322.7737540437357
64,1953,302.8096749234782,321.69796138725985
65,1952,303.16302263139636,320.45949398518053
66,1951,303.460713574825,319.199902843767
67,1950,303.584552992623,317.80141891036163
68,1949,303.30264722523805,316.03258215464734
69,1948,302.02846640107333,313.30658168213427
70,1947,300.7361545106358,310.59803813219094
71,1946,299.12593412044106,307.6076604925412
72,1945,297.31954174777826,304.4576817430074
73,1944,295.3631016735805,301.19473294667625
74,1943,293.21020305050115,297.85990586106027
75,1942,290.84778186968657,294.4421406452754
76,1941,288.2240956725048,290.89174776349614
77,1940,285.4074536080682,287.2791396368011
78,1939,282.49887403196084,283.7074899019293
79,1938,279.4617016372626,280.141818584701
80,1937,276.11028112075496,276.3990052199836
81,1936,272.5409781660128,272.57802263123995
82,1935,268.6013501782295,268.5291104414568
83,1934,264.32218770877165,264.28581940833385
84,1933,260.03165493916896,260.0194480712973
85,1932,255.63083916444978,255.63083916444978
86,1931,251.9420050298476,251.9420050298476
87,1930,248.14365036277928,248.14365036277928
88,1929,244.33022310494442,244.33022310494442
89,1928,240.61637681158368,240.61637681158368
90,1927,237.1940034860868,237.1940034860868
91,1926,233.75097244540248,233.75097244540248
92,1925,230.11693575537015,230.11693575537015
93,1924,226.55213354186557,226.55213354186557
94,1923,223.14421127650533,223.14421127650533
95,1922,219.23649811986252,219.23649811986252
96,1921,215.54250200197197,215.54250200197197
97,1920,211.62804420644014,211.62804420644014
98,1919,208.0736870241313,208.0736870241313
99,1918,204.35762120685624,204.35762120685624
100,1917,201.06441637637715,201.06441637637715
