ages,birth_year,1.5C,2C
0,2017,-105.92448426367578,-50.48467679005167
1,2016,-97.21748514258148,-42.205071510254676
2,2015,-88.40202485455956,-33.81700506352992
3,2014,-79.55744030754026,-25.39981435780794
4,2013,-70.76376553788309,-17.06025910016711
5,2012,-62.276444708068546,-9.05363463890651
6,2011,-53.69011231204318,-0.9744278932836979
7,2010,-45.08658669133219,7.095689144100026
8,2009,-36.534062865134395,15.08866659074202
9,2008,-28.143122702859717,22.89395742264631
10,2007,-19.48543614859943,30.940025398614
11,2006,-11.144465983703737,38.64354041554462
12,2005,-2.7589416029697738,46.36590474269139
13,2004,5.317388256657185,53.75350030327047
14,2003,13.272580623309365,61.022443565140584
15,2002,20.62455658800772,67.69064537985442
16,2001,27.690104412178286,74.07488383252245
17,2000,34.986491761439716,80.69241647508207
18,1999,42.50547301464504,87.53498763482679
19,1998,50.15427743533542,94.50951626337809
20,1997,57.600733741858704,101.28382426631599
21,1996,64.99395887326182,108.00702180248756
22,1995,72.30176973433912,114.64691902884786
23,1994,79.40326111168696,121.08260401630913
24,1993,86.2098732819281,127.24092194610279
25,1992,92.75299733574164,133.15323300850764
26,1991,99.2693709633852,139.05624407509492
27,1990,105.5298193491778,144.72074959292362
28,1989,111.50822042402314,150.12059683677708
29,1988,117.51493741218172,155.5659820834074
30,1987,123.53735770876844,161.0442708228333
31,1986,129.23003478901293,166.2099946669542
32,1985,134.45194572112715,170.9221088623111
33,1984,139.43157313626216,175.40907425993797
34,1983,144.61412350194425,180.07593376472423
35,1982,149.75903402168024,184.68212689485577
36,1981,154.85026857751578,189.21161984670837
37,1980,159.9012863917859,193.6778741565984
38,1979,165.20340385294242,198.37220852661
39,1978,170.58828317572844,203.12585955835166
40,1977,175.68824144910351,207.5711148701133
41,1976,180.7295455703841,211.9342118329396
42,1975,185.7438537046632,216.24677902990985
43,1974,190.58256195348432,220.36018292467145
44,1973,195.44247784564323,224.50362038334072
45,1972,200.2406477188071,228.59415228663156
46,1971,204.8791589640664,232.53388060465613
47,1970,209.4659279954985,236.43073636660736
48,1969,213.79172453313026,240.0755039438403
49,1968,217.87365655921116,243.4842200245744
50,1967,221.58334082166505,246.52853963519868
51,1966,225.11813547078214,249.40585948646716
52,1965,228.52477809427063,252.16295601132674
53,1964,231.71675335207257,254.713353002545
54,1963,234.74661458791473,257.07282821968516
55,1962,237.4942185145184,259.12102634128985
56,1961,240.3894362318267,261.28760408351854
57,1960,243.14429880116143,263.2843757394603
58,1959,245.76316383624268,265.115479734661
59,1958,248.37018334426392,266.9042740405328
60,1957,250.7172725323031,268.4024022712211
61,1956,253.21623139467744,270.0213891799057
62,1955,255.52291737955827,271.41681325978254
63,1954,257.5564698577281,272.5075311457035
64,1953,259.38919155008176,273.386562648306
65,1952,261.08167789881264,274.11439133847074
66,1951,262.77592488804976,274.83289959073903
67,1950,264.35461934362047,275.4246588468748
68,1949,265.5867683410336,275.6585589867
69,1948,266.7249110202462,275.78639729057494
70,1947,267.7679350949386,275.80691883083705
71,1946,268.7147084203875,275.71884627474714
72,1945,269.56407851790823,275.5208793479458
73,1944,270.3148720849764,275.2116942817521
74,1943,270.8773780769059,274.8192827907987
75,1942,271.2489955403248,274.34249520788137
76,1941,271.4270692537446,273.78015787833243
77,1940,271.4088882072694,273.1310724880254
78,1939,271.19168402869184,272.39401536768173
79,1938,270.7707400077209,271.5654932043104
80,1937,270.142778659663,270.64403463484865
81,1936,269.30444277309886,269.62813250446936
82,1935,268.25229280287977,268.5162426962177
83,1934,266.98280415568587,267.3067829124151
84,1933,265.5649161729893,265.9434098153561
85,1932,263.99591844455404,264.42331228585135
86,1931,261.00016916905577,261.427563010353
87,1930,257.89595872662966,258.32335256792703
88,1929,254.7626240252064,255.19001786650367
89,1928,251.6694616257708,252.09685546706802
90,1927,248.871975479335,249.29936932063225
91,1926,245.96485937039083,246.3922532116881
92,1925,243.02999043853745,243.45738427983468
93,1924,240.13562201401558,240.5630158553128
94,1923,237.3931194237027,237.820513265
95,1922,234.37420238774604,234.8015962290433
96,1921,231.662383082089,232.08977692338627
97,1920,228.89643991854726,229.32383375984452
98,1919,226.430170277348,226.85756411864526
99,1918,224.03673389568704,224.46412773698432
100,1917,222.1984087050799,222.62580254637717
