ages,birth_year,1.5C,2C
0,2017,43.424782724524185,122.17407489012268
1,2016,63.4797257320115,141.38014567928727
2,2015,82.59877901776521,160.0425951674602
3,2014,101.49648173300885,178.48369408512298
4,2013,120.21104395905658,196.7297046896931
5,2012,139.37753603689254,215.4156952738372
6,2011,159.20448077712632,234.75018659932056
7,2010,179.16130033161258,254.2025987686266
8,2009,199.50591278655602,274.0308478180616
9,2008,220.2543688533591,294.25082768216487
10,2007,241.15131393806232,314.60717459077244
11,2006,262.15222763732083,335.0553589539041
12,2005,283.10508854174566,355.44335016508825
13,2004,304.08855662554583,375.8497989909882
14,2003,325.09309523569283,396.270465837463
15,2002,345.5881745542259,416.1748083861448
16,2001,365.87801492883386,435.86703445007936
17,2000,386.11737316182496,455.5018882625701
18,1999,406.1471187719429,474.92022673886885
19,1998,426.0148587307154,494.1692574516224
20,1997,445.5387702460425,513.0671350613067
21,1996,464.4612879207804,531.3562715187596
22,1995,483.076921006669,549.331153318461
23,1994,501.4637320691629,567.0698201627098
24,1993,519.3443818471253,584.2813825862187
25,1992,537.092297102972,601.3391847110339
26,1991,554.7320573001241,618.2677228700991
27,1990,572.2194545191606,635.0227055195245
28,1989,589.7671263597939,651.8166861366409
29,1988,607.4714485445145,668.745965341018
30,1987,624.3700458700818,684.8480833649671
31,1986,641.1654938776595,700.8255306818264
32,1985,657.1479397556707,715.968368904812
33,1984,673.4191438908213,731.3782723339989
34,1983,689.5489754357711,746.6229120099617
35,1982,705.0721105891814,761.2368746634836
36,1981,721.3686494134291,776.6001703855612
37,1980,737.5814327288667,791.8555495178778
38,1979,753.3034104595301,806.5958709946908
39,1978,768.0447905668512,820.330428200405
40,1977,782.6798015587929,833.9333130592962
41,1976,796.4053402189447,846.6012846563474
42,1975,809.2512665719389,858.364064190496
43,1974,822.3122787017503,870.3162097806012
44,1973,835.2400574798486,882.1126692625355
45,1972,848.195348784934,893.9140297749138
46,1971,860.250182132466,904.7921604037074
47,1970,872.0626595758013,915.405001059328
48,1969,883.5916989484598,925.711305694402
49,1968,894.906018057255,935.7792426786747
50,1967,905.8095111077713,945.4125212935014
51,1966,916.477159353686,954.7859356906357
52,1965,926.5887002577014,963.5790340188304
53,1964,936.970841589922,972.6183324872133
54,1963,946.3838721527733,980.6586329520856
55,1962,955.1668869382972,988.0387654329865
56,1961,963.4706833720289,994.9092588434897
57,1960,971.4514180528594,1001.4259976677473
58,1959,979.2890395315206,1007.7686546742324
59,1958,986.778454470174,1013.730852674594
60,1957,993.7339516812557,1019.1265450023178
61,1956,1000.4507322411156,1024.2505919931336
62,1955,1007.0935131097287,1029.267364494117
63,1954,1013.5667218194324,1034.080938438895
64,1953,1019.7551627424176,1038.6434492061994
65,1952,1025.0097015156757,1042.30617286946
66,1951,1030.3713264581438,1046.1105157270856
67,1950,1035.6167041454514,1049.83357006319
68,1949,1040.3595217432708,1053.08945667268
69,1948,1042.8916818799769,1054.169797161038
70,1947,1045.4272261512663,1055.2891097728211
71,1946,1047.8164059037324,1056.2981322758324
72,1945,1049.7719237587005,1056.9100637539298
73,1944,1051.2665706466871,1057.0982019197827
74,1943,1052.7929036569958,1057.4426064675547
75,1942,1054.254811254545,1057.8491700301338
76,1941,1055.7543245082816,1058.4219765992727
77,1940,1056.8099691626103,1058.6816551913432
78,1939,1056.907723257036,1058.1163391270045
79,1938,1057.2283395803936,1057.908456527832
80,1937,1056.7341922459527,1057.0229163451813
81,1936,1056.1279949634693,1056.1650394286964
82,1935,1055.0218927699775,1054.9496530332049
83,1934,1053.40459083935,1053.3682225389123
84,1933,1051.3918089785834,1051.3796021107116
85,1932,1049.1894847062406,1049.1894847062406
86,1931,1034.668486601506,1034.668486601506
87,1930,1019.8143295035896,1019.8143295035896
88,1929,1005.5918728953236,1005.5918728953236
89,1928,991.8612483263057,991.8612483263057
90,1927,978.1604477452744,978.1604477452744
91,1926,964.2943701026531,964.2943701026531
92,1925,950.2064351566831,950.2064351566831
93,1924,935.8759013902277,935.8759013902277
94,1923,921.0263948561396,921.0263948561396
95,1922,905.7235837987433,905.7235837987433
96,1921,890.3073678541007,890.3073678541007
97,1920,874.8043346097777,874.8043346097777
98,1919,859.8341338932021,859.8341338932021
99,1918,844.1568149164857,844.1568149164857
100,1917,829.2839905271218,829.2839905271218
