ages,birth_year,1.5C,2C
0,2017,186.54242348229752,398.71149588858435
1,2016,206.5973664897848,417.91756667774905
2,2015,226.8906764886486,437.3620044582901
3,2014,246.96263591700225,456.585091668321
4,2013,266.83049755010427,475.57617477216485
5,2012,287.12928639743507,494.9702309483909
6,2011,308.06747981903186,514.9756896030481
7,2010,329.11445439669916,535.0618792404523
8,2009,350.5280825267014,555.4866240554553
9,2008,372.3256128569519,576.2664088253641
10,2007,394.25161466714246,597.1457124011534
11,2006,416.26149105371024,618.0798470248914
12,2005,438.2031437308062,638.9166231280321
13,2004,460.1551554175441,659.7345317159685
14,2003,482.1014533720542,680.516425528473
15,2002,503.5113401628996,700.731468709095
16,2001,524.6888672488672,720.6835733408814
17,2000,545.7886212557759,740.5271857144562
18,1999,566.6513002259892,760.1028625687094
19,1998,587.3257600623531,779.4578618123787
20,1997,607.6299385021973,798.4098989112658
21,1996,627.306027930441,816.7009416877873
22,1995,646.6482925938986,834.6250275036859
23,1994,665.7345472257897,852.259741852403
24,1993,684.327532347191,869.29482008733
25,1992,702.8006371556723,886.1028599360042
26,1991,721.1784023343181,902.7076017445396
27,1990,739.4165799433375,919.0639882362892
28,1989,757.7277662969698,935.3837972533026
29,1988,776.2076723119924,951.7627464519627
30,1987,793.8938947691245,967.237689751315
31,1986,811.488980251595,982.5104232932056
32,1985,828.2830460299057,996.8703062235742
33,1984,845.3778215944002,1011.4183021197823
34,1983,862.2693468281387,1025.6917261963117
35,1982,878.4917219648596,1039.2241912157267
36,1981,895.424464312597,1053.3947220000673
37,1980,912.209825047973,1067.3450721561178
38,1979,928.4401574601512,1080.6670922491444
39,1978,943.6252340041983,1092.8683303864675
40,1977,958.63862334781,1104.8217421531062
41,1976,972.6765532608949,1115.7229347408245
42,1975,985.7682054187168,1125.6004616285898
43,1974,999.0075900544231,1135.5476971098992
44,1973,1012.0140771281914,1145.1791209199946
45,1972,1024.9470608996235,1154.6531923818345
46,1971,1036.8771938360253,1163.0396131229504
47,1970,1048.4611748986113,1170.9941149989156
48,1969,1059.6564921515762,1178.473202329275
49,1968,1070.5304824063176,1185.5433481690247
50,1967,1080.8856023346436,1192.0059990156315
51,1966,1090.895368182483,1198.0336433687755
52,1965,1100.2380242507527,1203.3034798012927
53,1964,1109.7387562929528,1208.63962993482
54,1963,1118.0986057987313,1212.7677468253526
55,1962,1125.6540433321538,1216.0234176350514
56,1961,1132.5531848557116,1218.553857376671
57,1960,1138.9494468612156,1220.5115635766006
58,1959,1145.0199774833395,1222.072746904848
59,1958,1150.5589391019075,1223.0330147051445
60,1957,1155.3781315538893,1223.2032976552402
61,1956,1159.7702168402366,1222.8753721533235
62,1955,1163.8973214100874,1222.2104621848002
63,1954,1167.661229469662,1221.1094322004346
64,1953,1170.7909316566258,1219.5403523635125
65,1952,1172.632637156966,1216.8515901419225
66,1951,1174.2225843459075,1214.081584520166
67,1950,1175.332593847942,1211.004400173482
68,1949,1175.5714082704906,1207.2310683524995
69,1948,1175.2794469621708,1203.102526230442
70,1947,1174.4490707164573,1198.6136614317952
71,1946,1173.0724742101218,1193.759250410996
72,1945,1171.1416811517272,1188.5339552056664
73,1944,1168.648539251709,1182.9323200704468
74,1943,1165.5342511681379,1177.0110692839705
75,1942,1161.7889115713872,1170.7651059810166
76,1941,1157.4023762891145,1164.1892103979699
77,1940,1152.3642545652374,1157.2780358896111
78,1939,1146.6639010027307,1150.026104783222
79,1938,1140.267198327164,1142.4024337130372
80,1937,1133.160056978085,1134.3995010888166
81,1936,1125.327955403604,1126.0095547054195
82,1935,1116.755922218003,1117.2246022177994
83,1934,1107.4285174285696,1108.036401119109
84,1933,1097.8410924454024,1098.5758102296925
85,1932,1087.987129467676,1088.8360016859988
86,1931,1077.1541203743711,1078.0029925926938
87,1930,1066.0827442896896,1066.9316165080122
88,1929,1055.2327187755182,1056.081590993841
89,1928,1044.5597327476848,1045.4086049660077
90,1927,1033.428714819259,1034.2775870375817
91,1926,1021.6311411334143,1022.4800133517372
92,1925,1009.6975884918116,1010.5464607101344
93,1924,997.3701377614917,998.2190099798142
94,1923,984.633098385388,985.4819706037108
95,1922,971.7418206052364,972.5906928235589
96,1921,958.7408204672104,959.5896926855334
97,1920,945.7821150185724,946.6309872368953
98,1919,932.7870399180248,933.6359121363473
99,1918,919.75440290062,920.6032751189425
100,1917,907.2147037005657,908.0635759188882
