ages,birth_year,1.5C,2C
0,2017,45.78779088776643,123.74493052007419
1,2016,46.409540110423116,124.3099600576989
2,2015,48.208130177100536,125.65194632679552
3,2014,50.001149644663755,126.98836199677791
4,2013,51.715551221147116,128.23421195178366
5,2012,53.406815402097514,129.44497463904216
6,2011,55.08320434968933,130.62891017188358
7,2010,56.732071114248754,131.7733695512628
8,2009,58.35749026531879,132.8824252968244
9,2008,59.941392586919406,133.93785141572522
10,2007,61.49653540343722,134.95239605614745
11,2006,63.01857493083721,135.92170624742064
12,2005,64.53272475491029,136.870986378253
13,2004,66.01628768484896,137.77753005029146
14,2003,67.47535815735522,138.65272875912552
15,2002,68.90770129473405,139.49433512665317
16,2001,70.31342487213662,140.3024443933823
17,2000,71.6975016767256,141.08201677747084
18,1999,73.0353213929569,141.808429359883
19,1998,74.3419768822715,142.4963756031786
20,1997,75.62777073669949,143.15613555196376
21,1996,76.90981712636523,143.8048007243446
22,1995,78.1717472593017,144.42597957109376
23,1994,79.41181940617051,145.0179074997174
24,1993,80.58465822157544,145.52165896066882
25,1992,81.70897628465123,145.95586389271313
26,1991,82.80130630048076,146.3369718704557
27,1990,83.84198977855493,146.64524077891872
28,1989,84.84341950047899,146.89297927732594
29,1988,85.78947675299752,147.06399354950094
30,1987,86.70067954207724,147.17871703696258
31,1986,87.5590257772689,147.2190625814359
32,1985,88.37705195812498,147.19748110726636
33,1984,89.1456693151552,147.10479775833284
34,1983,89.8553407629319,146.9292773371223
35,1982,90.50791281200377,146.67267688630588
36,1981,91.11734558650976,146.34886655864182
37,1980,91.67151844004928,145.94563522906031
38,1979,92.17455706095322,145.4670175961141
39,1978,92.61737015155035,144.90300778510428
40,1977,93.00379582781004,144.25730732831346
41,1976,93.33890067294072,143.5348451103433
42,1975,93.62188620228024,142.73468382083732
43,1974,93.84594023008462,141.84987130893558
44,1973,94.01406755419909,140.88667933688612
45,1972,94.12731356060341,139.845994550583
46,1971,94.1713676249069,138.71334589614838
47,1970,94.1625827337448,137.5049242172715
48,1969,94.102158878814,136.2217656247561
49,1968,93.98641823915176,134.85964286057128
50,1967,93.81775121559845,133.42076140132858
51,1966,93.58566195406401,131.89443829101333
52,1965,93.29449821916184,130.28483198029087
53,1964,92.9462098416394,128.5937007389303
54,1963,92.51178356800213,126.78654436731436
55,1962,91.99164035860471,124.86351885329373
56,1961,91.37924957186384,122.81782504332428
57,1960,90.67651048462713,120.65109009951513
58,1959,89.88551931551581,118.36513445822727
59,1958,88.99829705551419,115.95069525993428
60,1957,88.0229296756114,113.41552299667356
61,1956,86.95266414633714,110.75252389835494
62,1955,85.78988186426622,107.96373324865408
63,1954,84.52882024185892,105.04303686132091
64,1953,83.12283389656059,102.01112036034235
65,1952,81.57064635516863,98.8671177089528
66,1951,79.87041346717453,95.6096027361166
67,1950,78.01912668897067,92.23599260670936
68,1949,76.01052346808484,88.74045839749424
69,1948,73.82576998093009,85.10388526199108
70,1947,71.48256811891305,81.34445174046812
71,1946,68.97992135001215,77.46164772211229
72,1945,66.31586559298715,73.45400558821632
73,1944,63.4853240473763,69.31695532047203
74,1943,60.4233624181952,65.0730652287544
75,1942,57.12625776634883,60.720616541937645
76,1941,53.59019658583685,56.257848676828154
77,1940,49.811271842143576,51.68295787087658
78,1939,45.78547988857142,46.994095758539906
79,1938,41.50439414598488,42.18451109342327
80,1937,36.9632057975995,37.25192989682817
81,1936,32.1569688635827,32.19401332880986
82,1935,27.080594934534375,27.008355197761674
83,1934,21.728847649750904,21.692479349313132
84,1933,16.327575419929868,16.3153685520582
85,1932,10.875743927180475,10.875743927180475
86,1931,10.335205813679963,10.335205813679963
87,1930,9.806578306290954,9.806578306290954
88,1929,9.283521398016134,9.283521398016134
89,1928,8.832981377963552,8.832981377963552
90,1927,8.39947670463929,8.39947670463929
91,1926,7.974744169652896,7.974744169652896
92,1925,7.5714296761931035,7.5714296761931035
93,1924,7.185457607962612,7.185457607962612
94,1923,6.8352573352775625,6.8352573352775625
95,1922,6.508067181527492,6.508067181527492
96,1921,6.2082265735760656,6.2082265735760656
97,1920,5.9105175635060165,5.9105175635060165
98,1919,5.637632975035968,5.637632975035968
99,1918,5.372749453488113,5.372749453488113
100,1917,5.118071792804085,5.118071792804085
