ages,birth_year,1.5C,2C
0,2017,43.113824901555034,121.31173570287979
1,2016,48.18531898120698,126.08573892848275
2,2015,51.775917566092346,129.21973371578733
3,2014,55.57145761668908,132.55866996880323
4,2013,59.41892802802186,135.93758875865842
5,2012,63.15192334735789,139.19008258430256
6,2011,66.7301868504544,142.2758926726487
7,2010,70.16985979395153,145.2111582309656
8,2009,73.524801926322,148.04973695782763
9,2008,76.62858356062395,150.62504238942975
10,2007,79.85086629596299,153.3067269486732
11,2006,82.96279863892589,155.86592995550933
12,2005,86.00751726896387,158.34577889230658
13,2004,89.06540093609341,160.82664330153588
14,2003,92.08330708159349,163.2606776833638
15,2002,95.01771704739552,165.60435087931464
16,2001,98.01310125841877,168.00212077966444
17,2000,101.04657705932756,170.43109216007284
18,1999,104.03727542238948,172.8103833893156
19,1998,106.99326342852915,175.14766214943626
20,1997,109.91373249896142,177.44209731422572
21,1996,112.77554568122412,179.67052927920352
22,1995,115.55494369662149,181.80917600841357
23,1994,118.18645349708672,183.7925415906336
24,1993,120.7037478055015,185.64074854459489
25,1992,123.13603149015499,187.38291909821686
26,1991,125.48933158993714,189.024997159912
27,1990,127.82030019676851,190.62355119713226
28,1989,130.0677755315587,192.11733530840561
29,1988,132.33773343903573,193.61225023553908
30,1987,134.56430651246947,195.0423440073548
31,1986,136.76693773880794,196.4269745429749
32,1985,138.89680475489513,197.71723390403645
33,1984,140.8878018443728,198.84693028755038
34,1983,142.7651130392265,199.83904961341688
35,1982,144.60421135361912,200.7689754279212
36,1981,146.46509780254343,201.69661877467541
37,1980,148.30491982412613,202.5790366131371
38,1979,150.2543149615248,203.54677549668563
39,1978,152.20050930430213,204.48614693785598
40,1977,154.03590613317024,205.2894176336736
41,1976,155.73398199637742,205.92992643377983
42,1975,157.34640975334148,206.4592073718985
43,1974,158.90659085080833,206.91052192965918
44,1973,160.37289629198574,207.2455080746727
45,1972,161.71057709375964,207.42925808373917
46,1971,162.84454004332562,207.38651831456704
47,1970,163.8321188165229,207.1744603000495
48,1969,164.69802730762717,206.81763405356926
49,1968,165.43129546564202,206.30452008706155
50,1967,166.05560077046346,205.6586109561935
51,1966,166.51843718913855,204.82721352608777
52,1965,166.92259426644924,203.91292802757823
53,1964,167.1952718170246,202.84276271431548
54,1963,167.4058821684537,201.68064296776592
55,1962,167.53652507454063,200.4084035692296
56,1961,167.5762667467066,199.01484221816708
57,1960,167.48947795848966,197.4640575733777
58,1959,167.30341119282429,195.78302633553574
59,1958,166.93384319550708,193.88624139992717
60,1957,166.49006880217252,191.88266212323467
61,1956,165.92501866490818,189.72487841692597
62,1955,165.29370740133174,187.46755878571963
63,1954,164.54516310840427,185.05937972786626
64,1953,163.59574335115352,182.48402981493527
65,1952,162.4385670201538,179.73503837393795
66,1951,161.1410611925331,176.88025046147516
67,1950,159.64802793326325,173.86489385100194
68,1949,157.97839140731492,170.70832633672433
69,1948,155.9288436387429,167.2069589198039
70,1947,153.73520820543519,163.59709182699032
71,1946,151.40837932566552,159.8901056977657
72,1945,148.89442981319186,156.03256980842104
73,1944,146.2076464664527,152.0392777395484
74,1943,143.27332981704618,147.92303262760538
75,1942,140.12037941105666,143.71473818664552
76,1941,136.71873857999105,139.38639067098237
77,1940,133.08804000182042,134.95972603055333
78,1939,129.2200568729197,130.42867274288824
79,1938,125.08636922175823,125.76648616919664
80,1937,120.69907985983755,120.9878039590662
81,1936,116.04952890159934,116.08657336682651
82,1935,111.10821950667177,111.03597976989909
83,1934,105.9039734321962,105.86760513175842
84,1933,100.62900340182873,100.61679653395704
85,1932,95.30888751641542,95.30888751641542
86,1931,93.11134653446724,93.11134653446724
87,1930,90.91207727841906,90.91207727841906
88,1929,88.55060584095,88.55060584095
89,1928,86.15940637637544,86.15940637637544
90,1927,83.86735954516615,83.86735954516615
91,1926,81.73214854793278,81.73214854793278
92,1925,79.7140458703939,79.7140458703939
93,1924,77.77478321430559,77.77478321430559
94,1923,76.07551862222576,76.07551862222576
95,1922,74.23896845396071,74.23896845396071
96,1921,72.48126184608881,72.48126184608881
97,1920,70.7561566210603,70.7561566210603
98,1919,69.04200530999795,69.04200530999795
99,1918,67.33251349640861,67.33251349640861
100,1917,65.66389404523773,65.66389404523773
