ages,birth_year,1.5C,2C
0,2017,-74.30788419907522,-42.754843471789954
1,2016,-69.23639011942325,-37.98084024618698
2,2015,-64.1605769984587,-33.20251797927141
3,2014,-58.87982241178279,-28.219254246644464
4,2013,-53.557909016251145,-23.212353106207715
5,2012,-48.36103319225985,-18.347794912162108
6,2011,-43.32924641509676,-13.665419084292552
7,2010,-38.44620590941132,-9.148674665718467
8,2009,-33.65785404794584,-4.743299627833268
9,2008,-29.131713560524755,-0.6164767463418571
10,2007,-24.497906110275625,3.601878946049239
11,2006,-19.98507045103391,7.683331431263863
12,2005,-15.549861061976824,11.671425168489089
13,2004,-11.111694153040657,15.64693918300691
14,2003,-6.740065508219801,19.559494949038925
15,2002,-2.477933109736568,23.366090362786213
16,2001,1.8197244767916083,27.211703547717647
17,2000,6.130566176780598,31.07395090926005
18,1999,10.374255345029868,34.872454054006646
19,1998,14.556790690645187,38.6135287464191
20,1997,18.67798713179083,42.29693943852964
21,1996,22.715319851092357,45.90011186540031
22,1995,26.645630654316648,49.399839376575144
23,1994,30.404036828197842,52.731191767582715
24,1993,33.959451030376236,55.8734413665859
25,1992,37.34306081537097,58.857575331921616
26,1991,40.56283743797208,61.69136882817514
27,1990,43.67733986250629,64.43318891295787
28,1989,46.62727692616651,67.0235565820736
29,1988,49.520838011780135,69.57038868509524
30,1987,52.29389185673194,72.0093815772169
31,1986,54.967586869482076,74.3615147329016
32,1985,57.49477623140229,76.57947575636021
33,1984,59.81100071178832,78.59864310821217
34,1983,62.028369058392656,80.50709824319456
35,1982,64.2229931637534,82.38110798376351
36,1981,66.45550513529481,84.28145635014357
37,1980,68.68367595326731,86.16606329610319
38,1979,71.03875938105546,88.16632869460446
39,1978,73.4083426332581,90.16996175573055
40,1977,75.68550845572781,92.07018482045817
41,1976,77.84440747336704,93.84128549943141
42,1975,79.9373814465395,95.53573999400473
43,1974,81.99849575453732,97.1877456423533
44,1973,83.98085610792714,98.76826671324024
45,1972,85.85047337608826,100.24324389347021
46,1971,87.53301284172623,101.53827329466331
47,1970,89.08656548113251,102.71137771417057
48,1969,90.53660145446811,103.78796010647352
49,1968,91.87359992329672,104.7578853232422
50,1967,93.12191440351755,105.64546557264508
51,1966,94.22971777928491,106.39883283096512
52,1965,95.30048150462072,107.12141803906792
53,1964,96.26209040769577,107.74106590162128
54,1963,97.21417258976231,108.33795111260821
55,1962,98.13972951026821,108.89513546255048
56,1961,99.02873814434228,109.40265584609371
57,1960,99.84648927656951,109.82586255951706
58,1959,100.62116484148815,110.19299664492337
59,1958,101.270171872635,110.4211494735065
60,1957,101.9038227125812,110.6206698187149
61,1956,102.47607976499408,110.74555636575529
62,1955,103.04300395256851,110.85190617033942
63,1954,103.55468454778982,110.88984449025604
64,1953,103.96581866291685,110.82415498162243
65,1952,104.27127303434912,110.64970346612516
66,1951,104.54025494282922,110.43569630938643
67,1950,104.71937981266028,110.12874802018135
68,1949,104.82941914653144,109.74962918526337
69,1948,104.89466306231944,109.32189306140724
70,1947,104.91496404646222,108.84537954943814
71,1946,104.89017385554148,108.319927758055
72,1945,104.8201435114602,107.74537599859629
73,1944,104.70472329657964,107.12156177976252
74,1943,104.50097080670828,106.46138998238214
75,1942,104.20828759715457,105.76461428652424
76,1941,103.82606912092727,105.03098586055029
77,1940,103.3537046454862,104.26025332684885
78,1939,102.79057716806835,103.45216272698374
79,1938,102.1342937815467,102.60435617624414
80,1937,101.38388527153313,101.71642046121826
81,1936,100.5383672186648,100.7879358860282
82,1935,99.5967396788861,99.81847613602177
83,1934,98.55798685528258,98.80760813786266
84,1933,97.45380590929926,97.72869035291792
85,1932,96.28332120470215,96.58081205875115
86,1931,94.33226473843406,94.62975559248305
87,1930,92.37688923085337,92.67438008490237
88,1929,90.2165722575613,90.51406311161028
89,1928,87.99822392067557,88.29571477472456
90,1927,85.88824862698193,86.18573948103091
91,1926,83.9269020545071,84.22439290855606
92,1925,82.09804190012589,82.39553275417487
93,1924,80.34780736861123,80.64529822266022
94,1923,78.84298830124112,79.1404791552901
95,1922,77.21391874668609,77.51140960073508
96,1921,75.68944584118802,75.98693669523699
97,1920,74.22642854316932,74.52391939721831
98,1919,72.74448373552468,73.04197458957366
99,1918,71.28602505899919,71.58351591304819
100,1917,69.89454108790822,70.19203194195721
