ages,birth_year,1.5C,2C
0,2017,43.1451739197089,121.99157363579866
1,2016,62.22371125391752,140.1241312011933
2,2015,79.56733683977943,157.01115298947443
3,2014,97.2634991702823,174.2507115223965
4,2013,115.1797148282118,191.69837555884837
5,2012,133.27448163673296,209.31264087367762
6,2011,151.36904016859438,226.9147459907887
7,2010,169.53343564203553,244.57473407904962
8,2009,187.69552154232122,262.2204565738268
9,2008,205.5643231327234,279.5607819615292
10,2007,224.66455989832767,298.12042055103785
11,2006,244.5521869015013,317.4553182180848
12,2005,263.87920346752827,336.21746509087103
13,2004,283.5952368836656,355.35647924910796
14,2003,303.7470237565352,374.9243943583055
15,2002,324.1051884969435,394.6918223288626
16,2001,344.06526105381874,414.0542805750644
17,2000,363.9679848313161,433.3524999320614
18,1999,384.2867364912974,453.0598444582233
19,1998,403.99462265416383,472.14902137507096
20,1997,423.3090863318442,490.83745114710854
21,1996,442.45818538891103,509.3531689868904
22,1995,461.24096327343767,527.4951955852297
23,1994,479.644257289604,545.2503453831511
24,1993,497.7471454461795,562.6841461852729
25,1992,515.4518457134739,579.6987333215358
26,1991,533.3347766992626,596.8704422692375
27,1990,550.8441888279995,613.6474398283633
28,1989,568.8404965333814,630.8900563102284
29,1988,586.9779064406465,648.2524232371499
30,1987,605.0278761113311,665.5059136062164
31,1986,622.3176904328031,681.9777272369702
32,1985,638.7666488928037,697.587078041945
33,1984,656.0601689446031,714.0192973877807
34,1983,673.6103520020342,730.6842885762246
35,1982,690.601672659113,746.7664367334153
36,1981,707.958860321122,763.1903812932541
37,1980,726.0621655587722,780.3362823477834
38,1979,744.8468948430648,798.1393553782256
39,1978,763.7363558604504,816.0219934940044
40,1977,781.6742683637552,832.9277798642586
41,1976,799.4297656770088,849.6257101144113
42,1975,816.9521729075544,866.0649705261118
43,1974,834.5290592541797,882.5329903330305
44,1973,851.9901409731496,898.8627527558366
45,1972,869.2801327586917,914.9988137486714
46,1971,886.7561018342708,931.2980801055122
47,1970,903.1184951343416,946.4608366178684
48,1969,919.1573854033617,961.2769921493036
49,1968,933.7644950239684,974.6377196453877
50,1967,948.3714516056223,987.9744617913523
51,1966,962.0957306153737,1000.4045069523227
52,1965,974.8610593919697,1011.8513931530988
53,1964,987.4287751226112,1023.0762660199022
54,1963,999.395328087881,1033.670088887193
55,1962,1010.0825852222023,1042.9544637168913
56,1961,1020.6823368293673,1052.1209123008277
57,1960,1030.690833159981,1060.6654127748686
58,1959,1040.7493376915058,1069.2289528342171
59,1958,1050.5106686649904,1077.4630668694099
60,1957,1060.3143575222412,1085.706950843303
61,1956,1070.3481393483921,1094.1479991004096
62,1955,1081.0246278469606,1103.1984792313485
63,1954,1090.6266818490146,1111.140898468477
64,1953,1099.9375780896717,1118.8258645534534
65,1952,1109.2285059337241,1126.524977287508
66,1951,1118.5852918154233,1134.3244810843655
67,1950,1128.3377678501486,1142.5546337678873
68,1949,1137.646241322072,1150.3761762514814
69,1948,1146.2796797727099,1157.5577950537709
70,1947,1155.9316233622567,1165.7935069838118
71,1946,1164.4496888728747,1172.931415244975
72,1945,1172.5692448577513,1179.7073848529806
73,1944,1180.0614558046962,1185.8930870777915
74,1943,1188.2724716044142,1192.9221744149734
75,1942,1196.2306776199373,1199.825036395526
76,1941,1203.5475510860635,1206.215203177055
77,1940,1209.8749309625262,1211.7466169912593
78,1939,1215.1330504875866,1216.3416663575551
79,1938,1219.0560955938777,1219.7362125413158
80,1937,1221.9794391660853,1222.2681632653141
81,1936,1225.4168537126684,1225.453898177895
82,1935,1228.0199012096448,1227.947661472872
83,1934,1229.766870619456,1229.730502319018
84,1933,1231.6436744652271,1231.6314675973551
85,1932,1232.5898679052582,1232.5898679052582
86,1931,1222.7720856883004,1222.7720856883004
87,1930,1213.8405370214255,1213.8405370214255
88,1929,1206.3998372921158,1206.3998372921158
89,1928,1199.334314038262,1199.334314038262
90,1927,1191.7276545758648,1191.7276545758648
91,1926,1184.0944523384835,1184.0944523384835
92,1925,1175.8072337084086,1175.8072337084086
93,1924,1166.68307846439,1166.68307846439
94,1923,1158.2118477670606,1158.2118477670606
95,1922,1150.3283190087445,1150.3283190087445
96,1921,1139.2363497361896,1139.2363497361896
97,1920,1130.1000858862194,1130.1000858862194
98,1919,1121.1853486792481,1121.1853486792481
99,1918,1111.0375540137914,1111.0375540137914
100,1917,1102.4185044905214,1102.4185044905214
