ages,birth_year,1.5C,2C
0,2017,167.1744660722465,386.2932703594128
1,2016,186.25300340645506,404.4258279248074
2,2015,205.05049451024232,422.2773392597807
3,2014,224.20052235867055,440.4813873393949
4,2013,243.54524052227669,458.84950235647386
5,2012,263.04312461672663,477.34013729450913
6,2011,282.51539298175106,495.7744878359586
7,2010,302.0320685770148,514.2225542580786
8,2009,321.52098260361305,532.6121450543826
9,2008,340.69175928406423,550.6524236931882
10,2007,361.06907604460974,569.8680203148696
11,2006,382.2088457880459,589.8148004286891
12,2005,402.7630255790449,609.1446735977921
13,2004,423.68120034289717,628.8071771376204
14,2003,445.0012429540161,648.8393418378624
15,2002,466.4936832898247,669.0116179065457
16,2001,487.55395638529205,688.7193604132627
17,2000,508.52271034804465,708.3031372028123
18,1999,529.8732261588367,728.2361486941945
19,1998,550.579965793012,747.4912998610439
20,1997,570.8601999490422,766.2857068412629
21,1996,590.9418128960208,784.8470982896628
22,1995,610.6236731921716,802.9741860868729
23,1994,629.8924419449646,820.6534735897466
24,1993,648.8679186269886,837.9260465756745
25,1992,667.4523529111948,854.6937204136173
26,1991,686.2221953169583,871.5325088196965
27,1990,704.6257283911071,887.8902550190089
28,1989,723.5233989023267,904.6269639206315
29,1988,742.5680429395512,921.396892295826
30,1987,761.5311989421989,937.9713261156516
31,1986,779.7402333493843,953.6773785094299
32,1985,797.1145278806794,968.4341770417607
33,1984,815.3395829075511,983.9269670801981
34,1983,833.7490875072665,999.5319339133721
35,1982,851.5272407014813,1014.4330028596553
36,1981,869.5984947429184,1029.55435091073
37,1980,888.3428214574247,1045.2756730618032
38,1979,907.6952469666144,1061.5317170222909
39,1978,927.0787185410243,1077.7443504541986
40,1977,945.4366918238429,1092.8567065452175
41,1976,963.5380347600301,1107.6373286855376
42,1975,981.331805802303,1122.0349486555706
43,1974,999.1053062131476,1136.3365389094995
44,1973,1016.6544930059737,1150.3347134788114
45,1972,1033.9234028962278,1163.9729931936733
46,1971,1051.2684187914933,1177.6072400131532
47,1970,1067.3892968945745,1189.936684061825
48,1969,1083.0754127226194,1201.7501695813266
49,1968,1097.217463513727,1211.9355379693754
50,1967,1111.2461996112338,1221.9228826780188
51,1966,1124.278208894769,1230.8281269646975
52,1965,1136.2363206318116,1238.5734276220098
53,1964,1147.8809632886855,1245.9185326645104
54,1963,1158.7485461182919,1252.4287624907124
55,1962,1168.1596557961398,1257.4242530680785
56,1961,1177.304788557801,1262.0950446331751
57,1960,1185.6788865812728,1265.9356179908898
58,1959,1193.9218910685815,1269.5854475112578
59,1958,1201.6912769170654,1272.710104549078
60,1957,1209.3263813757073,1275.6487082522565
61,1956,1217.0147527820336,1278.5885874702788
62,1955,1225.1688257832898,1281.9419559636
63,1954,1232.0712880991969,1283.9912791544898
64,1953,1238.35320058809,1285.6054979560195
65,1952,1244.2853999900212,1287.0562760240468
66,1951,1249.953378309387,1288.4299378220564
67,1950,1255.6866520976005,1290.056837953489
68,1949,1260.645232635084,1291.0978313939502
69,1948,1265.1112255089756,1291.8316001466314
70,1947,1269.0812713036287,1292.256048959258
71,1946,1272.5519761193154,1292.369061071988
72,1945,1275.5199110986368,1292.1684979220406
73,1944,1277.981611944778,1291.6521988432326
74,1943,1279.87981583631,1290.870234605682
75,1942,1281.2093689080755,1289.8201753783244
76,1941,1281.9650462625282,1288.4995578413052
77,1940,1282.1415506583826,1286.9058845677353
78,1939,1281.7335111688662,1285.0366233911095
79,1938,1280.7100645070489,1282.8614222756755
80,1937,1279.0628743744146,1280.3761369625215
81,1936,1276.7834339322721,1277.576538411387
82,1935,1273.8630611180413,1274.4583104722262
83,1934,1270.2928937996312,1271.017047476286
84,1933,1266.543006106386,1267.3841364646064
85,1932,1262.6103901014355,1263.5563698702495
86,1931,1257.5990513603288,1258.5450311291427
87,1930,1252.8687588496437,1253.814738618457
88,1929,1247.785929594317,1248.7319093631309
89,1928,1242.4769460087066,1243.4229257775205
90,1927,1236.9833092236995,1237.9292889925134
91,1926,1231.483777620332,1232.4297573891458
92,1925,1225.9083049338785,1226.8542847026927
93,1924,1220.3290366323206,1221.2750164011345
94,1923,1215.0373076067222,1215.983287375536
95,1922,1208.5083940197735,1209.4543737885874
96,1921,1201.1863364519368,1202.1323162207507
97,1920,1194.4191312158011,1195.365110984615
98,1919,1187.2571466570207,1188.2031264258344
99,1918,1179.6429172509975,1180.5888970198116
100,1917,1171.8057885031724,1172.7517682719858
