ages,birth_year,1.5C,2C
0,2017,43.89299891051172,123.17350433929344
1,2016,52.98278259404686,130.88320254132262
2,2015,61.29306280304232,138.7368789527373
3,2014,69.63585174399974,146.62306409611392
4,2013,78.08246060785345,154.60112133848997
5,2012,86.54007723907844,162.5782364760231
6,2011,94.90636662046757,170.45207244266183
7,2010,103.11885058823212,178.1601490252461
8,2009,110.69736049336912,185.22229552487468
9,2008,117.74711993393421,191.74357876274
10,2007,124.53249631810336,197.98835697081356
11,2006,130.95242821091554,203.85555952749888
12,2005,137.0255227228013,209.363784346144
13,2004,142.65431007070802,214.41555243615045
14,2003,147.79440909404462,218.9717796958149
15,2002,152.41860117323287,223.0052350051519
16,2001,156.5241378950168,226.51315741626243
17,2000,160.35079809180604,229.73531319255122
18,1999,164.11557644264988,232.88868440957594
19,1998,167.8090583049451,235.96345702585216
20,1997,171.50936931390115,239.03773412916541
21,1996,175.3298258708172,242.22480946879654
22,1995,179.1470623325487,245.40129464434082
23,1994,182.8497259095189,248.45581400306568
24,1993,186.333076566884,251.27007730597734
25,1992,189.6598208574039,253.90670846546573
26,1991,192.82367454965612,256.359340119631
27,1990,195.8731035791021,258.67635457946574
28,1989,198.8058956129512,260.855455389798
29,1988,201.70677165194968,262.981288448453
30,1987,204.57075719675987,265.0487946916452
31,1986,207.29136627981967,266.95140308398663
32,1985,209.8811069890276,268.70153613816893
33,1984,212.37239207790682,270.3315205210844
34,1983,214.69814608057675,271.77208265476713
35,1982,216.85765083196415,273.0224149062663
36,1981,218.90724631400315,274.1387672861352
37,1980,220.802798534296,275.076915323307
38,1979,222.68624247543846,275.97870301059936
39,1978,224.5702213114183,276.8558589449723
40,1977,226.39345292235748,277.6469644228609
41,1976,228.02961840317832,278.22556284058084
42,1975,229.51437222348545,278.6271698420425
43,1974,230.9146539271397,278.91858500599056
44,1973,232.11241245906413,278.98502424175115
45,1972,233.25725485959447,278.975935849574
46,1971,234.32874633681038,278.8707246080518
47,1970,235.30412346556182,278.6464649490884
48,1969,236.12155970845237,278.24116645439443
49,1968,236.66440223490486,277.53762685632427
50,1967,237.03096856492638,276.6339787506563
51,1966,237.309708789423,275.6184851263722
52,1965,237.66687759213127,274.65721135326027
53,1964,237.92101415787516,273.568505055166
54,1963,238.04709247405998,272.321853273372
55,1962,238.09856478321404,270.97044327790286
56,1961,238.0809685292172,269.51954400067746
57,1960,238.15525490679693,268.12983452168487
58,1959,238.50502700797767,266.98464215068907
59,1958,238.69170454842202,265.6441027528421
60,1957,238.49773208357198,263.89032540463404
61,1956,237.7967270509517,261.59658680296945
62,1955,236.94501324063972,259.1188646250276
63,1954,235.96386856454575,256.4780851840078
64,1953,234.79442060709758,253.68270707087933
65,1952,233.43757602612868,250.73404737991288
66,1951,231.92695083475792,247.6661401037
67,1950,230.22402835949177,244.44089427723046
68,1949,228.3312564864355,241.0611914158449
69,1948,226.24938468416252,237.52749996522357
70,1947,223.9463568135777,233.80824043513283
71,1946,221.50242104169038,229.98414741379042
72,1945,218.89334576232898,226.03148575755824
73,1944,216.156743478678,221.98837475177376
74,1943,213.2783637423119,217.92806655287117
75,1942,210.16490202474702,213.75926080033574
76,1941,206.8451677074197,209.51281979841102
77,1940,203.27206127764,205.14374730637297
78,1939,199.4120624262451,200.6206782962136
79,1938,195.2610414061973,195.94115835363567
80,1937,190.82765540742201,191.1163795066507
81,1936,186.14002750148373,186.17707196671088
82,1935,181.19177027257342,181.1195305358007
83,1934,175.95430197775028,175.91793367731248
84,1933,170.65134144132247,170.6391345734508
85,1932,165.2842374117056,165.2842374117056
86,1931,158.24840539577332,158.24840539577332
87,1930,151.2898778240947,151.2898778240947
88,1929,144.29457274056475,144.29457274056475
89,1928,137.18530003860042,137.18530003860042
90,1927,130.05568109014573,130.05568109014573
91,1926,123.01033020443708,123.01033020443708
92,1925,116.10476404904136,116.10476404904136
93,1924,109.83484063985522,109.83484063985522
94,1923,104.09207855313473,104.09207855313473
95,1922,98.60204447750984,98.60204447750984
96,1921,93.46033509691023,93.46033509691023
97,1920,88.65706735638445,88.65706735638445
98,1919,84.29567272282777,84.29567272282777
99,1918,80.40168888851419,80.40168888851419
100,1917,77.00068879402596,77.00068879402596
