ages,birth_year,1.5C,2C
0,2017,50.723903300253866,196.78523200628
1,2016,59.813686983789005,204.49493020830928
2,2015,68.83000771990696,212.1311654629213
3,2014,77.87883718798686,219.7999094494953
4,2013,87.00419903990111,227.55331741183187
5,2012,96.11372747547048,235.29891509714776
6,2011,105.10552498335244,242.9346986968036
7,2010,113.91754228909664,250.3985147376242
8,2009,122.07003124185177,257.2105129137254
9,2008,129.66687420407288,263.475516760448
10,2007,136.97291420299604,269.4582443916995
11,2006,143.88755529454048,275.0579776359432
12,2005,150.42986024028602,280.2936596367217
13,2004,156.50280534685655,285.0681496182874
14,2003,162.05944343940553,289.33104368950904
15,2002,167.07313477040347,293.05564349043635
16,2001,171.54169970286338,296.23971185872466
17,2000,175.70547600013265,299.1235300927103
18,1999,179.78200766968035,301.9245867692961
19,1998,183.7629843372541,304.63337222032624
20,1997,187.72699482108527,307.328441455996
21,1996,191.7878125740955,310.1235346406218
22,1995,195.82252300439896,312.8957044025565
23,1994,199.7202185010743,315.53401084964383
24,1993,203.4306659998961,317.94570953693136
25,1992,207.0167840430744,320.19411244264063
26,1991,210.47250036829467,322.27353487068825
27,1990,213.84649288496132,324.2330365431156
28,1989,217.13676126386326,326.0709933030798
29,1988,220.42482730894372,327.8735209346947
30,1987,223.70601265639561,329.6364502314091
31,1986,226.87412515822464,331.2540865882163
32,1985,229.9419645108776,332.7397159808566
33,1984,232.94223296676637,334.126516014788
34,1983,235.72254277165595,335.24544167262474
35,1982,238.28472819120174,336.099418221405
36,1981,240.6876027512006,336.74831334594637
37,1980,242.8894306829752,337.15141023462013
38,1979,245.03447324360516,337.45395544968005
39,1978,247.13910345004498,337.6675152782939
40,1977,249.14373391858487,337.73326060777754
41,1976,250.923709652324,337.5272770937838
42,1975,252.51631924135293,337.0875769021108
43,1974,253.99010756421256,336.48341193113333
44,1973,255.2306572004607,335.60951291694806
45,1972,256.38906106803717,334.61744701565675
46,1971,257.446352968372,333.48871308280525
47,1970,258.38122139143917,332.2024557140593
48,1969,259.13327562634345,330.69873158390504
49,1968,259.58786800700943,328.8679383674114
50,1967,259.8450614995964,326.8106282986194
51,1966,259.99502470216356,324.617447214923
52,1965,260.20570499221003,322.4568080956955
53,1964,260.2973095200636,320.1493724310003
54,1963,260.2243519665131,317.6427180359765
55,1962,260.0430959210736,314.9936953472956
56,1961,259.761848417269,312.21118346499895
57,1960,259.54429038814214,309.4594211002406
58,1959,259.5767166515112,306.9252470324525
59,1958,259.4212963300011,304.16619846516176
60,1957,258.86281698380856,300.9675206479228
61,1956,257.77722763343195,297.2056118567045
62,1955,256.5231731724923,293.2395580126615
63,1954,255.12424306818957,289.0933815822936
64,1953,253.48580835065647,284.7796274771281
65,1952,251.61208581895602,280.30194345251243
66,1951,249.54001567956544,275.6967073975109
67,1950,247.23442058987408,270.9281862728086
68,1949,244.7011040089161,266.00163435791455
69,1948,241.97881335513586,260.9546659012225
70,1947,239.0689197613887,255.78815460500422
71,1946,235.9727794917475,250.5029646969661
72,1945,232.691734155714,245.09995106674552
73,1944,229.2271109185866,239.5799593999609
74,1943,225.44307811528518,233.951393843823
75,1942,221.34025068454613,228.21446342867225
76,1941,216.91924179096085,222.36937658178036
77,1940,212.18066283179328,216.41634112966838
78,1939,207.12512344376591,210.35556430041282
79,1938,201.7399927658469,204.17210183779721
80,1937,196.02432040621886,197.8655999720899
81,1936,189.97715185638057,191.43570340118333
82,1935,183.5975284673367,184.88205528173
83,1934,176.8844874256161,178.2042972202161
84,1933,170.22587638758958,171.5775467012606
85,1932,163.62205939194413,165.00214487345002
86,1931,156.65040396572815,158.03048944723412
87,1930,149.75221148692944,151.13229696843538
88,1929,142.82151027616874,144.20159575767462
89,1928,135.7808881396541,137.16097362116003
90,1927,128.72315618696382,130.10324166846962
91,1926,121.75064838908855,123.13073387059448
92,1925,114.92584186333195,116.30592734483787
93,1924,108.72890421194285,110.10898969344878
94,1923,103.05497199120165,104.43505747270756
95,1922,97.63967344070856,99.01975892221449
96,1921,92.58406563825329,93.9641511197592
97,1920,87.86953711127886,89.24962259278476
98,1919,83.59355327574914,84.97363875725506
99,1918,79.78976637427924,81.16985185578514
100,1917,76.48536494269412,77.86545042420006
