ages,birth_year,1.5C,2C
0,2017,41.123379049066045,120.67194387620656
1,2016,51.575999673428704,130.30049206063686
2,2015,60.853459414974445,139.12134800460177
3,2014,70.13646390164122,147.94774869368774
4,2013,79.40233483994398,156.74506801051288
5,2012,88.97260973071462,165.83484140759168
6,2011,98.75576545349442,175.12554371562103
7,2010,108.6100672236474,184.47543810059383
8,2009,118.56527276219202,193.91428023363
9,2008,128.19413011348416,203.01466138222233
10,2007,138.54803906740634,212.82797216004886
11,2006,149.00381076621346,222.73101452272925
12,2005,159.52337140309675,232.68570546637187
13,2004,169.90912350992932,242.4944383153041
14,2003,180.27450864422343,252.2759516859261
15,2002,190.57773692493785,261.98844319678926
16,2001,200.6558341499224,271.4689261111004
17,2000,210.7693718213197,280.9779593619973
18,1999,220.6674694892477,290.26464989610616
19,1998,230.5500498233664,299.52852098420584
20,1997,240.53968132831844,308.89211858351507
21,1996,250.5697411496281,318.28879718753984
22,1995,260.8708421314646,327.94914688318914
23,1994,271.0927688899958,337.5229294234751
24,1993,281.3079125747927,347.0689857538183
25,1992,292.00538935526265,357.0763494032569
26,1991,303.09032134203443,367.45005935194166
27,1990,315.05549079435366,378.68281423464964
28,1989,327.4220812378307,390.2957134546099
29,1988,339.620119527094,401.71870876352966
30,1987,351.82163076299884,413.1237406978164
31,1986,363.94085914638833,424.4249683904876
32,1985,375.8124209392452,435.45692252831884
33,1984,387.64705424045644,446.4302551235665
34,1983,399.0002763756638,456.8982853897865
35,1982,410.27153290342767,467.260369417662
36,1981,421.5220374110896,477.577630823154
37,1980,432.8429883400202,487.9411775689635
38,1979,444.556682217811,498.6732151929042
39,1978,456.2616840767186,509.3713941502048
40,1977,467.67353313116416,519.7511170715999
41,1976,478.7285449867474,529.7485618640824
42,1975,489.70830756407923,539.6451776225686
43,1974,500.10227473163,548.9302782504129
44,1973,510.46744645252915,558.1641306751484
45,1972,520.8119972159407,567.3547506458524
46,1971,530.6998767790167,576.0659274901902
47,1970,540.2449578047257,584.4113717281847
48,1969,549.4556702841568,592.3993494700313
49,1968,558.2204178780347,599.9177149393868
50,1967,566.5127839490249,606.9398665746872
51,1966,574.4192496810452,613.5520984579267
52,1965,582.1425897314176,619.956995932479
53,1964,589.6241283439829,626.0956916812063
54,1963,596.8465014760735,631.9453347153183
55,1962,603.7146416570812,637.4105925917023
56,1961,610.0702993184191,642.3329472298118
57,1960,616.0294175265294,646.8280695813501
58,1959,621.7384614378992,651.0421490205431
59,1958,627.0391220573638,654.8155927017162
60,1957,632.2493594199226,658.4660251809173
61,1956,637.3682280570426,661.9921602489927
62,1955,642.3947675934833,665.3926914178035
63,1954,647.3280024322727,668.666291491667
64,1953,652.1166265330597,671.828985436774
65,1952,656.7588789047695,674.8794226984861
66,1951,661.2529661926833,677.8162279015578
67,1950,665.5970618805081,680.6380002381792
68,1949,669.7893054677027,683.3433128370443
69,1948,673.826711488613,685.9288992096062
70,1947,677.7071779684999,688.3931340299872
71,1946,681.4285598375327,690.7343586495651
72,1945,684.9886677446241,692.9508801797857
73,1944,688.3852668301724,695.0409705432005
74,1943,691.5504458321504,697.024221082642
75,1942,694.4804818114633,698.8989130269846
76,1941,697.1715612621105,700.6632857930341
77,1940,699.6197771495763,702.3155356182417
78,1939,701.8211258271632,703.8538141370642
79,1938,703.7671807157359,705.2713701031067
80,1937,705.4531329985097,706.5659295376707
81,1936,706.8740366956522,707.7351536008116
82,1935,708.0248033977629,708.7766361009227
83,1934,708.9001967441386,709.6879008836331
84,1933,709.7260651454767,710.5379307175374
85,1932,710.5013742838864,711.3254467238188
86,1931,708.648705764611,709.4727782045435
87,1930,706.8683492135128,707.6924216534453
88,1929,705.0824479172937,705.9065203572261
89,1928,703.3075791665808,704.1316516065132
90,1927,701.2222044145958,702.0462768545282
91,1926,698.9178457355805,699.7419181755129
92,1925,696.5362368676863,697.3603093076188
93,1924,694.0476190431407,694.8716914830729
94,1923,691.8796043719232,692.7036768118554
95,1922,688.9807887119281,689.8048611518605
96,1921,685.9743565637287,686.7984290036611
97,1920,682.8983773720078,683.7224498119401
98,1919,679.9504442378033,680.7745166777355
99,1918,677.0063866856266,677.8304591255591
100,1917,674.1079645127662,674.9320369526987
