ages,birth_year,1.5C,2C
0,2017,81.43305915854738,238.39161994973315
1,2016,91.88567978291006,248.0201681341634
2,2015,102.26598843909572,257.5764043504167
3,2014,112.65184184040235,267.138185311791
4,2013,122.99261998474,276.63062018614914
5,2012,133.61002849297316,286.37553371021204
6,2011,144.4127111380114,296.28168789800117
7,2010,155.2590988139076,306.2076310184806
8,2009,166.17911371752703,316.1834017856658
9,2008,176.74497674164834,325.78148354508744
10,2007,188.0082647822555,336.0535743934616
11,2006,199.34596476172604,346.37678152014604
12,2005,210.72017734103852,356.7133249289148
13,2004,221.93347822098838,366.86589874861886
14,2003,233.09347257788082,376.94170737145663
15,2002,244.15861900161747,386.899313028364
16,2001,254.966190399315,396.57609158217286
17,2000,265.77700403371034,406.23296257204436
18,1999,276.3404238797114,415.6193915759831
19,1998,286.85749352910995,424.935441441004
20,1997,297.450951285106,434.3039123943153
21,1996,308.05434385479117,443.65841282795236
22,1995,318.89845341072004,453.229786361577
23,1994,329.6332336680665,462.6680479208567
24,1993,340.36944134706886,472.0194107085545
25,1992,351.5964099475764,481.7734044566784
26,1991,363.21947958273915,491.8355648573163
27,1990,375.73165119446935,502.69908778099403
28,1989,388.6543276793192,513.8855704054321
29,1988,401.4162151518828,524.8259593533852
30,1987,414.18963173013606,535.6929518711222
31,1986,426.8891146282143,546.4014617791779
32,1985,439.3495731330328,556.7867724712896
33,1984,451.78203839550383,567.0602867276867
34,1983,463.6799885384771,576.754467735133
35,1982,475.44380437452907,586.2700237309288
36,1981,487.1356276022242,595.6694202633557
37,1980,498.84757775795913,605.0450971953758
38,1979,510.90286557267785,614.7205821122677
39,1978,522.9005157035115,624.2957862792953
40,1977,534.5570971565345,633.487604602742
41,1976,545.809948900881,642.2336982301276
42,1975,556.9416759480572,650.8169906859782
43,1974,567.4427431381265,658.7282617134005
44,1973,577.8468593946252,666.5018669437453
45,1972,588.1634783736613,674.1475583551081
46,1971,597.9578232603809,681.2308541878358
47,1970,607.3450346076055,687.8671868306892
48,1969,616.3348049573965,694.0665374890709
49,1968,624.8168342974551,699.7187988781883
50,1967,632.7659862878569,704.7991152272673
51,1966,640.27001861959,709.3955218062483
52,1965,647.5329788751677,713.7123408287393
53,1964,654.4974608495812,717.6924378145629
54,1963,661.1148126002718,721.3075639448607
55,1962,667.2919323675994,724.4647424658267
56,1961,672.8725336676215,727.0078105901023
57,1960,677.9745203818641,729.0547946047653
58,1959,682.7463165700848,730.7542397019998
59,1958,687.0332069686558,731.9531851531793
60,1957,691.1553994608147,732.9719625460456
61,1956,695.1141954167705,733.8119954891243
62,1955,698.9108808431508,734.4746907842513
63,1954,702.5467266238899,734.9614386900868
64,1953,705.8927221401065,735.2971819363324
65,1952,708.951120448187,735.483094308402
66,1951,711.7241484361263,735.5203359586391
67,1950,714.2140072272127,735.410053616626
68,1949,716.4228725759593,735.1533807954551
69,1948,718.3516692327753,734.7495466302641
70,1947,720.0023746847082,734.1995901863263
71,1946,721.376945548757,733.5045395628019
72,1945,722.4773178645193,732.6654120465129
73,1944,723.3054073817299,731.6832142630258
74,1943,723.83112362696,730.5910897080588
75,1942,724.0559600920308,729.3895813354684
76,1941,723.9813992309677,728.0792280863587
77,1940,723.6089125685022,726.6605649285254
78,1939,722.9399608072414,725.1341228954179
79,1938,721.9632321707146,723.4864788250247
80,1937,720.6791419633249,721.7177962635496
81,1936,719.0881046494438,719.8282384263943
82,1935,717.1905338556751,717.8179681990482
83,1934,714.9868423731126,715.6871481379786
84,1933,712.7571115847763,713.5229603054026
85,1932,710.5013742838864,711.3254467238188
86,1931,708.648705764611,709.4727782045435
87,1930,706.8683492135128,707.6924216534453
88,1929,705.0824479172937,705.9065203572261
89,1928,703.3075791665808,704.1316516065132
90,1927,701.2222044145958,702.0462768545282
91,1926,698.9178457355805,699.7419181755129
92,1925,696.5362368676863,697.3603093076188
93,1924,694.0476190431407,694.8716914830729
94,1923,691.8796043719232,692.7036768118554
95,1922,688.9807887119281,689.8048611518605
96,1921,685.9743565637287,686.7984290036611
97,1920,682.8983773720078,683.7224498119401
98,1919,679.9504442378033,680.7745166777355
99,1918,677.0063866856266,677.8304591255591
100,1917,674.1079645127662,674.9320369526987
