ages,birth_year,1.5C,2C
0,2017,45.052198774391755,123.33079900213001
1,2016,47.72161418628818,125.8111242737952
2,2015,51.193185177851284,128.82609146777747
3,2014,54.61660656606568,131.79290905841106
4,2013,58.04281428582021,134.750565156688
5,2012,61.636589584118425,137.8638389612943
6,2011,65.3161451747279,141.05094113715342
7,2010,69.05910079560216,144.28948937284744
8,2009,72.68007964146616,147.39410481320303
9,2008,76.3848773216753,150.5704262907123
10,2007,80.03615440876354,153.681105201705
11,2006,83.60744596109764,156.69966741791228
12,2005,87.08947712405991,159.61682888763383
13,2004,90.46475091906434,162.4150834247381
14,2003,93.65052149793901,165.01698223994057
15,2002,96.82010807377856,167.5958320459289
16,2001,99.7240940456518,169.9022037071287
17,2000,102.62392358918629,172.19752883016272
18,1999,105.77265447783064,174.73485258498798
19,1998,108.70944402896409,177.05293289010243
20,1997,111.61838626222864,179.33584121772418
21,1996,114.33294356051479,181.41701729872543
22,1995,116.96790497393712,183.41122742596042
23,1994,119.51858034333584,185.313758577114
24,1993,121.89486224531224,187.02095312463683
25,1992,124.39024477656956,188.82622252486271
26,1991,126.67973486744673,190.4044905776529
27,1990,128.91668968185812,191.9090308224532
28,1989,131.09696064959073,193.3356105666689
29,1988,133.20555378746445,194.66916072419914
30,1987,135.353532495647,196.0206601307636
31,1986,137.50519294986384,197.354319894262
32,1985,139.65255629756246,198.66207558693498
33,1984,141.58980721966316,199.73802580307202
34,1983,143.50725323803502,200.77027995245663
35,1982,145.26679431961315,201.62064853414643
36,1981,146.99601278532728,202.4166238976905
37,1980,148.58527241867566,203.0484793479179
38,1979,150.0248938102861,203.5064444856781
39,1978,151.38441727271118,203.8591450464963
40,1977,152.6301502311594,204.07275187189398
41,1976,153.81213382749056,204.19716840512427
42,1975,154.8814302644243,204.18331802321254
43,1974,155.8340122039618,204.02703342304386
44,1973,156.6192851083416,203.6809870312598
45,1972,157.30267590901732,203.21044703922803
46,1971,157.99235956038373,202.72342797185638
47,1970,158.57375863622332,202.10519025998116
48,1969,159.07564734545343,201.3843442316267
49,1968,159.4780003032902,200.5403150649409
50,1967,159.9346430131393,199.72674333910058
51,1966,160.25230704605067,198.75017352323115
52,1965,160.74629912346097,197.9257230248212
53,1964,161.23993390910013,197.07651494662224
54,1963,161.60092156761655,196.06477250716
55,1962,161.76280003386745,194.8237686687876
56,1961,161.75414246647077,193.38180807816244
57,1960,161.62192493728588,191.78559469240517
58,1959,161.38083473590981,190.04954001885253
59,1958,160.93903239816225,188.08052074281358
60,1957,160.45808978776026,186.03977324905372
61,1956,159.8295379977207,183.81848788996982
62,1955,159.04057533200066,181.40351685661983
63,1954,158.20020001774338,178.90350677743663
64,1953,157.2708764865864,176.34825309059948
65,1952,156.16824817869067,173.6538096727062
66,1951,154.9350250325291,170.86330444170247
67,1950,153.54919008925498,167.95514614722495
68,1949,152.00915348836398,164.92817855800462
69,1948,150.31427932118882,161.781484742481
70,1947,148.4624656129902,158.51343937477648
71,1946,146.4515672939375,155.1223838062688
72,1945,144.27939501294338,151.60662514840382
73,1944,141.94371391040616,147.9644353237331
74,1943,139.37661272429875,144.21540567508913
75,1942,136.57436851552598,140.35781743134606
76,1941,133.53316777808766,136.3899100093102
77,1940,130.249103477468,132.30987964643222
78,1939,126.71817196696949,128.11587797716922
79,1938,122.93194666745657,123.8011537551262
80,1937,118.88561876214486,119.3634330016047
81,1936,114.57424227120168,114.80037687666004
82,1935,109.99272878522696,110.10957918868549
83,1934,105.13584194351714,105.28856378331058
84,1933,100.22943015676974,100.4063134291293
85,1932,95.27245910709398,95.46154924732521
86,1931,93.50630574953665,93.69539588976784
87,1930,91.79955776033556,91.98864790056679
88,1929,90.1409593744832,90.33004951471443
89,1928,88.47347365423309,88.66256379446432
90,1927,86.63231830663462,86.82140844686586
91,1926,84.69927957170421,84.88836971193545
92,1925,82.69673666500323,82.88582680523444
93,1924,80.81006534505241,80.99915548528362
94,1923,78.83383015683246,79.02292029706368
95,1922,76.90536617558557,77.09445631581681
96,1921,75.05113398577369,75.24022412600492
97,1920,73.28040407988807,73.4694942201193
98,1919,71.61066906942591,71.79975920965714
99,1918,70.11394588458327,70.3030360248145
100,1917,68.61688522851217,68.8059753687434
