ages,birth_year,1.5C,2C
0,2017,43.133451106079654,121.98392213071476
1,2016,50.341214000484655,128.71665948644008
2,2015,57.368917015386074,135.28775870376072
3,2014,64.38402981126092,141.84626770205475
4,2013,71.3350172316438,148.32870350096002
5,2012,78.80728339242509,155.32046816804944
6,2011,86.29057601175083,162.31130737262478
7,2010,93.7653845896588,169.2817085653525
8,2009,101.6746936658574,176.6746542360427
9,2008,109.42132587828286,183.89281024576832
10,2007,117.52466381342607,191.45555000481602
11,2006,125.75450533157795,199.13266218684106
12,2005,134.16470451375392,206.97799167577625
13,2004,142.77966794696616,215.0159358510883
14,2003,151.33786912909372,222.9902652695437
15,2002,159.88701453282528,230.94867390342404
16,2001,168.32071972957502,238.78476478950031
17,2000,176.84712065207333,246.70666129149825
18,1999,185.28964985871818,254.53778336432399
19,1998,193.8460160968061,262.4754403563929
20,1997,202.50170313686598,270.50509349081
21,1996,210.82538427994808,278.19539341660715
22,1995,219.29517953802363,286.02443738849536
23,1994,227.51262228234177,293.59373591456836
24,1993,235.5887815179467,301.0008077957198
25,1992,243.7466503158238,308.46856346256544
26,1991,252.25020439899743,316.26089550765204
27,1990,260.9278241881977,324.20610072724116
28,1989,269.1293407158444,331.6539260313711
29,1988,277.13998785386923,338.8895301890524
30,1987,284.8087903555753,345.7618533891404
31,1986,292.5636710013946,352.6987333442413
32,1985,300.45568122659336,359.75113591441453
33,1984,308.62270402393034,367.05685800578766
34,1983,316.8601324169748,374.409094529845
35,1982,325.39075832894,382.0305479419218
36,1981,334.16815168877224,389.874698199584
37,1980,343.2616033614581,398.01074568914896
38,1979,353.3013528859237,407.0688389597644
39,1978,363.7832769781037,416.5439401503372
40,1977,373.7962238415034,425.5247608806865
41,1976,383.31249196915843,433.9834619452408
42,1975,393.2835598412125,442.8713829984494
43,1974,402.0966805940924,450.5756372116229
44,1973,411.9419643916031,459.28960171296984
45,1972,422.155749581374,468.34945611003326
46,1971,431.68457099575767,476.7015748056789
47,1970,440.86709199910376,484.6844590213102
48,1969,449.59651246271693,492.19114474733874
49,1968,457.80873696687826,499.15698712697747
50,1967,465.4396603817664,505.51769610617623
51,1966,472.8109406297809,511.59474250541
52,1965,479.665505820091,517.1308651198998
53,1964,486.60919287765364,522.7317093136244
54,1963,493.42128101672927,528.1710673547212
55,1962,499.9984379575805,533.3453419909491
56,1961,505.81480765344406,537.7284086635843
57,1960,511.2443287355069,541.6939338890746
58,1959,516.4447266815563,545.3993673629476
59,1958,521.4113868560767,548.8388105991764
60,1957,526.4416035263714,552.3092223861133
61,1956,531.7015642563738,555.9764495470712
62,1955,536.7239225555761,559.3727994786437
63,1954,541.0259338767812,562.0151760349227
64,1953,544.9254727624407,564.288784764902
65,1952,548.4368034772848,566.2083003697485
66,1951,552.1349955836073,568.3492103912287
67,1950,555.7649714590934,570.4568629155118
68,1949,558.6415234108772,571.8464838789662
69,1948,561.3632377963768,573.1163786161172
70,1947,563.9280126408528,574.2649218010877
71,1946,566.3337028744746,575.2904547852544
72,1945,568.5781191461552,576.1912846800641
73,1944,570.6590265962926,576.965683408068
74,1943,572.5085139628599,577.6332423120988
75,1942,574.1228583067618,578.1922426210302
76,1941,575.4982461219981,578.6409237516691
77,1940,576.6307703740532,578.9774819414657
78,1939,577.5164274162292,579.2000688248775
79,1938,578.1467906693911,579.301933155509
80,1937,578.517051316754,579.2808009546623
81,1936,578.6222633784855,579.1343333823924
82,1935,578.4573384451854,578.8601242470924
83,1934,578.0170401561503,578.455697394392
84,1933,577.5272169220774,577.9900355928853
85,1932,576.9868344250763,577.4618599637557
86,1931,576.0582959718407,576.5333215105205
87,1930,575.212004511976,575.6870300506557
88,1929,574.3783032711377,574.8533288098173
89,1928,573.6026264029339,574.0776519416136
90,1927,572.2995687455269,572.7745942842066
91,1926,570.9793815345549,571.4544070732345
92,1925,569.6615742234948,570.1365997621746
93,1924,567.9031612258839,568.3781867645636
94,1923,566.3016800581222,566.7767055968019
95,1922,564.337743781495,564.8127693201745
96,1921,562.2415501785399,562.7165757172196
97,1920,559.9592408061152,560.4342663447949
98,1919,557.4664047101197,557.9414302487994
99,1918,555.0138394746988,555.4888650133785
100,1917,552.5538085434102,553.0288340820898
