ages,birth_year,1.5C,2C
0,2017,68.20412834216327,169.55840506369125
1,2016,75.41189123656827,176.2911424194166
2,2015,82.53740713760277,182.94163278177143
3,2014,89.65033281961071,189.57953292509973
4,2013,96.68863974829878,196.12772497745254
5,2012,104.23774033932061,203.1716279504079
6,2011,111.787390606099,210.20100444898904
7,2010,119.31808833946671,217.19635885130901
8,2009,127.2728263654494,224.60069056635746
9,2008,135.05390102967166,231.81637981437316
10,2007,143.18071114724825,239.36283604296105
11,2006,151.42307079940085,247.009883954516
12,2005,159.83485028040786,254.8114044531892
13,2004,168.44047238290213,262.79183093020146
14,2003,176.97868697993354,270.68993403540867
15,2002,185.49725846190827,278.55349345837016
16,2001,193.8898603575495,286.27619800343615
17,2000,202.36468659687787,294.0662568527755
18,1999,210.74522777595203,301.74717583116575
19,1998,219.22885150512838,309.51613427542475
20,1997,227.80110292528943,317.35868415877394
21,1996,236.0307169280083,324.8435672004716
22,1995,244.395875337371,332.44897204763976
23,1994,252.49817355976685,339.7765009250582
24,1993,260.48078299549115,346.93036699691413
25,1992,268.5668365657476,354.133667859143
26,1991,277.02045072694017,361.65048460818946
27,1990,285.67014752340845,369.30930389369695
28,1989,293.86590050854915,376.46006383958405
29,1988,301.89355479797496,383.3879698812507
30,1987,309.6022610247473,389.94207646459154
31,1986,317.42006869269505,396.5503366525914
32,1985,325.3981568111625,403.2638327591803
33,1984,333.6745368047797,410.2204792581073
34,1983,342.01117782371443,417.20413679569344
35,1982,350.63097809346084,424.4376594841906
36,1981,359.48761473136994,431.8746802398612
37,1980,368.6504866843848,439.5845537204786
38,1979,378.7499424744401,448.19758407049414
39,1978,389.2815971767424,457.2096315807705
40,1977,399.3345141884323,465.7097281505014
41,1976,408.8812093375113,473.67035806486956
42,1975,418.87338060452186,482.0431877166434
43,1974,427.698502816157,489.2156602997004
44,1973,437.5322990836835,497.3632553147543
45,1972,447.7113638592203,505.82251241601637
46,1971,457.1824918439942,513.540171372449
47,1970,466.2846100926322,520.8551041716177
48,1969,474.9111860461699,527.6607230522587
49,1968,482.99875437151087,533.8953901277948
50,1967,490.4836798753864,539.4954827649185
51,1966,497.6880955716295,544.7831465300176
52,1965,504.3554098972797,549.5018024052865
53,1964,511.09194542477366,554.2577855009217
54,1963,517.6646503904432,558.8313777068997
55,1962,523.9709824206569,563.1200423819006
56,1961,529.485885425721,566.5987291658864
57,1960,534.5841082249768,569.6421926052024
58,1959,539.4241968996221,572.4089845053967
59,1958,544.0029014550266,574.8957398901942
60,1957,548.6184696644601,577.4007101374665
61,1956,553.4380571910517,580.091054513899
62,1955,557.9953005436386,582.5004131308415
63,1954,561.8084533895424,584.1470432570843
64,1953,565.1558877800068,585.4146547917726
65,1952,568.0534867114593,586.3191900696438
66,1951,571.0779706954386,587.4374290014849
67,1950,573.9759460741537,588.5160373897754
68,1949,576.0639229570144,588.8715848653002
69,1948,578.5924929918529,589.7549031648707
70,1947,580.1250585528999,589.7294352856899
71,1946,581.1387876608165,589.2723898997916
72,1945,581.4994726553845,588.2496000267581
73,1944,580.2407832805873,585.6947761188272
74,1943,578.0955667234322,582.3884079305093
75,1942,576.827163139278,580.093819485651
76,1941,575.2670345847523,577.6424567122573
77,1940,573.4191168766142,575.038239301357
78,1939,571.7812967816432,572.7790378968889
79,1938,571.2812748521417,571.7910155702779
80,1937,570.7049089854182,570.8608509918838
81,1936,570.2620809308402,570.1992542835725
82,1935,569.0885649416269,568.9428357646174
83,1934,567.5938968611114,567.5019751335287
84,1933,566.1929172567519,566.1495835514628
85,1932,564.6932201525918,564.6932201525918
86,1931,563.4765552277162,563.4765552277162
87,1930,562.9545764355598,562.9545764355598
88,1929,562.9217865571467,562.9217865571467
89,1928,562.9018616027254,562.9018616027254
90,1927,561.8387463298038,561.8387463298038
91,1926,560.8261110050041,560.8261110050041
92,1925,559.8663840867559,559.8663840867559
93,1924,558.5024123167219,558.5024123167219
94,1923,557.150195040325,557.150195040325
95,1922,554.9050078574418,554.9050078574418
96,1921,552.0256697121798,552.0256697121798
97,1920,548.3446290210319,548.3446290210319
98,1919,544.8320756215959,544.8320756215959
99,1918,540.4293431854294,540.4293431854294
100,1917,535.8076283699544,535.8076283699544
