ages,birth_year,1.5C,2C
0,2017,42.863975859194525,121.808035070941
1,2016,56.256107745360886,134.15652769263667
2,2015,67.93519532551616,145.37901147521112
3,2014,79.54475270375642,156.5319650558706
4,2013,91.11151806920357,167.63017879984008
5,2012,103.1869350876783,179.22509432462294
6,2011,115.03780080611745,190.58350662831168
7,2010,126.83358987782609,201.8748883148401
8,2009,138.92944034716947,213.45437537867508
9,2008,150.41334352599588,224.40980235480168
10,2007,162.68829079457248,236.14415144728272
11,2006,174.88823849130998,247.79136980789346
12,2005,187.38565141193973,259.72391303528246
13,2004,199.6900453658369,271.4512877312794
14,2003,212.23266270704517,283.4100333088155
15,2002,224.92616567814918,295.5127995100683
16,2001,237.57902544801792,307.5680449692636
17,2000,250.41472126929432,319.79923637003964
18,1999,263.01224380999105,331.7853517769172
19,1998,275.5594500309302,343.71384875183736
20,1997,288.4596945401125,355.98805935537683
21,1996,301.46366378627806,368.35864738425767
22,1995,314.8263733878702,381.0806056996624
23,1994,327.93424656646226,393.54033466000914
24,1993,341.0635865059981,406.0005872450914
25,1992,354.42538423183305,418.67227183989496
26,1991,367.93258322810516,431.46824879808014
27,1990,382.09059563674464,444.8938466371083
28,1989,396.7712714673788,458.82083124422564
29,1988,410.91625360962837,472.19077040613166
30,1987,425.26855086269785,485.74658835758316
31,1986,439.6593231198826,499.3193599240496
32,1985,454.2426858163923,513.0631149655337
33,1984,468.77533754797616,526.7344659911538
34,1983,483.07671287337547,540.1506494475658
35,1982,497.0053295205353,553.1700935948375
36,1981,510.902384702667,566.1339056747989
37,1980,525.1443181235508,579.4184349125617
38,1979,539.9746603430204,593.2671208781812
39,1978,554.9546924139809,607.2403300475347
40,1977,569.344940512434,620.5984520129375
41,1976,583.3068516775701,633.5027961149725
42,1975,597.6830060568319,646.7958036753893
43,1974,610.8299878711382,658.8339189499892
44,1973,624.7078658067844,671.5804775894715
45,1972,638.8334402604644,684.5521212504441
46,1971,652.333986767035,696.8759650382765
47,1970,665.7279322715216,709.0702737550482
48,1969,678.9243933162578,721.0440000622
49,1968,692.4779932407276,733.3512178621472
50,1967,705.1699844341957,744.7729946199257
51,1966,717.2369519821425,755.5457283190918
52,1965,729.5181611904865,766.5084949516155
53,1964,741.9293317654473,777.576822662738
54,1963,754.4658079886493,788.7405687879615
55,1962,766.6933920825893,799.5652705772783
56,1961,778.0773828117619,809.5159582832225
57,1960,788.7982711464253,818.7728507613133
58,1959,799.2265495217822,827.7061646644937
59,1958,808.8075044494623,835.7599026538825
60,1957,818.3536821938973,843.7462755149593
61,1956,828.1584586645357,851.9583184165533
62,1955,837.7555488717421,859.9294002561301
63,1954,846.7043916272172,867.2186082466792
64,1953,854.6419871729277,873.5302736367095
65,1952,861.9525713122985,879.2490426660828
66,1951,868.9704630331274,884.7096523020696
67,1950,875.3820697386918,889.5989356564309
68,1949,880.71902476112,893.4489596905294
69,1948,884.7627544359168,896.0408697169778
70,1947,887.8617170271439,897.7236006486992
71,1946,889.9310699537318,898.412796325832
72,1945,891.1739956881962,898.3121356834256
73,1944,890.0125520062977,895.8441832793933
74,1943,895.5764651838837,900.2261679944428
75,1942,902.0353489817637,905.6297077573528
76,1941,908.0824755345268,910.7501276255182
77,1940,913.7776337675343,915.6493197962673
78,1939,919.1261254973433,920.3347413673116
79,1938,924.200664840578,924.8807817880164
80,1937,928.39128919623,928.6800132954587
81,1936,931.8247447742764,931.8617892395033
82,1935,934.1045901576542,934.0323504208817
83,1934,935.4590375696832,935.4226692692453
84,1933,936.1583889588527,936.1461820909813
85,1932,936.1920167053155,936.1920167053155
86,1931,931.0639389641457,931.0639389641457
87,1930,926.53524987892,926.53524987892
88,1929,923.28798539791,923.28798539791
89,1928,921.317512238244,921.317512238244
90,1927,918.3563289882107,918.3563289882107
91,1926,915.2922527650841,915.2922527650841
92,1925,911.2578928487386,911.2578928487386
93,1924,907.6723775892187,907.6723775892187
94,1923,904.6416265072467,904.6416265072467
95,1922,898.9345464445523,898.9345464445523
96,1921,895.3338765140402,895.3338765140402
97,1920,891.7694724439432,891.7694724439432
98,1919,887.7235119710878,887.7235119710878
99,1918,882.7159604024419,882.7159604024419
100,1917,879.4125634953082,879.4125634953082
