ages,birth_year,1.5C,2C
0,2017,99.60175913530487,296.19385373398916
1,2016,112.99389102147127,308.5423463556848
2,2015,126.40804218006622,320.91285824980906
3,2014,139.7526631367462,333.21383994201835
4,2013,153.0166734796713,345.40376598894585
5,2012,166.751757204203,358.03448625713423
6,2011,180.22494973689635,370.3732006924482
7,2010,193.60596218188743,382.58978358111375
8,2009,207.25016712643483,395.0397693697117
9,2008,220.24736429952827,406.8122547687761
10,2007,234.00071160075325,419.3105188600241
11,2006,247.6443309279896,431.6688040025064
12,2005,261.5508516842344,444.259859345138
13,2004,275.2299533414951,456.59348339624285
14,2003,289.10282293506333,469.0901632087178
15,2002,303.082337818524,481.6628693746005
16,2001,316.97718351283675,494.120380229355
17,2000,331.01105286921916,506.68648101732316
18,1999,344.7631494060997,518.9404672312221
19,1998,358.4199702980468,531.0695305610761
20,1997,372.3851507300792,543.4774187970173
21,1996,386.40965664091345,555.915209842553
22,1995,400.74878206329873,568.6383090597452
23,1994,414.78922756872976,581.0335277187246
24,1993,428.8478241622387,593.3379473887339
25,1992,443.1359530228444,605.7635776881973
26,1991,457.5669466164615,618.22437410068
27,1990,472.64660492568566,631.2267542668637
28,1989,488.247164690207,644.6435672862573
29,1988,503.3093058132266,657.4178934180031
30,1987,518.5764931968655,670.2939508114891
31,1986,533.8803404914987,683.1040982158266
32,1985,549.3754145978021,696.0036395990085
33,1984,564.8188633388338,708.7504519350049
34,1983,579.9512945882924,721.1323233128966
35,1982,594.6325468388487,733.0095658071674
36,1981,609.2051242215435,744.7251509191127
37,1980,624.0467597782127,756.6572729574208
38,1979,639.402264088552,769.0511977710481
39,1978,654.8348501409271,781.4670250653818
40,1977,669.6060845997309,793.1666667474278
41,1976,683.8784500280467,804.3129473928442
42,1975,698.4955572463467,815.7498166448096
43,1974,711.8150164102983,825.8352203313699
44,1973,725.7671221756966,836.4961568340267
45,1972,739.8695980332616,847.2505520608753
46,1971,753.2506438206884,857.2268071928078
47,1970,766.4296120729385,866.9444750413874
48,1969,779.3165462885162,876.3137983226508
49,1968,792.4673961078674,885.8930506370019
50,1967,804.6645547129626,894.4648786710858
51,1966,816.1457482253431,902.2672602697277
52,1965,827.7513833579677,910.1408521044314
53,1964,839.3983217237734,918.0027639983988
54,1963,851.0396707486539,925.8459944421527
55,1962,862.244566484628,933.2398359410704
56,1961,872.4816056184696,939.6530388474663
57,1960,881.9345424014308,945.2695083561598
58,1959,890.9770991465575,950.4631150657024
59,1958,899.0601017361878,954.6875877095848
60,1957,906.9996508930316,958.7591516058284
61,1956,915.0926407320997,962.9748230497513
62,1955,922.876269829302,966.8719204445747
63,1954,929.9134275010288,970.0134506410424
64,1953,935.7283126168767,972.1075264559876
65,1952,940.710263149751,973.5418434566797
66,1951,945.1986857554837,974.6541889305414
67,1950,948.8850626742619,975.1344483577427
68,1949,951.306090918862,974.5177441805272
69,1948,953.3780441881903,973.7135415718373
70,1947,955.1028639151804,972.7228833323779
71,1946,956.4824753813257,971.546803587438
72,1945,957.5187878953384,970.1863278828588
73,1944,958.2136949693551,968.6424732796744
74,1943,958.5236667177508,966.9485601510277
75,1942,958.4494110701526,965.1048644676314
76,1941,957.9916340050653,963.1116614395952
77,1940,957.1510395570348,960.96922551922
78,1939,955.9283298237776,958.6778304037773
79,1938,954.3282438272952,956.2421640414656
80,1937,952.3518109454684,953.6626199642709
81,1936,950.000056350128,950.9395900962036
82,1935,947.274001029939,948.0734647620454
83,1934,944.1746618131274,945.0646326960394
84,1933,941.0453649842261,942.0167225056875
85,1932,937.8861618385448,938.9298011030156
86,1931,934.8709081564994,935.91454742097
87,1930,931.8336352020253,932.8772744664958
88,1929,928.865892449466,929.9095317139366
89,1928,925.9348407068422,926.9784799713127
90,1927,922.4890352623863,923.5326745268567
91,1926,919.2616780229453,920.3053172874157
92,1925,916.0832932887288,917.1269325531996
93,1924,912.5987419686176,913.6423812330884
94,1923,909.7203929050993,910.76403216957
95,1922,906.0452503656833,907.088889630154
96,1921,902.4393536547867,903.4829929192576
97,1920,898.5302336145528,899.5738728790234
98,1919,894.8083700685172,895.8520093329878
99,1918,890.8317917446599,891.8754310091306
100,1917,886.6878063166432,887.731445581114
