ages,birth_year,1.5C,2C
0,2017,13.388828151148331,35.42167237555865
1,2016,15.49817939690708,37.356707138995965
2,2015,17.559725606946444,39.2439368667139
3,2014,19.563380142541963,41.07327491998798
4,2013,21.530233538262127,42.86654964501645
5,2012,23.348466187058982,44.51193401264068
6,2011,25.17074619409834,46.16208881735081
7,2010,26.87406840078989,47.69400169909625
8,2009,28.496071402700696,49.145304159034424
9,2008,30.150833696978026,50.63002915484579
10,2007,31.677631779305898,51.98744697036523
11,2006,33.08517030680339,53.22625613772489
12,2005,34.417408950707014,54.39041028842456
13,2004,35.69518499397391,55.500740749360276
14,2003,36.926903517441175,56.56538668797183
15,2002,38.121216482395454,57.59299645559308
16,2001,39.28578686310731,58.5912294686964
17,2000,40.45018621989457,59.58965378095596
18,1999,41.6203218785351,60.59417326168472
19,1998,42.7693813154351,61.57794455494642
20,1997,43.86984210897196,62.51344224668488
21,1996,44.96366164627147,63.44262077235328
22,1995,46.0326305911131,64.34726788408254
23,1994,47.04344921694769,65.19408098297862
24,1993,48.01948693364145,66.00082526136535
25,1992,48.9658018443291,66.77260167717175
26,1991,49.90032296600497,67.5273815833269
27,1990,50.80238263341741,68.24453913999716
28,1989,51.672810405406615,68.92494522909897
29,1988,52.51010130736157,69.56702381952064
30,1987,53.29946792423131,70.15602284123203
31,1986,54.05399627363889,70.70506329708483
32,1985,54.782242721353796,71.22273618315191
33,1984,55.48329279479494,71.7081613070149
34,1983,56.13347324798236,72.13433494539868
35,1982,56.770160100464786,72.53867838860033
36,1981,57.36643665877016,72.89431984812066
37,1980,57.946573887161406,73.22557483134966
38,1979,58.49041615604526,73.51233189385289
39,1978,59.006667872907116,73.76308317466342
40,1977,59.499836006715974,73.98236435214926
41,1976,59.984661911714895,74.18494534328516
42,1975,60.44366376209226,74.35337273932123
43,1974,60.88231994389735,74.49315319868748
44,1973,61.28490061048093,74.58973048986334
45,1972,61.67130536965887,74.6630099705567
46,1971,62.04336055874357,74.71482372101713
47,1970,62.39135567908455,74.73546697858755
48,1969,62.71698191501672,74.72663665666398
49,1968,63.02976046358243,74.69744436839864
50,1967,63.331589933212726,74.64977649806134
51,1966,63.59990183701907,74.56105230474886
52,1965,63.862531235678574,74.45909456517278
53,1964,64.10902213834149,74.33343497446931
54,1963,64.3106677134247,74.15354355840834
55,1962,64.50569574288637,73.95761060547842
56,1961,64.6645268224276,73.71601899281531
57,1960,64.78106718341172,73.42263700631594
58,1959,64.86152162265353,73.08363126860378
59,1958,64.90181130622017,72.69439486345034
60,1957,64.91204191735655,72.26496971814029
61,1956,64.89533159724571,71.7984096102413
62,1955,64.83618367800213,71.27915289285039
63,1954,64.75266070209436,70.72519650614633
64,1953,64.61957388838215,70.1300998867284
65,1952,64.44332998066024,69.50034581007347
66,1951,64.22976833878468,68.84185070178233
67,1950,63.972285479522625,68.14808919726656
68,1949,63.67203881959913,67.42029790406313
69,1948,63.31992903889879,66.6488633600281
70,1947,62.91944387729429,65.83737290648338
71,1946,62.47874316695198,64.99408779840896
72,1945,61.99450704253489,64.11579145932686
73,1944,61.47097424051272,63.20682782667043
74,1943,60.8655775283954,62.252493272961324
75,1942,60.18928973229014,61.26433643964225
76,1941,59.4638583007757,60.26469432751008
77,1940,58.66850434846796,59.233391780734046
78,1939,57.7986348502864,58.16645413937064
79,1938,56.84900954375679,57.059093889053955
80,1937,55.82992912243896,55.92235042253427
81,1936,54.721042286931045,54.7366321466297
82,1935,53.52348584409061,53.503857385596746
83,1934,52.2509656327067,52.23853614980249
84,1933,50.975877375790006,50.96999534498046
85,1932,49.69073220339934,49.69073220339934
86,1931,47.94599786573105,47.94599786573105
87,1930,46.25960715985377,46.25960715985377
88,1929,44.644714387527436,44.644714387527436
89,1928,43.061780312717325,43.061780312717325
90,1927,41.61951271381609,41.61951271381609
91,1926,40.17597454004952,40.17597454004952
92,1925,38.842396060097855,38.842396060097855
93,1924,37.58813021324129,37.58813021324129
94,1923,36.30069209160157,36.30069209160157
95,1922,35.129697404385674,35.129697404385674
96,1921,34.07192261928575,34.07192261928575
97,1920,33.08935571281049,33.08935571281049
98,1919,32.149690979139216,32.149690979139216
99,1918,31.280177053759626,31.280177053759626
100,1917,30.429937005975525,30.429937005975525
