ages,birth_year,1.5C,2C
0,2017,41.229396504633385,120.74114169218399
1,2016,49.993095614837344,128.6991781822505
2,2015,57.59276843539684,135.84224720522923
3,2014,65.2643424743341,143.0572174465856
4,2013,72.78772247238028,150.11204582315426
5,2012,80.55655977917952,157.4003816362616
6,2011,88.81383617393993,165.16520461627158
7,2010,97.42961132242044,173.27657237957192
8,2009,106.22424106160452,181.5548387132476
9,2008,114.86362075466688,189.66574220361008
10,2007,124.43611726252644,198.69764053537412
11,2006,134.23546145746892,207.9442553941898
12,2005,144.20556746840694,217.34949171188708
13,2004,154.27933736136302,226.84624234694303
14,2003,164.37071982110234,236.35375304301013
15,2002,174.40171339741647,245.79400984947307
16,2001,184.19625727401817,254.9909394154013
17,2000,193.97524494738616,264.1654226682689
18,1999,203.66722043868046,273.24599102574405
19,1998,213.23323745814224,282.19329879918683
20,1997,222.70604627924862,291.04007371465036
21,1996,231.96879437177728,299.66944058989407
22,1995,241.12823923282502,308.1881341647545
23,1994,250.40872009071393,316.8204708043982
24,1993,259.15870840873345,324.90137176796424
25,1992,267.9715802902589,333.02413051845815
26,1991,276.8741310857743,341.2154592758866
27,1990,285.7439993244671,349.35291294496835
28,1989,294.5622949377985,357.4175173347828
29,1988,302.69675965242413,364.77693906906495
30,1987,310.4452065947616,371.72890670978427
31,1986,318.0412549616924,378.5069543859967
32,1985,325.28586526372044,384.91195703299917
33,1984,332.58836256700835,391.3531536303233
34,1983,339.77132233834635,397.6509215326742
35,1982,346.8016798558909,403.77210655033036
36,1981,353.9440377294902,409.9812213217596
37,1980,361.19776311034434,416.2775425194928
38,1979,368.6122649579663,422.7103881132645
39,1978,375.97846230836535,429.06976256205655
40,1977,383.06243504481023,435.1216091654509
41,1976,389.8097262568406,440.8113333143805
42,1975,396.7368331035154,446.6552933422098
43,1974,403.179211228198,451.98880492718627
44,1973,409.9243208129895,457.6025952158139
45,1972,416.56371349366816,463.08805710378505
46,1971,422.71705982313466,468.0647007145136
47,1970,428.5283131613343,472.6763172649983
48,1969,434.0411096504497,476.9663790165292
49,1968,439.0237198848442,480.7026071264011
50,1967,443.58912855745234,483.99780136331975
51,1966,447.83767349389603,486.95211245098267
52,1965,451.6658544559396,489.461850837206
53,1964,454.9837800892655,491.4369336066938
54,1963,457.97091429284455,493.0513377122942
55,1962,460.67552588238703,494.3530669972134
56,1961,462.9506193115074,495.1948574031054
57,1960,464.7178595121386,495.4981017471641
58,1959,466.1068260371644,495.3921038000133
59,1958,467.1079489833203,494.86600980787773
60,1957,467.89499462640526,494.0932505676049
61,1956,468.58922996388605,493.1947523360412
62,1955,469.12554048033866,492.10505448486396
63,1954,469.36409336153395,490.68397260113335
64,1953,469.2935635121632,488.98751259608235
65,1952,468.89675300903696,486.9988869829586
66,1951,468.24554864735137,484.79040053643087
67,1950,467.41354710241137,482.43607564028764
68,1949,466.2771352764305,479.8127328259773
69,1948,464.98588588416527,477.0696637853637
70,1947,463.53769695087686,474.2052431925693
71,1946,461.930423406734,471.21781239897166
72,1945,460.16187590064993,468.10567851601644
73,1944,458.22981957302267,464.8671134662559
74,1943,456.06634316182533,461.5217085925219
75,1942,453.6677237279626,458.06774512368884
76,1941,451.0301477654342,454.5034624765629
77,1940,448.14970823972465,450.827056888595
78,1939,445.0224015041361,447.0366799942421
79,1938,441.63980097953316,443.12558054710905
80,1937,437.9970978491315,439.0914845684976
81,1936,434.0893461330983,434.9320532184629
82,1935,429.91145742203366,430.64488030539843
83,1934,425.4581953552338,426.22748967493345
84,1933,420.9554083433965,421.7488640956623
85,1932,416.4020620686308,417.20772468876817
86,1931,410.85665092255516,411.6623135426925
87,1930,405.42542587926766,406.23108849940496
88,1929,399.92229961760245,400.7279622377399
89,1928,394.56126639397064,395.366929014108
90,1927,388.94867381278124,389.75433643291865
91,1926,382.84153904860983,383.64720166874736
92,1925,376.3698013892126,377.17546400935004
93,1924,369.71310395085175,370.51876657098916
94,1923,363.2059115246885,364.011574144826
95,1922,355.75985289758034,356.5655155177178
96,1921,348.0811928400701,348.8868554602075
97,1920,340.2260128611188,341.03167548125623
98,1919,332.261406527615,333.0670691477525
99,1918,324.26269623681776,325.0683588569552
100,1917,316.3078533551821,317.11351597531944
