ages,birth_year,1.5C,2C
0,2017,68.84463364683896,217.5542441038987
1,2016,77.60833275704292,225.5122805939652
2,2015,86.25784576445862,233.35613098124358
3,2014,94.97925999025207,241.2718825868996
4,2013,103.52610558861124,248.98904436580358
5,2012,112.2921715859843,256.9015064060662
6,2011,121.52057657821548,265.25248772875494
7,2010,131.08151619474123,273.9122837574233
8,2009,140.79548139039878,282.7014846151966
9,2008,150.32729877678378,291.2853907797899
10,2007,160.76550113978413,300.75264960771335
11,2006,171.40398408495338,310.3972704266038
12,2005,182.18682529456626,320.163443800639
13,2004,193.0470892197524,329.98434623092726
14,2003,203.89092568791781,339.7669777422687
15,2002,214.64069445358044,349.4338412244654
16,2001,225.12069274355972,358.8093756373161
17,2000,235.5521689783609,368.1149697502579
18,1999,245.8640190259453,377.2796584140991
19,1998,256.01759425567997,386.2644877946837
20,1997,266.04596909976743,395.10265527155036
21,1996,275.83261307288603,403.67775225921633
22,1995,285.48460363115686,412.0969770780091
23,1994,295.22659790363264,420.58510669725456
24,1993,304.44558788411035,428.4663576966517
25,1992,313.7352391873172,436.3347748096092
26,1991,323.12263662998413,444.2178194068667
27,1990,332.4857081779741,451.9937934667017
28,1989,341.8058531853584,459.64446783682837
29,1988,350.45118460413664,466.53822973564905
30,1987,358.7198005393868,472.9735353932985
31,1986,366.8456052323464,479.1846448378962
32,1985,374.6298443182859,484.97315717372874
33,1984,382.4821280832544,490.7490338580842
34,1983,390.16725040420533,496.311672859068
35,1982,397.6527719599458,501.62884350360304
36,1981,405.2039188232772,506.96597909856837
37,1980,412.82067970538094,512.3232741879348
38,1979,420.55308325727975,517.7509618668303
39,1978,428.1918544932219,523.0418965115882
40,1977,435.5039285954017,527.9632765509608
41,1976,442.43570085238815,532.4617581167803
42,1975,449.50451761122423,537.0549460252237
43,1974,456.0466807804162,541.0793983085266
44,1973,462.8266285181032,545.3057245401902
45,1972,469.43750584865495,549.3274346887223
46,1971,475.500562430116,552.7661378212761
47,1970,481.1613168715538,555.7677065323658
48,1969,486.46495712747065,558.3776774468611
49,1968,491.1824459248803,560.3741514171376
50,1967,495.42886761798445,561.8726176925742
51,1966,499.30662826047404,562.9758782954108
52,1965,502.71426555874,563.5828582344501
53,1964,505.5638969323376,563.6060538165774
54,1963,508.0082921478083,563.2190925066798
55,1962,510.09891459516035,562.4735130186745
56,1961,511.6919177502839,561.2255424359712
57,1960,512.7120718725972,559.400022960874
58,1959,513.2920199462209,557.1296679055729
59,1958,513.4249701735355,554.4063943641685
60,1957,513.2876726742102,551.4070342269301
61,1956,513.0043506502632,548.2558907840796
62,1955,512.5128196092634,544.8908579948327
63,1954,511.6761520053528,541.175085172708
64,1953,510.4127875981209,537.1624560563288
65,1952,508.7098732182029,532.838838127249
66,1951,506.64363477784303,528.2791967645245
67,1950,504.2920039720964,523.5602215787371
68,1949,501.5357001718502,518.5614079467529
69,1948,498.5263548283523,513.4313561010994
70,1947,495.2659712964389,508.17110506764834
71,1946,491.75652923361616,502.7816815818181
72,1945,487.99998497234213,497.2641002816554
73,1944,483.99827188502434,491.6193638971382
74,1943,479.73114064307816,485.8864331459204
75,1942,475.2008187720166,480.0660482004375
76,1941,470.40950587272414,474.15893995420066
77,1940,465.359374086271,468.1658301762481
78,1939,460.0525685490967,462.087431662394
79,1938,454.4835137064917,455.9160376761202
80,1937,448.6537474970388,449.65219358140695
81,1936,442.5647943702105,443.2964399589
82,1935,436.21816544365714,436.8493126616861
83,1934,429.6153586582113,430.3113428702581
84,1933,423.00998512555236,423.7641261970015
85,1932,416.4020620686308,417.20772468876817
86,1931,410.85665092255516,411.6623135426925
87,1930,405.42542587926766,406.23108849940496
88,1929,399.92229961760245,400.7279622377399
89,1928,394.56126639397064,395.366929014108
90,1927,388.94867381278124,389.75433643291865
91,1926,382.84153904860983,383.64720166874736
92,1925,376.3698013892126,377.17546400935004
93,1924,369.71310395085175,370.51876657098916
94,1923,363.2059115246885,364.011574144826
95,1922,355.75985289758034,356.5655155177178
96,1921,348.0811928400701,348.8868554602075
97,1920,340.2260128611188,341.03167548125623
98,1919,332.261406527615,333.0670691477525
99,1918,324.26269623681776,325.0683588569552
100,1917,316.3078533551821,317.11351597531944
