ages,birth_year,1.5C,2C
0,2017,42.04206056284385,121.27156923027763
1,2016,56.16220902453661,134.0626289718124
2,2015,67.66680073385898,145.11061688355394
3,2014,79.28327765380013,156.2704900059143
4,2013,91.19452279053728,167.71318352117382
5,2012,103.47697643476441,179.51513567170906
6,2011,115.6105460734933,191.15625189568757
7,2010,127.35741767025507,202.39871610726917
8,2009,138.64469775536563,213.1696327868713
9,2008,149.47426662280745,223.47072545161325
10,2007,160.84177394284131,234.29763459555156
11,2006,172.75881573700315,245.66194705358654
12,2005,184.33453714115603,256.67279876449874
13,2004,196.07501143502486,267.8362538004673
14,2003,207.732869017055,278.91023961882524
15,2002,219.40759163316642,289.99422546508555
16,2001,230.98895960627013,300.9779791275158
17,2000,242.30593258933598,311.69044769008116
18,1999,253.7155735764704,322.48868154339647
19,1998,264.92618999238965,333.08058871329683
20,1997,275.8297731751245,343.3581379903888
21,1996,287.0437770099144,353.9387606078938
22,1995,298.298105083383,364.5523373951752
23,1994,309.441604299601,375.0476923931479
24,1993,320.45879150573813,385.39579224483145
25,1992,331.00321543139955,395.2501030394615
26,1991,341.5791123467345,405.1147779167092
27,1990,352.0499311408796,414.8531821412433
28,1989,362.39990330084527,424.4494630776922
29,1988,371.63900042654836,432.91351722305166
30,1987,380.5655657775426,441.04360327242796
31,1986,388.79021452919136,448.4502513333583
32,1985,397.079732419423,455.90016156856456
33,1984,405.3545761170687,463.31370456024626
34,1983,413.8317319169665,470.90566849115686
35,1982,421.8313161167559,477.99608019105796
36,1981,429.965367261401,485.196888233533
37,1980,438.34640597483116,492.6205227638421
38,1979,446.8798424616365,500.1723029967973
39,1978,455.5048844699279,507.79052210348175
40,1977,463.70157241743965,514.9550839179429
41,1976,472.1966704183453,522.3926148557479
42,1975,480.48194470034133,529.5947423188983
43,1974,488.4415722654777,536.4455033443286
44,1973,496.86733777470596,543.7399495573931
45,1972,505.3499100934129,551.0685910833924
46,1971,513.3115935266031,557.8535717978447
47,1970,520.8004777824754,564.142819266002
48,1969,528.0644917140484,570.1840984599904
49,1968,534.2464434874624,575.119668108882
50,1967,539.551342852066,579.1543530377961
51,1966,544.1446047425463,582.4533810794958
52,1965,548.0347499313576,585.0250836924866
53,1964,551.5862894019364,587.2337802992272
54,1963,554.8060031150692,589.0807639143815
55,1962,557.6207466480132,590.4926251427023
56,1961,560.0454351388573,591.4840106103178
57,1960,562.3062699913784,592.2808496062664
58,1959,563.9686706703716,592.4482858130831
59,1958,565.1331071380862,592.0855053425063
60,1957,566.1021393249017,591.4947326459637
61,1956,567.0760575560863,590.875917308104
62,1955,567.6718498748488,589.8457012592365
63,1954,567.9806727369958,588.4948893564577
64,1953,568.1747615280457,587.0630479918274
65,1952,568.2831295394133,585.5796008931973
66,1951,568.0865741734183,583.8257634423604
67,1950,567.6793074075055,581.8961733252441
68,1949,566.8882400849627,579.6181750143721
69,1948,565.9061770190127,577.1842923000738
70,1947,564.6529903798233,574.5148740013786
71,1946,563.0269489073737,571.5086752794738
72,1945,561.029938917259,568.1680789124881
73,1944,559.1854408133087,565.0170720864045
74,1943,557.9304619346503,562.5801647452097
75,1942,556.6198225534508,560.2141813290395
76,1941,555.0572676592508,557.7249197502422
77,1940,553.3691767864939,555.2408628152268
78,1939,551.4426215479904,552.6512374179588
79,1938,548.9328452895967,549.6129622370349
80,1937,546.2408304869721,546.5295545862008
81,1936,543.2172962704084,543.2543407356355
82,1935,539.8226879271402,539.7504481903677
83,1934,536.0217056715112,535.9853373710733
84,1933,532.114863803474,532.1026569356023
85,1932,528.0296166157814,528.0296166157814
86,1931,518.9186488549958,518.9186488549958
87,1930,509.88106954777084,509.88106954777084
88,1929,500.87670143151064,500.87670143151064
89,1928,491.7267978868734,491.7267978868734
90,1927,482.17987995468695,482.17987995468695
91,1926,472.74871588550246,472.74871588550246
92,1925,463.6051362048108,463.6051362048108
93,1924,454.92415840253966,454.92415840253966
94,1923,446.6695286360756,446.6695286360756
95,1922,437.83153584437883,437.83153584437883
96,1921,428.3793805131589,428.3793805131589
97,1920,419.19964399080567,419.19964399080567
98,1919,410.0010357086564,410.0010357086564
99,1918,400.9728136184583,400.9728136184583
100,1917,391.7875141614765,391.7875141614765
