ages,birth_year,1.5C,2C
0,2017,81.9352907414896,304.97019552275617
1,2016,96.05543920318236,317.76125526429087
2,2015,110.11700978729507,330.49373712824564
3,2014,124.2904655820266,343.3381042028192
4,2013,138.70367570537118,356.38533336431414
5,2012,153.43358084980537,369.7126667432994
6,2011,167.96058280911006,382.8008038922074
7,2010,182.04735585737146,395.4127132239755
8,2009,195.6214889360515,407.476274257553
9,2008,208.68342325727863,418.9929083259197
10,2007,222.2293484706166,430.9591139043679
11,2006,236.2713934687642,443.3873246101429
12,2005,249.91922927600797,455.3875121631928
13,2004,263.67944820040674,467.46656560906507
14,2003,277.28783023513597,479.36061849991484
15,2002,290.8446629897465,491.17025861135846
16,2001,304.24052224818774,502.7863578365422
17,2000,317.3051529102746,514.0389532003887
18,1999,330.3963931869665,525.2861711260297
19,1998,343.2225881467476,536.23666348263
20,1997,355.6765057881011,546.7834794113064
21,1996,368.37636724485054,557.5451174625988
22,1995,381.0528341113495,568.2525129872075
23,1994,393.55550222585447,578.7555319834808
24,1993,405.9150982033112,588.9871316963647
25,1992,417.78584625849817,598.6027619387124
26,1991,429.67265155966936,608.1085360052581
27,1990,441.4396254556012,617.3697562301819
28,1989,453.07165559981905,626.3724844340785
29,1988,463.5791568949181,634.1285792483233
30,1987,473.7611284897036,641.4382036535821
31,1986,483.228835230642,647.9137697676183
32,1985,492.74970645068663,654.3238379468295
33,1984,502.24483647659116,660.5906175989262
34,1983,511.8346593574629,666.8920973080204
35,1982,520.8412862136303,672.5510789401919
36,1981,529.8787203865635,678.1822447212729
37,1980,539.0614179856861,683.9007180536903
38,1979,548.2966960852996,689.6144719757796
39,1978,557.5237728733093,695.2692229080603
40,1977,566.225121257541,700.3481754772073
41,1976,575.129893727141,705.5811981953502
42,1975,583.7322021098101,710.4631036630386
43,1974,591.9185275267345,714.8810589541906
44,1973,600.4461571419426,719.6000468325905
45,1972,608.9092006536773,724.2148649804691
46,1971,616.7333295787978,728.1518554181281
47,1970,623.969929884467,731.4630577228547
48,1969,630.8701582902387,734.400265893786
49,1968,636.5818880212889,736.1234031591124
50,1967,641.3141362022443,736.8420477697955
51,1966,645.2362141493562,736.7260538998289
52,1965,648.3604330930508,735.7882581533041
53,1964,651.0549933579464,734.3973694872735
54,1963,653.2729927116085,732.5248329199447
55,1962,654.9457793997997,730.1020794842066
56,1961,656.0926807598984,727.1485172999223
57,1960,656.9442330055242,723.8947614227621
58,1959,657.0701159905248,719.9105686698392
59,1958,656.5722883051135,715.2927056768256
60,1957,655.7570678095432,710.3476211182426
61,1956,654.8284620239656,705.2794507680493
62,1955,653.4071371931458,699.7089866307467
63,1954,651.5878906846917,693.7311494038582
64,1953,649.4234331361084,687.5994785884476
65,1952,646.9489478363141,681.3469079078019
66,1951,643.9513572638341,674.7581497071802
67,1950,640.5309561447485,667.9313270955076
68,1949,636.5206983100272,660.6972599129157
69,1948,632.1669869889662,653.3058678382713
70,1947,627.4749872742182,645.7595168328364
71,1946,622.4497486136212,638.0605198847378
72,1945,617.0962082369573,630.2111385786545
73,1944,611.4191944567212,622.2135846077912
74,1943,605.4052053013214,614.1401108912456
75,1942,599.0605073850213,605.9921292822154
76,1941,592.3911941254423,597.7710126131103
77,1940,585.4031920677136,589.4780961203666
78,1939,578.1022669225764,581.114678804817
79,1938,570.4750605523923,572.6612893367602
80,1937,562.5260069585752,564.1191503935086
81,1936,554.2594503686823,555.4894598972054
82,1935,545.6796476436654,546.7733916786239
83,1934,536.7907706049725,537.9720961188672
84,1933,527.9166324641964,529.1763748638494
85,1932,519.0570820015348,520.3861707216928
86,1931,510.0077046953431,511.3367934155011
87,1930,501.0169052667311,502.34599398688914
88,1929,491.91422062750036,493.2433093476584
89,1928,482.51066676861586,483.8397554887739
90,1927,472.72980235343687,474.0588910735949
91,1926,463.09171884873535,464.4208075688933
92,1925,453.8342292444952,455.1633179646531
93,1924,445.0302259636461,446.35931468380403
94,1923,436.6781888665417,438.0072775866997
95,1922,427.78246393069765,429.11155265085563
96,1921,418.3314507774063,419.6605394975642
97,1920,409.21599990867827,410.5450886288363
98,1919,399.93003367770007,401.25912239785805
99,1918,390.7101927680503,392.03928148820825
100,1917,381.4569653500556,382.7860540702136
