ages,birth_year,1.5C,2C
0,2017,-55.55598144566756,-28.765320323175956
1,2016,-51.2839282256936,-24.727004196815034
2,2015,-46.9657851720649,-20.642598236799337
3,2014,-42.56123175840611,-16.471781916753553
4,2013,-38.14398930006816,-12.302289053408511
5,2012,-33.791186901372434,-8.211103358258537
6,2011,-29.478795048157487,-4.174052175516159
7,2010,-25.26354274601632,-0.2477235741124204
8,2009,-21.06125652259021,3.6521946950650985
9,2008,-17.0059112917106,7.391871702890054
10,2007,-12.907208488005915,11.161741136033218
11,2006,-8.909039335558338,14.818044843013347
12,2005,-4.944148544666375,18.428169178642744
13,2004,-1.0226568287395568,21.982122527309546
14,2003,2.8016895840913296,25.441248347518272
15,2002,6.601966353693829,28.878600309118
16,2001,10.378736137763626,32.29471939125576
17,2000,14.120778736945468,35.67836402164278
18,1999,17.82466308889588,39.026082064899505
19,1998,21.547407020855374,42.39489766753003
20,1997,25.22165173743988,45.71743095525341
21,1996,28.787577621949033,48.933841528880784
22,1995,32.267667489752675,52.06659171217046
23,1994,35.664042640930305,55.117782599064206
24,1993,38.92573472898642,58.044622506772996
25,1992,42.06375523447515,60.85802813796959
26,1991,45.05773359690572,63.53753545244714
27,1990,47.94802865981936,66.12341108859587
28,1989,50.76190209486939,68.64282576441701
29,1988,53.50085532522323,71.0970826746024
30,1987,56.16467915775122,73.48589242836405
31,1986,58.71217564736497,75.76797786713877
32,1985,61.12037356458546,77.92028951611816
33,1984,63.43538374983941,79.98886092283196
34,1983,65.71403604879491,82.01045046675478
35,1982,67.9587422717425,83.98754452047294
36,1981,70.24756639533352,85.99828084072722
37,1980,72.53514581560995,87.9973698323456
38,1979,74.90242627546846,90.06582948642107
39,1978,77.24382147967839,92.09791256959299
40,1977,79.49275660483742,94.02710099176065
41,1976,81.68420598309191,95.88842535942284
42,1975,83.85128597858136,97.7150578570588
43,1974,85.96145026895594,99.47450753351715
44,1973,88.07990558721531,101.24737236375972
45,1972,90.13004596162412,102.9570294854545
46,1971,92.05160802086758,104.54319872006701
47,1970,93.91101667188828,106.0722882501494
48,1969,95.73054927166773,107.56655879057844
49,1968,97.42138413969944,108.93680313453864
50,1967,99.00682352561792,110.2063189836586
51,1966,100.5117807384066,111.40001510555392
52,1965,101.93981878856009,112.52144997597715
53,1964,103.32175707181568,113.60143846253591
54,1963,104.66606745420755,114.63119156568615
55,1962,105.93839156865246,115.57633469282796
56,1961,107.22337778777069,116.52149995972216
57,1960,108.4215993774926,117.36724434401577
58,1959,109.60110366666855,118.18159885477115
59,1958,110.78964215589451,118.99187909460841
60,1957,111.94997356293248,119.76079765677963
61,1956,113.08199846117178,120.4882087462894
62,1955,114.18561689737314,121.17396579591608
63,1954,115.26072838794292,121.81792146074888
64,1953,116.29532530787873,122.41725261976677
65,1952,117.28915100721036,122.97167658755791
66,1951,118.24194638949591,123.48090798406021
67,1950,119.15344988062834,123.94465870020396
68,1949,120.02339739714384,124.36263786300478
69,1948,120.85115469366166,124.73358011483543
70,1947,121.6363372456569,125.05705675810093
71,1946,122.37855524766528,125.3326332076078
72,1945,123.07741351613619,125.55986888225723
73,1944,123.73251139004131,125.73831709423582
74,1943,124.30327013708036,125.87993443293705
75,1942,124.7886307192206,125.98425841674612
76,1941,125.18751402504681,126.05081779800777
77,1940,125.49882035923143,126.07913234007792
78,1939,125.72142891567057,126.06871258724225
79,1938,125.85288235942764,126.01749823508509
80,1937,125.89174744420977,125.92484786365169
81,1936,125.83655685313721,125.7901048053958
82,1935,125.68580811023436,125.61259665803932
83,1934,125.43796244809957,125.39163477782165
84,1933,125.12337767862664,125.1014691622188
85,1932,124.74080792323021,124.74080792323021
86,1931,123.73924842245978,123.73924842245978
87,1930,122.6915990880346,122.6915990880346
88,1929,121.5575393935793,121.5575393935793
89,1928,120.3996725753488,120.3996725753488
90,1927,119.29524309814909,119.29524309814909
91,1926,118.2203350221105,118.2203350221105
92,1925,117.23178917761116,117.23178917761116
93,1924,116.24554220331974,116.24554220331974
94,1923,115.39562872993662,115.39562872993662
95,1922,114.4918579566829,114.4918579566829
96,1921,113.67822723831556,113.67822723831556
97,1920,112.88758581475471,112.88758581475471
98,1919,112.1301573600214,112.1301573600214
99,1918,111.4385936640684,111.4385936640684
100,1917,110.74011584296798,110.74011584296798
