ages,birth_year,1.5C,2C
0,2017,38.06842581223224,116.8111146921147
1,2016,45.82794598615038,124.14950039972952
2,2015,51.12123364004021,128.98618425603848
3,2014,56.24074964059309,133.64909645901056
4,2013,61.44883282930565,138.38862802624553
5,2012,66.78764485437806,143.2469385576261
6,2011,72.22792618124559,148.19476646974326
7,2010,77.61721055327612,153.07964345659354
8,2009,82.88289346220284,157.82896296001184
9,2008,88.3105365566593,162.72812985176844
10,2007,93.946293245286,167.8232883642996
11,2006,99.52659205028804,172.8508578331748
12,2005,105.1366676437917,177.89606373343776
13,2004,110.69031503449922,182.87269186624508
14,2003,116.04387494059408,187.64238000866771
15,2002,121.42298863306934,192.43075693129185
16,2001,126.5887778777609,196.9989318653099
17,2000,131.775911562782,201.58156112983062
18,1999,136.85253315363042,206.0467755868599
19,1998,141.91716033215945,210.49269351936996
20,1997,147.0049585721967,214.95445785376438
21,1996,151.93393049780389,219.25004856208665
22,1995,156.6655666068753,223.34093338497075
23,1994,161.28590527282316,227.31312783267344
24,1993,166.15586066550458,231.5139958709013
25,1992,170.9076587106951,235.5756807850603
26,1991,175.63455403014126,239.59135406641948
27,1990,180.3650802201582,243.5894656868253
28,1989,184.98119089756835,247.45188514071862
29,1988,190.1518902762467,251.84754153905342
30,1987,194.6955830018197,255.59475496300843
31,1986,199.27769217930114,259.35886344977143
32,1985,203.73407219664819,262.9756358120929
33,1984,208.14909271897113,266.5293556284521
34,1983,212.44836764991075,269.94343869040443
35,1982,216.7876768380661,273.3735753786715
36,1981,221.52568961920826,277.1783450576436
37,1980,226.01993654355167,280.715187798866
38,1979,230.32274599285915,284.0363409943232
39,1978,234.26239870919707,286.9691708090543
40,1977,237.96521716108685,289.6398631278935
41,1976,241.2400768164805,291.8571557201863
42,1975,244.40522146083458,293.939153545695
43,1974,247.27623830005132,295.7013038452056
44,1973,250.01309817720184,297.3068444261922
45,1972,252.5885997447212,298.72841520100417
46,1971,254.97538985946082,299.9385025970056
47,1970,257.27103390213875,301.0345098519688
48,1969,259.3539956557436,301.894736867989
49,1968,261.21096971232424,302.5053288000472
50,1967,262.9026998511728,302.9268445032063
51,1966,264.5150926573366,303.24500346058926
52,1965,265.9311825056206,303.342650733053
53,1964,267.2197980087961,303.28842337239035
54,1963,268.4511704414772,303.1470657070928
55,1962,269.46038465873204,302.7533976197244
56,1961,270.37019697600607,302.22990691376987
57,1960,271.28195051292425,301.67766459411564
58,1959,272.10394219552825,301.0046918045431
59,1958,272.75701744893775,300.13055011966117
60,1957,273.24892804486296,299.06265583222853
61,1956,273.5612044635814,297.7821986819025
62,1955,273.6152122234613,296.2101980741525
63,1954,273.54251444031246,294.4778655260778
64,1953,273.25364059609797,292.5630615261832
65,1952,272.8675078988149,290.5851137189025
66,1951,272.38772943832333,288.54805317356886
67,1950,271.7176634201095,286.3556638041516
68,1949,270.77878911836774,283.9298585140805
69,1948,269.68507725034186,281.3843269977063
70,1947,268.4344258412925,278.71744392915105
71,1946,267.0246898213892,275.92755065979264
72,1945,265.45367983954435,273.0129543010769
73,1944,263.71916103615644,269.9719267755555
74,1943,261.7532221491983,266.82405942606084
75,1942,259.55214023957484,263.567633481467
76,1941,257.1121018012858,260.20088835858047
77,1940,254.42919979981556,256.72202029485186
78,1939,251.49943058846625,253.1291809247381
79,1938,248.31436758810275,249.41561900184448
80,1937,244.8692019819403,245.5790605474723
81,1936,241.15898779014645,241.61716672167697
82,1935,237.17863660332102,237.52753133285168
83,1934,232.92291206076058,233.30767822662617
84,1933,228.61766257316245,229.02659017159417
85,1932,224.26185382263603,224.68298828893936
86,1931,221.49864448328603,221.91977894958939
87,1930,218.57134213090757,218.99247659721092
88,1929,215.817811431866,216.23894589816933
89,1928,212.96961254180718,213.3907470081105
90,1927,209.98458276658383,210.40571723288716
91,1926,206.89198059454463,207.31311506084802
92,1925,203.84427123583671,204.26540570214004
93,1924,200.91405815197243,201.33519261827578
94,1923,197.81613984865453,198.23727431495786
95,1922,194.5043585650185,194.92549303132182
96,1921,191.24228142168798,191.6634158879913
97,1920,187.94466938441025,188.36580385071358
98,1919,184.6977230773943,185.11885754369763
99,1918,181.6343728644808,182.0555073307841
100,1917,178.52894739092332,178.95008185722665
