ages,birth_year,1.5C,2C
0,2017,-102.152645406382,-53.58502483762472
1,2016,-94.39312523246386,-46.246639130009896
2,2015,-86.46951204551728,-38.74416040936664
3,2014,-78.71967051190758,-31.41545334206029
4,2013,-70.89800350294297,-24.039844393473157
5,2012,-62.9620787529093,-16.57460716945187
6,2011,-54.94088992250046,-9.048446378313967
7,2010,-46.986642027458686,-1.6132831387459774
8,2009,-39.17168286068817,5.658813715325768
9,2008,-31.210960191102053,13.053230763297044
10,2007,-23.05806015458721,20.61665549908284
11,2006,-14.976298226349973,28.086041314373126
12,2005,-6.880188081689383,35.5471387477619
13,2004,1.1443126905781824,42.914249878073036
14,2003,8.9272075109916,50.044271962422506
15,2002,16.694783073311253,57.163443781534355
16,2001,24.208796909383736,64.0334757125526
17,2000,31.70454422132511,70.88961654530506
18,1999,39.05078553604096,77.60058112131995
19,1998,46.345825894187115,84.264653206916
20,1997,53.62545402363885,90.917576689975
21,1996,60.708287116363074,97.37792461884932
22,1995,67.55642173707588,103.60775009667364
23,1994,74.25649400529329,109.69364644943748
24,1993,81.06846437701948,115.91006542171073
25,1992,87.62646345479486,121.89095191858769
26,1991,94.02562532902994,127.73125709652616
27,1990,100.29633837904952,133.46118910982815
28,1989,106.32238682889187,138.96435461321587
29,1988,112.77603932924384,144.9124987211158
30,1987,118.47724341392656,150.12542359088403
31,1986,124.0929486399337,155.26993522003968
32,1985,129.4605197063073,160.18325653498727
33,1984,134.6658207377903,164.95111164513722
34,1983,139.75859646825694,169.58742405036568
35,1982,144.89510524560274,174.2485724408627
36,1981,150.43449317600238,179.29382212640957
37,1980,155.73476589389833,184.08129682068832
38,1979,160.84872522135026,188.66391531472718
39,1978,165.60607901582162,192.87091730063858
40,1977,170.1336018529427,196.8291557244141
41,1976,174.24062242080734,200.34803716089792
42,1975,178.24583887141532,203.74633716919968
43,1974,181.96529395722027,206.8401754331729
44,1973,185.54837920331403,209.8065958091029
45,1972,188.96842767926884,212.61890731151985
46,1971,192.1986241246291,215.2502707217544
47,1970,195.33707532966568,217.7987689681731
48,1969,198.26279007609799,220.1433870663849
49,1968,200.9635608255333,222.27146960014537
50,1967,203.5006363165361,224.2442552895558
51,1966,205.96043314906268,226.1481507340041
52,1965,208.22650085028718,227.86669547794742
53,1964,210.36818840624431,229.46922854251358
54,1963,212.4879638841823,231.02684644405696
55,1962,214.42151470989208,232.3751666353489
56,1961,216.29220914666732,233.637487086901
57,1960,218.20201181500528,234.91570180471456
58,1959,220.05985087475582,236.1186680104636
59,1958,221.78806596903183,237.16754000829332
60,1957,223.39501991345574,238.07052471336968
61,1956,224.86286576582444,238.80961778840424
62,1955,226.1136034232288,239.30666022160682
63,1954,227.27944245647652,239.69370114163303
64,1953,228.30034912470543,239.9272517068699
65,1952,229.29632286017932,240.12723217398315
66,1951,230.27208187731458,240.29828047792697
67,1950,231.132113027636,240.3448020662831
68,1949,231.79904839464882,240.18934647303377
69,1948,232.38841968516155,239.94620032652875
70,1947,232.8992722077616,239.61428429440238
71,1946,233.33063353577182,239.19249899357501
72,1945,233.68151306522427,238.67972449051632
73,1944,233.95090155897526,238.07481978584232
74,1943,234.06371581251503,237.39897836487015
75,1942,234.01737877028583,236.6510326801236
76,1941,233.8092492251548,235.82978611994542
77,1940,233.43661967133357,234.934012035752
78,1939,232.89671406671482,233.96245272824902
79,1938,232.1841839945356,232.91084789273282
80,1937,231.2955750335667,231.77759572283597
81,1936,230.22732802398116,230.561045845169
82,1935,228.97577478986844,229.25949733586097
83,1934,227.53713364113258,227.87119663480075
84,1933,225.96687184358186,226.3467745507419
85,1932,224.26185382263603,224.68298828893936
86,1931,221.49864448328603,221.91977894958939
87,1930,218.57134213090757,218.99247659721092
88,1929,215.817811431866,216.23894589816933
89,1928,212.96961254180718,213.3907470081105
90,1927,209.98458276658383,210.40571723288716
91,1926,206.89198059454463,207.31311506084802
92,1925,203.84427123583671,204.26540570214004
93,1924,200.91405815197243,201.33519261827578
94,1923,197.81613984865453,198.23727431495786
95,1922,194.5043585650185,194.92549303132182
96,1921,191.24228142168798,191.6634158879913
97,1920,187.94466938441025,188.36580385071358
98,1919,184.6977230773943,185.11885754369763
99,1918,181.6343728644808,182.0555073307841
100,1917,178.52894739092332,178.95008185722665
