ages,birth_year,1.5C,2C
0,2017,6.636492540802313,11.603596406077775
1,2016,7.242871507907758,12.189609000549115
2,2015,7.833491064472188,12.75986218447944
3,2014,8.451621958689058,13.357626706062208
4,2013,9.028999979232154,13.913635570617185
5,2012,9.63173296386186,14.493982268270592
6,2011,10.254022331932898,15.092853560599398
7,2010,10.878299791324071,15.692666178557296
8,2009,11.494752018629109,16.283591493332647
9,2008,12.030405578281405,16.792618375920718
10,2007,12.708153405444165,17.442621577229918
11,2006,13.399969988596325,18.105556946718423
12,2005,14.138049489531793,18.813599537101744
13,2004,14.948343839184012,19.592681684237498
14,2003,15.765013777265287,20.377396437421428
15,2002,16.581067205156618,21.160737603171007
16,2001,17.355851965718113,21.902038524558787
17,2000,18.08676355592319,22.59867977818609
18,1999,18.757368223204416,23.234212254104023
19,1998,19.143636452398145,23.584563314261636
20,1997,19.517769143874272,23.9219157054449
21,1996,19.939963128701372,24.306447513765825
22,1995,20.34822288195457,24.67614385200221
23,1994,20.730986812688986,25.01942312216176
24,1993,21.11362138257372,25.36115769077489
25,1992,21.59860391411497,25.803790647964387
26,1991,22.107048368263825,26.268400465143493
27,1990,22.580950836175266,26.6969464244549
28,1989,23.03181941510161,27.10089842843386
29,1988,23.525858105965444,27.546393475322795
30,1987,24.34222606648991,28.312546929619888
31,1986,25.04743121084143,28.965821120079173
32,1985,25.93352516968123,29.798220200618648
33,1984,26.79828465140709,30.607471405466782
34,1983,27.67722240899015,31.430424583136638
35,1982,28.451873631534376,32.14860087363152
36,1981,29.315741753436914,32.95548903135204
37,1980,30.20376135650855,33.7860082888675
38,1979,31.142020118090052,34.6662302637243
39,1978,32.13225010804991,35.597868712269005
40,1977,32.829645781313054,36.236100393872334
41,1976,33.57711056646853,36.92381018116796
42,1975,34.414679602282725,37.70101373986694
43,1974,35.15029002986617,38.37562775947733
44,1973,36.141511782682855,39.30385180355929
45,1972,36.94352468143692,40.040796828132905
46,1971,37.62436359926024,40.654425224974474
47,1970,38.160574179442975,41.12120628157813
48,1969,38.51604110839657,41.40494417296861
49,1968,38.70389725746604,41.518704203383756
50,1967,38.79053161019415,41.52878741407471
51,1966,38.99425197397816,41.653408676509144
52,1965,39.200757713849505,41.778169040784384
53,1964,39.38599908103081,41.87891464091236
54,1963,39.47707903637379,41.88369197251651
55,1962,39.523376077142416,41.84180748263704
56,1961,39.53903592294932,41.767330443377226
57,1960,39.54669289981953,41.682813970709894
58,1959,39.53178920509012,41.57361388539053
59,1958,39.512752435991935,41.45814634579018
60,1957,39.48929366726205,41.33603169169702
61,1956,39.44487687698071,41.190637254718624
62,1955,39.38738166898099,41.02973955576528
63,1954,39.31274652287631,40.849166970562855
64,1953,39.22561548021272,40.65644166597757
65,1952,39.12517614883361,40.45076664742451
66,1951,39.00775410589653,40.22848394969473
67,1950,38.86642857009297,39.98269040876864
68,1949,38.72843244198648,39.74063781372513
69,1948,38.558177809238465,39.466939660006894
70,1947,38.379863990273954,39.185823938439626
71,1946,38.18653497430998,38.890365370680705
72,1945,37.98196990277323,38.58437609282376
73,1944,37.755550521338904,38.25727333505386
74,1943,37.52027670477312,37.929183318018985
75,1942,37.25764530072381,37.581981885628814
76,1941,36.97189448261025,37.2203142703793
77,1940,36.65732289754944,36.83891708194335
78,1939,36.315813847393606,36.4401456976381
79,1938,35.95133065830565,36.02859034282836
80,1937,35.56884287958096,35.60972404062214
81,1936,35.1617897911054,35.17752780315132
82,1935,34.72164475527602,34.72405896051848
83,1934,34.25053909262539,34.252079544008666
84,1933,33.773616851090196,33.77435141645134
85,1932,33.287859196974765,33.287859196974765
86,1931,32.75228132169044,32.75228132169044
87,1930,32.241126624867746,32.241126624867746
88,1929,31.705268592557253,31.705268592557253
89,1928,31.210790687968874,31.210790687968874
90,1927,30.693447266703572,30.693447266703572
91,1926,30.15754300604023,30.15754300604023
92,1925,29.616698849131108,29.616698849131108
93,1924,29.07449450320024,29.07449450320024
94,1923,28.60937938362317,28.60937938362317
95,1922,27.999832422135267,27.999832422135267
96,1921,27.369218334146236,27.369218334146236
97,1920,26.70560720512877,26.70560720512877
98,1919,25.96666643927267,25.96666643927267
99,1918,25.21630589874386,25.21630589874386
100,1917,24.46856521430079,24.46856521430079
