ages,birth_year,1.5C,2C
0,2017,42.82981262474429,121.7857366560429
1,2016,55.984822350693186,134.4129943399804
2,2015,69.00370214435482,146.9752703360612
3,2014,81.93124950782754,159.44621390195312
4,2013,94.75277071400649,171.79918348665447
5,2012,107.85257955003244,184.41849082898852
6,2011,121.37101827034351,197.44447613454918
7,2010,134.94758646955628,210.51663694858172
8,2009,148.80090357867095,223.85359065218805
9,2008,162.87832082577737,237.40253169659454
10,2007,177.14078270601613,251.1243954007378
11,2006,191.46303262521909,264.893915983814
12,2005,205.7945844118467,278.6605980772008
13,2004,220.16669814774738,292.45569255520127
14,2003,234.54309061206772,306.2482132558494
15,2002,248.66898305558274,319.78336892951324
16,2001,262.6436199487389,333.16039151199595
17,2000,276.61504315071574,346.52731029347234
18,1999,290.43241098438693,359.7332709933245
19,1998,304.1560275802753,372.83817834319376
20,1997,317.6484884800191,385.7046053372948
21,1996,330.8655108953071,398.288246535298
22,1995,343.8820115521085,410.6639959059121
23,1994,356.7520150167498,422.8858551523082
24,1993,369.3329047185708,434.79765749967567
25,1992,381.8566377921413,446.63127744221464
26,1991,394.35605053239954,458.41946814438586
27,1990,406.7179178851368,470.048920927512
28,1989,419.130945070672,481.70825688953033
29,1988,431.651236057811,493.45350489632585
30,1987,443.6669237742592,504.67271331115586
31,1986,455.57187007111685,515.7596589172953
32,1985,466.92845293445686,526.2766341256096
33,1984,478.432551562259,536.9194320474479
34,1983,489.74000719367234,547.341695809874
35,1982,500.6288610248965,557.32137714121
36,1981,512.0376904214281,567.7969634355716
37,1980,523.3536284026834,578.1554972337058
38,1979,534.4240757505949,588.244288327767
39,1978,544.8237849091231,597.6371745846883
40,1977,555.2250923095423,607.0063558520571
41,1976,565.1904341124808,615.9141305918946
42,1975,574.5534403531074,624.1939900136756
43,1974,584.0340622143717,632.5657453352338
44,1973,593.4841613090247,640.8845251337227
45,1972,602.9311425531373,649.1775755851281
46,1971,611.6705982835439,656.7403285967965
47,1970,620.249411604582,664.1195051301198
48,1969,628.6106823359997,671.2580411239531
49,1968,636.7717511804503,678.1727278438811
50,1967,644.6277388707553,684.7585010984966
51,1966,652.3062261530163,691.1427545319767
52,1965,659.6326304797917,697.1507162829323
53,1964,667.0884238960155,703.2636668353177
54,1963,673.8747222693329,708.6772351106564
55,1962,680.1519663868971,713.5515969235976
56,1961,686.0443323120734,718.0106598255452
57,1960,691.7687016186667,722.271033275566
58,1959,697.3776954917137,726.3850626764365
59,1958,702.6479832673465,730.1281335137779
60,1957,707.8278477860736,733.748193149147
61,1956,712.9163435793619,737.2439553733909
62,1955,717.9125102719709,740.61411369837
63,1954,722.8153722669284,743.857340928402
64,1953,727.5736235238838,746.989662029677
65,1952,732.1855030517619,750.0097264475576
66,1951,736.6492174958438,752.9161588067973
67,1950,740.962940339837,755.7075582995869
68,1949,745.1248110831998,758.3824980546207
69,1948,749.1318442602783,760.9377115833507
70,1947,752.9819378963334,763.3715735599001
71,1946,756.6729469215346,765.682425335646
72,1945,760.2026819847944,767.8685740220349
73,1944,763.5689082265109,769.928291541618
74,1943,766.7037143846571,771.8811692372278
75,1942,769.6033775201382,773.7254883377384
76,1941,772.2640841269538,775.4594882599564
77,1940,774.6819271705881,777.0813652413323
78,1939,776.8529030043433,778.5892709163231
79,1938,778.7685850490842,779.9764540385339
80,1937,780.424164488026,781.2406406292661
81,1936,781.8146953413368,782.3794918485753
82,1935,782.9350891996157,783.3906015048544
83,1934,783.7801097021597,784.2714934437332
84,1933,784.5756052596662,785.0911504338059
85,1932,785.3205415542441,785.8482935962555
86,1931,779.8818943017118,780.4096463437234
87,1930,774.3297448546659,774.8574968966774
88,1929,768.8689278378091,769.3966798798206
89,1928,763.5080359753882,764.0357880173998
90,1927,757.862754434316,758.3905064763272
91,1926,751.7927399139377,752.3204919559491
92,1925,745.6584917731518,746.1862438151634
93,1924,739.2413895342042,739.7691415762158
94,1923,732.5944421233411,733.1221941653523
95,1922,725.7567006931972,726.2844527352088
96,1921,718.8534174807703,719.3811695227816
97,1920,711.9350742954732,712.4628263374848
98,1919,704.9704066883687,705.4981587303799
99,1918,697.9849689623339,698.5127210043454
100,1917,691.2335097828412,691.7612618248528
