ages,birth_year,1.5C,2C
0,2017,123.97331375165423,256.8544125434694
1,2016,137.12832347760312,269.48167022740694
2,2015,150.39683539806552,282.2224301058579
3,2014,163.574014888339,294.87185755411997
4,2013,176.63433640504206,307.3871174544954
5,2012,189.96208825301886,320.15247099333146
6,2011,203.69758714228948,333.3082076983725
7,2010,217.4803070607349,346.4937743112448
8,2009,231.52884177010608,359.9277372832647
9,2008,245.79104711100246,373.55752759632486
10,2007,260.2278260852557,387.34399767677536
11,2006,274.71388041514064,401.16179845607627
12,2005,289.1986820542105,414.9603508804079
13,2004,303.71344901694715,428.7708217390879
14,2003,318.22178578644247,442.5562223884817
15,2002,332.4688328727604,456.06161739210603
16,2001,346.55375340933546,469.3860934717478
17,2000,360.62450731678297,482.6775336674685
18,1999,374.53017037255205,495.7849364034134
19,1998,388.33142526004445,508.7681110061801
20,1997,401.89075508777154,521.4894201379697
21,1996,415.1637633844712,533.9043457799321
22,1995,428.22525192667814,546.0875670462693
23,1994,441.12912904787237,558.0928684797103
24,1993,453.7661561734843,569.76571549317
25,1992,466.3683306856757,581.3376505647262
26,1991,478.9685288678328,592.8410903257327
27,1990,491.45356538603266,604.1623849759775
28,1989,504.0121849034857,615.4898098306628
29,1988,516.70063423012,626.8790137869878
30,1987,528.9070817361946,637.7176719353192
31,1986,541.0254243366433,648.3991825277246
32,1985,552.6180746910104,658.4854540992981
33,1984,564.380946268472,668.6718904531325
34,1983,575.9283206957746,678.5975795859513
35,1982,587.037863187808,688.0398151824953
36,1981,598.647769229261,697.936416602713
37,1980,610.1447839521295,707.6737481831993
38,1979,621.3759141348843,717.0984311587057
39,1978,631.9155614234043,725.7832019057445
40,1977,642.4356412218647,734.3995023558695
41,1976,652.4981606691455,742.5088591978263
42,1975,661.9363126065239,749.9439777074654
43,1974,671.4696026687443,757.4238686976147
44,1973,680.9306468791133,764.7786740001221
45,1972,690.3460476741466,772.0343428083912
46,1971,699.0105768674682,778.4849815038133
47,1970,707.4702785008396,784.6759562016448
48,1969,715.6673942799538,790.5488178720371
49,1968,723.6183979776404,796.1190696209901
50,1967,731.2175240073833,801.2802122112314
51,1966,738.5914459799907,806.1581712192302
52,1965,745.5646527944812,810.5766727476123
53,1964,752.6176659006805,815.0154602967567
54,1963,758.9243251831098,818.6638749360732
55,1962,764.6434634552887,821.6801072480628
56,1961,769.8976068103484,824.186026936491
57,1960,774.9019434936555,826.3961512797605
58,1959,779.7073565885607,828.360677381771
59,1958,784.0895623244576,829.8549732881362
60,1957,788.2951833035083,831.1249613386485
61,1956,792.3215701044086,832.1672760898663
62,1955,796.1660132285574,832.9784757847967
63,1954,799.8257412698358,833.5550400280476
64,1953,803.1680847428613,833.9150494190364
65,1952,806.1879475900504,834.0550268637022
66,1951,808.8801100238843,833.9714108457404
67,1950,811.2392244887543,833.6605526713232
68,1949,813.259811456709,833.1187136004982
69,1948,814.9338534021634,832.3383568842328
70,1947,816.2551756252042,831.3152326421681
71,1946,817.2174369123029,830.0449763870897
72,1945,817.8141234948292,828.5231048667337
73,1944,818.0385427310559,826.7450117152803
74,1943,817.8517275104823,824.7467858115947
75,1942,817.2456518652107,822.5241308756031
76,1941,816.2120525504615,820.0726236135228
77,1940,814.7424195984607,817.3877086613844
78,1939,812.8279863975309,814.4646932743943
79,1938,810.4494644458066,811.2875318662857
80,1937,807.5961844936471,807.8503817025818
81,1936,804.2571050891322,804.1471962219986
82,1935,800.4207950617474,800.171715444095
83,1934,796.0754149633784,795.9174558059198
84,1933,791.5501444117516,791.4752838435527
85,1932,786.8401362403332,786.8401362403332
86,1931,781.4014889878009,781.4014889878009
87,1930,775.8493395407553,775.8493395407553
88,1929,770.3885225238984,770.3885225238984
89,1928,765.0276306614775,765.0276306614775
90,1927,759.3823491204051,759.3823491204051
91,1926,753.3123346000267,753.3123346000267
92,1925,747.1780864592412,747.1780864592412
93,1924,740.7609842202934,740.7609842202934
94,1923,734.1140368094301,734.1140368094301
95,1922,727.2762953792867,727.2762953792867
96,1921,720.3730121668594,720.3730121668594
97,1920,713.4546689815622,713.4546689815622
98,1919,706.4900013744577,706.4900013744577
99,1918,699.5045636484233,699.5045636484233
100,1917,692.7531044689304,692.7531044689304
