ages,birth_year,1.5C,2C
0,2017,39.93773672529903,120.78353914271364
1,2016,55.08809168960339,134.4612028719486
2,2015,68.34601528318377,147.26252266794816
3,2014,81.61265328476972,160.07255687195328
4,2013,94.84587318481381,172.83722515051974
5,2012,108.07195111216923,185.5828015841833
6,2011,121.7310360125728,198.7494330698365
7,2010,135.29295019340606,211.8069398654895
8,2009,148.46116311524955,224.4587893818246
9,2008,160.9844574980817,236.45360756195691
10,2007,174.24450823433358,249.17306012211318
11,2006,187.241523649738,261.61734620139083
12,2005,200.21193716997254,274.0228900283847
13,2004,212.7224881962343,285.95642179674616
14,2003,225.044583195144,297.69464503198367
15,2002,237.24595073928486,309.30527580627347
16,2001,249.15089358142967,320.6126043377448
17,2000,261.0611236209148,331.9183299567295
18,1999,272.6424622453339,342.88826144732934
19,1998,284.28269404235067,353.90978399832727
20,1997,295.69322251269136,364.69427856302514
21,1996,307.1896869868646,375.5573618199134
22,1995,319.37758397711593,387.10450752397736
23,1994,331.7603350770433,398.8391144056595
24,1993,344.3117790231928,410.72147099735565
25,1992,358.35909482850286,424.0786736716342
26,1991,373.07987756669434,438.0882343717387
27,1990,390.8378520462283,455.1137942816616
28,1989,409.4914997663774,473.01375077829385
29,1988,427.58000101205704,490.32720904362975
30,1987,446.0985883243241,508.0493170542788
31,1986,464.1999347783477,525.3326628175842
32,1985,481.6532262777416,541.9463466619522
33,1984,499.11714468319695,558.5489643614441
34,1983,515.4071497993248,573.9537776085846
35,1982,531.6085301232548,589.2459854326263
36,1981,547.6400480883267,604.3442602955281
37,1980,563.4324938906161,619.1793019146965
38,1979,579.5739157319763,634.3390675022065
39,1978,595.160394045261,648.9187229138843
40,1977,610.6627322361433,663.3889349717158
41,1976,625.6992954611164,677.3679311335883
42,1975,640.2862395393486,690.8717283929749
43,1974,654.3740723329729,703.8506946468932
44,1973,667.8012580312949,716.146561049051
45,1972,680.7545343889984,727.9459066140472
46,1971,693.1972465444047,739.2119160507157
47,1970,705.0324936443642,749.8475263629599
48,1969,716.1877155764056,759.780013557417
49,1968,726.7876782768608,769.1335941333498
50,1967,736.9569451114854,778.0326465322847
51,1966,746.8385798646843,786.6200474367029
52,1965,756.2705640707272,794.7335890669257
53,1964,765.1751413045371,802.2953234368973
54,1963,773.5509127443057,809.2983647786874
55,1962,781.3978718171991,815.7424415469574
56,1961,788.6716070540064,821.5828737605362
57,1960,795.5633022258588,827.0105730758161
58,1959,802.2143649219788,832.1666712997596
59,1958,808.5813518726151,837.0064413121045
60,1957,814.6007476074727,841.4660321636043
61,1956,820.1802565940923,845.4528075811794
62,1955,825.1810675521479,848.8276101716051
63,1954,829.6278849460568,851.6147928005882
64,1953,833.3296241461334,853.6906018449846
65,1952,836.5243644009313,855.2935269897848
66,1951,839.3804619676969,856.5923424717083
67,1950,841.851692254773,857.5412494075812
68,1949,843.8999789898618,858.1026051543407
69,1948,845.7934281586662,858.5442346747966
70,1947,847.5299377864475,858.8645126430719
71,1946,849.1073628033741,859.0617804105439
72,1945,850.5235138583598,859.1343450886584
73,1944,851.7761560918024,859.0804785999677
74,1943,852.7973782416748,858.9197722873033
75,1942,853.5834573688817,858.6505073795398
76,1941,854.1305799674229,858.2709232934837
77,1940,854.4348390027831,857.7792162665854
78,1939,854.4922308282643,857.1735379333021
79,1938,854.294328864731,856.4471370472388
80,1937,853.8363242953992,855.5977396296971
81,1936,853.1132711404356,854.6230068407323
82,1935,852.1200809904407,853.5205324887372
83,1934,850.8515174847105,852.2878404193422
84,1933,849.5334290339428,850.9939134011404
85,1932,848.1647813202468,849.6374725553162
86,1931,840.0632427708075,841.5359340058769
87,1930,832.1584655155689,833.6311567506383
88,1929,824.2449738523247,825.7176650873939
89,1928,816.3587992877648,817.8314905228342
90,1927,808.4736646470888,809.9463558821582
91,1926,800.1494199383438,801.6221111734133
92,1925,791.9162418076636,793.388933042733
93,1924,784.0706597477129,785.5433509827823
94,1923,776.8642511928496,778.336942427919
95,1922,768.9153368984188,770.3880281334883
96,1921,761.2237041815163,762.6963954165857
97,1920,753.552915254338,755.0256064894073
98,1919,746.3362263485982,747.8089175836677
99,1918,739.2915020797003,740.7641933147696
100,1917,732.3509837913077,733.8236750263769
