ages,birth_year,1.5C,2C
0,2017,97.52542990835731,372.556036008237
1,2016,112.67578487266171,386.23369973747185
2,2015,127.62937854276551,399.7146021725063
3,2014,142.59168662087484,413.20421901554624
4,2013,157.50841015059402,426.5916423714177
5,2012,172.40591883097514,439.90352866226687
6,2011,187.72445447704854,453.58040425335196
7,2010,202.93393157165082,467.0924660267698
8,2009,217.73791106395797,480.14355520161524
9,2008,231.88357866240548,492.4819750969991
10,2007,246.75272696477916,505.48984025943037
11,2006,261.3456810030329,518.1677948177684
12,2005,275.8989899217634,530.7527041952783
13,2004,289.979507865443,542.8117360299557
14,2003,303.8403401135032,554.585938601512
15,2002,317.5493451705828,566.1433067165623
16,2001,330.93095549085734,577.3084087039211
17,2000,344.28701244602235,588.3832213843723
18,1999,357.2834666685892,599.0338304157377
19,1998,370.31163954818487,609.64772945657
20,1997,383.0829320169912,619.9362372218548
21,1996,395.9129809719692,630.2149082430919
22,1995,409.407280628004,641.0891542210836
23,1994,423.0692504187199,652.0623119263909
24,1993,436.897619024344,663.1225509705424
25,1992,452.2195798600255,675.5967977334626
26,1991,468.21274260598886,688.6623935093504
27,1990,487.24084688391406,704.6828081739345
28,1989,507.162389215463,721.5162671337953
29,1988,526.5113914122686,737.7044095421339
30,1987,546.283314407598,754.2428125892659
31,1986,565.6310604101893,770.2844944626257
32,1985,584.3240452064539,785.5989866498602
33,1984,603.0211812970542,800.845317076287
34,1983,620.4954884943487,814.7655653413083
35,1982,637.8333909901975,828.4471522964917
36,1981,654.9547742643523,841.8109457201114
37,1980,671.7915391806313,854.7898146879164
38,1979,688.9328324934523,867.973860347729
39,1978,705.475329769507,880.4613095102778
40,1977,721.8910207897701,892.725102758899
41,1976,737.7994460432492,904.3857175866813
42,1975,753.2179259185418,915.461397853734
43,1974,768.0981223580432,925.9047157007324
44,1973,782.1800506122037,935.5387827398199
45,1972,795.6522604175627,944.5522305431697
46,1971,808.4798970563082,952.9102853173146
47,1970,820.5678482746031,960.5179148349573
48,1969,831.8453313048686,967.3044154704834
49,1968,842.4387354105861,973.3913695379264
50,1967,852.474018919766,978.9048152725943
51,1966,862.0956383653473,983.9892884971074
52,1965,871.1429659738872,988.4842401164328
53,1964,879.5396341144585,992.3133805730538
54,1963,887.3043481791402,995.3765943656441
55,1962,894.4382869341455,997.6753675959537
56,1961,900.8982328334531,999.1667889971595
57,1960,906.8765723424273,1000.0435502623217
58,1959,912.5159247064798,1000.4485748178515
59,1958,917.7799814175412,1000.3598489267594
60,1957,922.6075066740417,999.7170209100696
61,1956,926.908484167428,998.4309487202562
62,1955,930.5463819262936,996.3659649314957
63,1954,933.5481843428156,993.549908909522
64,1953,935.5072120316246,989.9427322180862
65,1952,936.6680925909664,985.7863386516432
66,1951,937.2056856850801,981.2529080546667
67,1950,937.0802276400816,976.3000399755977
68,1949,936.260063046366,970.8934843523905
69,1948,935.0250640352272,965.314066671431
70,1947,933.3802604108998,959.5638828588862
71,1946,931.3305910504404,953.6449909514447
72,1945,928.8809060822692,947.5594120041203
73,1944,926.0359689998556,941.309130971026
74,1943,922.643013407541,934.8598429136036
75,1942,918.7056391872627,928.2128550902383
76,1941,914.2274108661522,921.3694619205983
77,1940,909.2118580779868,914.3309451532048
78,1939,903.6624760171408,907.0985740302817
79,1938,897.5570241946721,899.6445017508574
80,1937,890.8963039929532,891.9690478205257
81,1936,883.6811150632304,884.0725310546906
82,1935,875.9122553306063,875.9552695805555
83,1934,867.5905209990041,867.6175808391016
84,1933,859.3299712474945,859.3426946978071
85,1932,851.1304139560585,851.1304139560585
86,1931,843.0288754066192,843.0288754066192
87,1930,835.1240981513806,835.1240981513806
88,1929,827.2106064881365,827.2106064881365
89,1928,819.3244319235763,819.3244319235763
90,1927,811.4392972829005,811.4392972829005
91,1926,803.1150525741557,803.1150525741557
92,1925,794.8818744434752,794.8818744434752
93,1924,787.0362923835248,787.0362923835248
94,1923,779.8298838286613,779.8298838286613
95,1922,771.8809695342306,771.8809695342306
96,1921,764.189336817328,764.189336817328
97,1920,756.5185478901499,756.5185478901499
98,1919,749.3018589844099,749.3018589844099
99,1918,742.2571347155119,742.2571347155119
100,1917,735.3166164271195,735.3166164271195
