ages,birth_year,1.5C,2C
0,2017,43.798194732633036,122.41780169230455
1,2016,52.330472564982756,130.23089251225858
2,2015,59.58996666577242,137.03378281546742
3,2014,67.09313542090365,144.08034777301782
4,2013,74.18815951449113,150.7068202451277
5,2012,81.19723469771395,157.23539393465862
6,2011,88.78079714090353,164.32650296309782
7,2010,96.45408591343521,171.49538435044929
8,2009,104.08045467754124,178.60538970904685
9,2008,112.0715006810752,186.06795950988098
10,2007,121.02932839644896,194.4851890491592
11,2006,130.79819725357453,203.70132857015795
12,2005,140.46881005116026,212.807071674503
13,2004,150.43147165910784,222.19271402455036
14,2003,160.14264379121974,231.32001439299012
15,2002,169.5562101986179,240.14284403053696
16,2001,178.96908311187332,248.958102633119
17,2000,187.97726161395397,257.36177671469915
18,1999,197.03081303162028,265.8039209985464
19,1998,205.80341430041602,273.9578130213232
20,1997,213.9904329345555,281.5187977498198
21,1996,221.97202464117126,288.8670082391506
22,1995,229.64214004301385,295.896372354806
23,1994,237.64738566627204,303.253473759819
24,1993,245.27302218429585,310.2100229233892
25,1992,252.54848687419582,316.79537448225767
26,1991,260.0190218297894,323.5546873997643
27,1990,267.2308129274704,330.03406392783415
28,1989,274.16435429183684,336.2139140686837
29,1988,280.8828132013848,342.1573299978882
30,1987,286.8490215963244,347.3270590912098
31,1986,292.5735018475497,352.23353865171663
32,1985,298.25461398993707,357.07504313907845
33,1984,304.1880463049472,362.1471747481248
34,1983,310.034764330491,367.10870090468137
35,1982,316.00800487783863,372.17276895214064
36,1981,322.09296302171884,377.3244839938508
37,1980,328.08508409721816,382.3592008862291
38,1979,334.26200535301,387.55446588817085
39,1978,340.13835904614905,392.4239966797029
40,1977,345.9270765652536,397.1805880657569
41,1976,351.5869194296493,401.7828638670517
42,1975,357.32889510314413,406.44169272170114
43,1974,362.6011346932048,410.60506577205564
44,1973,367.63593940590516,414.5085511885922
45,1972,372.15957927855345,417.87826026853304
46,1971,376.3795344763477,420.9215127475892
47,1970,380.11196503594385,423.4543065194704
48,1969,383.4829715593959,425.602578305338
49,1968,386.2280392043105,427.10126382573
50,1967,388.9545135901049,428.55752377583514
51,1966,391.32686573505447,429.6356420720037
52,1965,393.39598313955725,430.3863169006863
53,1964,395.2248562039631,430.8723471012538
54,1963,396.77981421350387,431.05457501281614
55,1962,398.09185554172996,430.963734036419
56,1961,399.378066094142,430.81664156560237
57,1960,400.3893985764195,430.3639781913076
58,1959,401.1749155728968,429.6545307156081
59,1958,401.9929968805146,428.9453950849347
60,1957,402.86452046734456,428.25711378840674
61,1956,403.4687434640548,427.26860321607245
62,1955,403.72506263472815,425.898914019116
63,1954,403.8299053593603,424.34412197882233
64,1953,403.78086863464966,422.6691550984315
65,1952,403.5674159875292,420.8638873413134
66,1951,403.16847911351687,418.9076683824589
67,1950,402.4688166631455,416.6856825808841
68,1949,401.6230357783046,414.352970707714
69,1948,400.7295620620302,412.0076773430912
70,1947,399.57746636167224,409.43934998322726
71,1946,398.2182762487957,406.70000262089576
72,1945,396.59192612781504,403.73006612304425
73,1944,394.8164989629267,400.6481302360223
74,1943,392.72438487169364,397.3740876822528
75,1942,390.3308581029416,393.92521687853036
76,1941,387.6750061388553,390.34265822984673
77,1940,384.72338571667666,386.5950717454096
78,1939,381.53552508984876,382.74414095981706
79,1938,377.86921814303673,378.54933509047515
80,1937,373.850184968822,374.1389090680507
81,1936,369.25309088859314,369.2901353538202
82,1935,364.5009802162275,364.4287404794548
83,1934,360.06203180420823,360.02566350377055
84,1933,355.4918527829257,355.4796459150541
85,1932,350.81557569564904,350.81557569564904
86,1931,345.24086472181006,345.24086472181006
87,1930,340.204407083439,340.204407083439
88,1929,334.98130187135683,334.98130187135683
89,1928,330.18421381478686,330.18421381478686
90,1927,325.3696911557407,325.3696911557407
91,1926,319.9808542544442,319.9808542544442
92,1925,314.3692200620708,314.3692200620708
93,1924,308.83668403102854,308.83668403102854
94,1923,302.91220311988843,302.91220311988843
95,1922,295.96976960433653,295.96976960433653
96,1921,288.11357064632665,288.11357064632665
97,1920,280.352513882165,280.352513882165
98,1919,272.2635072194596,272.2635072194596
99,1918,264.50245027750856,264.50245027750856
100,1917,257.0656652971395,257.0656652971395
