ages,birth_year,1.5C,2C
0,2017,56.27637900705325,181.1506550830558
1,2016,64.80865683940297,188.96374590300982
2,2015,72.86899564519379,196.3048976964049
3,2014,81.17300910532623,203.88972414414158
4,2013,89.04329546736756,211.0203576592414
5,2012,96.80226778574594,218.01935098696893
6,2011,105.11057732772457,225.54749366008565
7,2010,113.48367608321173,233.12037452798518
8,2009,121.78512848798691,240.6016934989185
9,2008,130.42472938940207,248.4021150901883
10,2007,140.00486011479992,257.124181442447
11,2006,150.37005351717673,266.61258419382915
12,2005,160.6112824440373,275.9584529827692
13,2004,171.11911849615075,285.55251424001193
14,2003,181.3438633010796,294.84627946749094
15,2002,191.23994950395286,303.79436690881266
16,2001,201.1048299616976,312.69441203224767
17,2000,210.5350362945186,321.1431261459709
18,1999,219.9811604510981,329.59127802532885
19,1998,229.11881425484123,337.7132003560407
20,1997,237.6437482901617,345.20478011121435
21,1996,245.93649773189318,352.44668728921266
22,1995,253.89138912779842,359.3333817200193
23,1994,262.1554014451004,366.51197413517485
24,1993,270.05150600453,373.2499726000242
25,1992,277.60940693410555,379.5773998668897
26,1991,285.374613310419,386.04008154618674
27,1990,292.89357813823835,392.18478510427184
28,1989,300.1470628298665,397.9925843608523
29,1988,307.198168301567,403.5273444346003
30,1987,313.5100103188805,408.25252947188477
31,1986,319.59339504138836,412.6792914429734
32,1985,325.64696627269205,417.0066174172321
33,1984,331.9666960596518,421.53082018727366
34,1983,338.1641815613429,425.8949364195057
35,1982,344.4534142469284,430.31321081739685
36,1981,350.8203391984831,434.77183916389913
37,1980,357.0611471914438,439.0672604355794
38,1979,363.4542164302102,443.4780985713427
39,1978,369.51311572255617,447.52376447450274
40,1977,375.45205893714257,451.4188458569829
41,1976,381.231074133312,455.1237378998906
42,1975,387.0624198319336,458.85105968453485
43,1974,392.3954631591657,462.0505324916169
44,1973,397.4437778116536,464.9445834644932
45,1972,401.93594309847435,467.2621848107075
46,1971,406.0816981850127,469.2134575094708
47,1970,409.6994139198674,470.6171435516498
48,1969,412.91735551969276,471.6018690186255
49,1968,415.4732171890825,471.90589410241927
50,1967,417.97647429339116,472.1390351506733
51,1966,420.0936867565983,471.9681837884079
52,1965,421.8777918810219,471.4466000715442
53,1964,423.3937924294712,470.63960088799047
54,1963,424.58960234892663,469.5077280964875
55,1962,425.4989129466264,468.0847421761013
56,1961,426.34147047804964,466.59045703278
57,1960,426.8708568369177,464.7785207336432
58,1959,427.1387340146312,462.70066000910947
59,1958,427.4054942438179,460.6154718489296
60,1957,427.69451012346946,458.5464076978957
61,1956,427.6875184234807,456.1752816796828
62,1955,427.30638160432574,453.42403215393534
63,1954,426.749979833416,450.4916137688677
64,1953,425.96791312439797,447.44069125274063
65,1952,424.95353976697214,444.2635662377516
66,1951,423.6896871778677,440.9420250351842
67,1950,422.0650120984981,437.36369852935655
68,1949,420.2380235523705,433.6860848387016
69,1948,418.3070801771176,430.0037981106959
70,1947,416.0647312231421,426.1087402506378
71,1946,413.5660123418512,422.055305875564
72,1945,410.7543970543044,417.7863337011345
73,1944,407.7515398764472,413.4228495864232
74,1943,404.43722086674813,408.8928520082724
75,1942,400.83166667139534,404.21577976177514
76,1941,396.97899774012865,399.4349718515848
77,1940,392.8508874176328,394.52132651404764
78,1939,388.51206739497667,389.5388066003114
79,1938,383.7252916795828,384.2489698001376
80,1937,378.62190954629415,378.78265216061686
81,1936,372.9823481793961,372.91977044251803
82,1935,367.2355517354133,367.0887611626945
83,1934,361.8557424432621,361.7633416740279
84,1933,356.373688577658,356.330216342259
85,1932,350.81557569564904,350.81557569564904
86,1931,345.24086472181006,345.24086472181006
87,1930,340.204407083439,340.204407083439
88,1929,334.98130187135683,334.98130187135683
89,1928,330.18421381478686,330.18421381478686
90,1927,325.3696911557407,325.3696911557407
91,1926,319.9808542544442,319.9808542544442
92,1925,314.3692200620708,314.3692200620708
93,1924,308.83668403102854,308.83668403102854
94,1923,302.91220311988843,302.91220311988843
95,1922,295.96976960433653,295.96976960433653
96,1921,288.11357064632665,288.11357064632665
97,1920,280.352513882165,280.352513882165
98,1919,272.2635072194596,272.2635072194596
99,1918,264.50245027750856,264.50245027750856
100,1917,257.0656652971395,257.0656652971395
