ages,birth_year,1.5C,2C
0,2017,42.66671905447541,121.67928514009036
1,2016,50.39192641279928,128.8484194292447
2,2015,58.03945709930194,136.0393463181665
3,2014,66.10831356055053,143.65159898183427
4,2013,74.47012717505423,151.5448609748604
5,2012,83.50294232335008,160.09717462946438
6,2011,92.73831055981493,168.84008945117884
7,2010,101.72093077570007,177.31830228188375
8,2009,111.44621080179009,186.52721890246536
9,2008,120.94854348381601,195.50107538179142
10,2007,131.3686930325277,205.3806267544076
11,2006,142.11470127518655,215.57390566093963
12,2005,153.0871800473813,225.9815147398936
13,2004,164.18673760130517,236.5040530359173
14,2003,175.36238841473642,247.0958320856763
15,2002,186.53080104899502,257.67350795008383
16,2001,197.5173246150793,268.0624172054945
17,2000,208.80402175769885,278.7446099276137
18,1999,219.95571225618198,289.2848932922776
19,1998,231.00730395282451,299.71777574290127
20,1997,242.19903304954116,310.28347093397497
21,1996,253.3180011972358,320.7690578643848
22,1995,264.9190410805925,331.7293464615542
23,1994,276.1490503923303,342.3112115550468
24,1993,287.5199791913469,353.01305299960984
25,1992,298.9408113328825,363.74377201011396
26,1991,310.598894699576,374.6906333387205
27,1990,322.5208043793207,385.88012844885407
28,1989,334.2817779578401,396.8874108038567
29,1988,345.66645152490946,407.49704139058235
30,1987,356.82300997917946,417.85712054323443
31,1986,367.98141252723053,428.1975224005671
32,1985,379.05970591286285,438.43620813117377
33,1984,389.95131633885046,448.46651785119764
34,1983,400.23323646093115,457.86324610429114
35,1982,410.76264616482337,467.483483308295
36,1981,421.29031867292485,477.07791271422656
37,1980,431.9906766173251,486.8208664755057
38,1979,442.97607258007866,496.8246061844091
39,1978,455.10321489724015,507.9449255999636
40,1977,466.449453207609,518.2590377772821
41,1976,477.73478156404985,528.4867990706218
42,1975,488.85890288142616,538.5277735691527
43,1974,500.01410421497314,548.5741083629935
44,1973,511.38844763752127,558.817132489378
45,1972,523.5031342585041,569.7778883176534
46,1971,535.3718381772574,580.4698895176684
47,1970,547.4325223281581,591.3309368808543
48,1969,559.3146574457322,601.990337260844
49,1968,570.7473807660513,612.1766784566405
50,1967,581.7694070758946,621.9284903307945
51,1966,592.516199866949,631.3810492730679
52,1965,603.7426952768164,641.2891021071151
53,1964,615.0398924340133,651.2434564004737
54,1963,626.0599715399843,660.8908054084662
55,1962,636.9857449359805,670.4136964998393
56,1961,647.7017041405513,679.6963526811817
57,1960,658.3239731171848,688.8546258012425
58,1959,668.8462715512071,697.8819597630883
59,1958,678.5997743527878,706.1082456263774
60,1957,688.5022826337372,714.450949023969
61,1956,698.6475019621657,723.0034347833533
62,1955,708.823835811987,731.5537602655446
63,1954,719.0119243257823,740.0822140144139
64,1953,728.5957521233121,748.0401116562634
65,1952,737.7945881702287,755.6471325931827
66,1951,746.631784369799,762.9270467079108
67,1950,755.6665410524116,770.4394800393201
68,1949,763.6746137365577,776.9606217351367
69,1948,771.5278488544195,783.3620372046503
70,1947,779.2241444312582,789.6421011219827
71,1946,786.7613553972426,795.7991548385123
72,1945,794.1372924012855,801.8315054656842
73,1944,801.3497205837856,807.7374249260507
74,1943,808.3307286827152,813.5365045624437
75,1942,815.0765937589795,819.2270256037378
76,1941,821.5835023065782,824.8072274667392
77,1940,827.8475472909956,830.2753063888983
78,1939,833.8647250655342,835.6294140046722
79,1938,839.6266090510585,840.8627990676663
80,1937,845.1283904307837,845.9731875991821
81,1936,850.3651232248777,850.9582407592744
82,1935,855.3317190239401,855.815552356337
83,1934,860.0229414672674,860.5426462359993
84,1933,864.6646389655573,865.208505166855
85,1932,869.2557772009184,869.811850270088
86,1931,873.1746810419288,873.7307541110986
87,1930,876.8400826428255,877.3961557119949
88,1929,880.0841584689758,880.6402315381456
89,1928,883.0291761390138,883.5852492081833
90,1927,885.2970902264548,885.8531632956242
91,1926,887.3563481307061,887.9124211998758
92,1925,889.6622499140312,890.2183229832009
93,1924,891.2193866988914,891.7754597680611
94,1923,892.9937257938917,893.5497988630615
95,1922,893.8444986360587,894.4005717052282
96,1921,894.363659040959,894.9197321101285
97,1920,894.650590810878,895.2066638800476
98,1919,894.8046813265335,895.3607543957031
99,1918,894.8661871921713,895.4222602613411
100,1917,894.9184097627182,895.4744828318878
