ages,birth_year,1.5C,2C
0,2017,84.297495100279,205.31556914849412
1,2016,92.02270245860285,212.4847034376484
2,2015,100.00141205704071,219.90733996691662
3,2014,108.4014474302245,227.75130227093086
4,2013,117.0799861742543,235.85651367316865
5,2012,126.41511200679471,244.60109003400268
6,2011,135.93841571272057,253.5166541912827
7,2010,145.19463530754928,262.14797612410075
8,2009,155.17921764049552,271.4905345561785
9,2008,164.92656405450785,280.5786151398641
10,2007,175.5774713178115,290.5530389182383
11,2006,186.54001376056786,300.8219044450894
12,2005,197.71483566686445,311.2858801770472
13,2004,209.00257768316703,321.8456308821785
14,2003,220.3518309568653,332.44923822867776
15,2002,231.67930216472809,343.0134134565905
16,2001,242.8103786124821,353.3635484331515
17,2000,254.2271612191489,363.98174863712194
18,1999,265.4945081182554,374.4328767600017
19,1998,276.6482170554993,384.7516715447842
20,1997,287.9285058059816,395.178307862228
21,1996,299.1224575890108,405.4998258794362
22,1995,310.78488665323584,416.2709966443098
23,1994,322.06267225124793,426.63865605946546
24,1993,333.500737238422,437.1025892709824
25,1992,345.00818052669723,447.5717740164629
26,1991,356.77246584788566,458.2335525089476
27,1990,368.8202849382251,469.11449462016265
28,1989,380.7269928377211,479.7898331785485
29,1988,392.27685250435565,490.0443703902079
30,1987,403.61818602505286,500.0263721609672
31,1986,414.9810906907437,509.96587952659667
32,1985,426.28375223292176,519.7810218892363
33,1984,437.41973675273636,529.3653089463578
34,1983,447.9249505689714,538.28058586251
35,1982,458.65674134821666,547.3841907244989
36,1981,469.3660511308706,556.4270559893397
37,1980,480.2274724119956,565.5837645651077
38,1979,491.3535286895087,574.9668303591311
39,1978,503.60101391313833,585.4322675355404
40,1977,515.0474713348256,595.0575757525552
41,1976,526.4130907114488,604.5629011003061
42,1975,537.5977727767215,613.8481005725703
43,1974,548.7940045438575,623.1056173692722
44,1973,560.1725174698337,632.5047606090246
45,1972,572.2546273323287,642.566726254033
46,1971,584.0541257866091,652.3051856136385
47,1970,596.0090962616837,662.1581012373357
48,1969,607.7491329774082,671.754945928719
49,1968,619.0034616895753,680.8242552521431
50,1967,629.8109135825413,689.4047143419458
51,1966,640.3070720244738,697.6317597499868
52,1965,651.2469965780302,706.2603034509567
53,1964,662.2218134165388,714.8813232531389
54,1963,672.864149240268,723.1449612477095
55,1962,683.3572772798947,731.2344387251703
56,1961,693.5861590940334,739.0346651412798
57,1960,703.6673980131552,746.6621915602915
58,1959,713.5952025967936,754.1111741114747
59,1958,722.7020526427933,760.7143536006082
60,1957,731.9064187031007,767.3901547197312
61,1956,741.302689661353,774.2329203654988
62,1955,750.6799664866202,781.0317053924562
63,1954,760.0196013086021,787.7678156877612
64,1953,768.6462399945789,793.891394632184
65,1952,776.7799824373569,799.6229109367241
66,1951,784.4450387000188,804.986945517354
67,1950,792.201495265551,810.5439577596437
68,1949,798.8260225823369,815.0709930793843
69,1948,805.1899172482164,819.4383225708937
70,1947,811.2918448507837,823.6451285567334
71,1946,817.1304607032507,827.6905870637113
72,1945,822.7044097386956,831.5738677580828
73,1944,828.0123264029512,835.2941338799156
74,1943,833.0324785011853,838.8890071805182
75,1942,837.7636961641672,842.3579778917651
76,1941,842.2048023742101,845.7005331306062
77,1940,846.354612906812,848.916156873636
78,1939,850.2119362716983,852.004329931404
79,1938,853.7631808747279,854.9509829716225
80,1937,857.0059092753213,857.7549890077884
81,1936,859.9376548008795,860.4152075375438
82,1935,862.55592107747,862.930484325683
83,1934,864.8581815510597,865.2996511827865
84,1933,867.0917036846605,867.5936985689083
85,1932,869.2557772009184,869.811850270088
86,1931,873.1746810419288,873.7307541110986
87,1930,876.8400826428255,877.3961557119949
88,1929,880.0841584689758,880.6402315381456
89,1928,883.0291761390138,883.5852492081833
90,1927,885.2970902264548,885.8531632956242
91,1926,887.3563481307061,887.9124211998758
92,1925,889.6622499140312,890.2183229832009
93,1924,891.2193866988914,891.7754597680611
94,1923,892.9937257938917,893.5497988630615
95,1922,893.8444986360587,894.4005717052282
96,1921,894.363659040959,894.9197321101285
97,1920,894.650590810878,895.2066638800476
98,1919,894.8046813265335,895.3607543957031
99,1918,894.8661871921713,895.4222602613411
100,1917,894.9184097627182,895.4744828318878
