ages,birth_year,1.5C,2C
0,2017,42.72429000307859,121.71686181919262
1,2016,62.74590957682516,140.6463295241009
2,2015,81.1390478173366,158.58286396703159
3,2014,100.00447928910386,176.99169164121795
4,2013,119.46940713212038,195.9880678627569
5,2012,138.89357718998698,214.93173642693162
6,2011,157.93268066670853,233.47838648890283
7,2010,177.77249429535252,252.81379273236652
8,2009,198.17708348048603,272.7020185119917
9,2008,218.0397991565108,292.03625798531664
10,2007,239.5499612772619,313.00582192997217
11,2006,261.91119473864615,334.8143260552296
12,2005,284.17512284720107,356.51338447054377
13,2004,306.8962077151202,378.65745008056274
14,2003,329.69717685282683,400.87454745459706
15,2002,352.2587588325078,422.84539266442687
16,2001,374.8205154239688,444.8095349452144
17,2000,397.406223775518,466.7907388762633
18,1999,420.5273104784912,489.3004184454173
19,1998,443.25886726309005,511.4132659839972
20,1997,465.92381446084437,533.4521792761087
21,1996,488.6403837087854,555.5353673067647
22,1995,511.29777973179137,577.5520120435835
23,1994,533.4705388128971,599.0766269064441
24,1993,555.5680582810431,620.5050590201366
25,1992,577.4624838400431,641.709371448105
26,1991,599.0811510338469,662.6168166038219
27,1990,620.4491263368893,683.2523773372533
28,1989,642.1885727160612,704.2381324929082
29,1988,663.3611839774377,724.6357007739412
30,1987,684.4173368313346,744.8953743262199
31,1986,704.7593946050896,764.4194314092564
32,1985,724.4247065971833,783.2451357463248
33,1984,744.20947910197,802.1686075451476
34,1983,764.0385665539573,821.1125031281476
35,1982,783.4089764161873,839.5737404904894
36,1981,802.74402654596,857.9755475180921
37,1980,823.2018431194169,877.4759599084282
38,1979,844.6156640396676,897.9081245748284
39,1978,866.9652121482185,919.2508497817723
40,1977,889.4138762272943,940.6673877277974
41,1976,911.339455090746,961.5353995281483
42,1975,932.8225179010913,981.9353155196484
43,1974,953.4910846585665,1001.4950157374175
44,1973,975.1780885422513,1022.0507003249384
45,1972,997.7935933347046,1043.5122743246845
46,1971,1019.568933307709,1064.110911578951
47,1970,1040.4752577234988,1083.8175992070253
48,1969,1061.3796175993718,1103.4992243453137
49,1968,1080.92509210159,1121.7983167230097
50,1967,1099.6359809624278,1139.2389911481578
51,1966,1117.7882125134242,1156.0969888503735
52,1965,1135.376596068681,1172.3669298298098
53,1964,1152.203784620381,1187.8512755176714
54,1963,1168.4692614541768,1202.7440222534892
55,1962,1184.1531312477593,1217.0250097424482
56,1961,1199.2664919261242,1230.7050673975848
57,1960,1213.9316699085032,1243.9062495233914
58,1959,1228.7738141352274,1257.2534292779394
59,1958,1243.421461426253,1270.373859630673
60,1957,1257.7702574111875,1283.1628507322498
61,1956,1272.784832541499,1296.584692293517
62,1955,1288.1195447442171,1310.2933961286046
63,1954,1302.8710476837593,1323.3852643032214
64,1953,1316.296615417092,1335.1849018808737
65,1952,1330.5491003161608,1347.845571669945
66,1951,1344.5248429732205,1360.2640322421626
67,1950,1359.0204774329015,1373.2373433506402
68,1949,1373.1386681513957,1385.868603080805
69,1948,1384.922625369655,1396.2007406507157
70,1947,1399.5098917222476,1409.3717753438027
71,1946,1413.5662183076736,1422.0479446797735
72,1945,1426.18588853005,1433.3240285252793
73,1944,1439.599366438931,1445.4309977120263
74,1943,1453.6510825778314,1458.3007853883908
75,1942,1466.527705156102,1470.122063931691
76,1941,1478.9137134209836,1481.581365511975
77,1940,1490.1969397708115,1492.0686257995446
78,1939,1500.2437276367887,1501.452343506757
79,1938,1508.5893885255416,1509.2695054729804
80,1937,1515.5839649408758,1515.8726890401047
81,1936,1524.5139685594302,1524.5510130246573
82,1935,1532.6590518946787,1532.5868121579058
83,1934,1538.9049653025022,1538.8685970020642
84,1933,1544.746502782713,1544.734295914841
85,1932,1549.928468535425,1549.928468535425
86,1931,1543.0392620525015,1543.0392620525015
87,1930,1537.7900567635925,1537.7900567635925
88,1929,1534.2474466898236,1534.2474466898236
89,1928,1532.0770700434668,1532.0770700434668
90,1927,1529.0676745844369,1529.0676745844369
91,1926,1526.9220473100604,1526.9220473100604
92,1925,1524.5645760634375,1524.5645760634375
93,1924,1520.5943885239135,1520.5943885239135
94,1923,1516.9819848880172,1516.9819848880172
95,1922,1513.7046343238787,1513.7046343238787
96,1921,1505.6410471551314,1505.6410471551314
97,1920,1497.7558195477923,1497.7558195477923
98,1919,1492.5516245540516,1492.5516245540516
99,1918,1485.0023145400635,1485.0023145400635
100,1917,1480.4382002644195,1480.4382002644195
