ages,birth_year,1.5C,2C
0,2017,194.26485329084653,448.17362516302325
1,2016,214.2864728645931,467.10309286793154
2,2015,234.55436053966014,486.27882867416037
3,2014,255.29454144598301,505.92685771164497
4,2013,276.6055183545746,526.1097745106791
5,2012,297.84697824529763,546.1872042359931
6,2011,318.67455330385457,565.8147170984004
7,2010,340.27396108991337,586.1779685223705
8,2009,362.40920767900735,607.0409022873778
9,2008,383.97490482404055,627.2973180121029
10,2007,407.1602806329106,649.1363373948724
11,2006,431.16886774459414,671.7613862049986
12,2005,455.0521967953112,694.2238877462892
13,2004,479.36463681114014,717.0781032469847
14,2003,503.71478555293226,739.9327146774084
15,2002,527.7832635742935,762.4682547566072
16,2001,551.8095242206267,784.9240886849158
17,2000,575.8172358080133,807.3237963213713
18,1999,600.3177156857223,830.1786062447501
19,1998,624.3857703425792,852.5628785934468
20,1997,648.3442049464534,874.7993120497473
21,1996,672.3111355091569,897.0059156929751
22,1995,696.1756506663387,919.0716707768827
23,1994,719.5121701453252,940.5708891949694
24,1993,742.7747296891797,961.8659353718003
25,1992,765.8355180783423,982.8286184120414
26,1991,788.6219143557527,1003.3859360198339
27,1990,811.1590289215227,1023.5626155837407
28,1989,834.0690690992827,1043.980479733294
29,1988,856.4133066199292,1063.701043243072
30,1987,878.6421793750899,1083.1744211062403
31,1986,900.1581124485664,1101.802714317343
32,1985,920.9985174760707,1119.623009226174
33,1984,941.9596636756308,1137.4312485622854
34,1983,962.874209371951,1155.1094108817595
35,1982,983.2388089009802,1172.1538303884026
36,1981,1003.4764249324749,1188.9871477747333
37,1980,1024.7448263785293,1206.766808116304
38,1979,1046.8768917854902,1225.3253642492743
39,1978,1069.8525642338798,1244.6391784929476
40,1977,1092.8346990796904,1263.8706059342646
41,1976,1115.200557070331,1282.3964027904162
42,1975,1137.030164607756,1300.2960866234405
43,1974,1157.9509941828333,1317.1966167253645
44,1973,1179.7561397183529,1334.8883333720025
45,1972,1202.3546781454095,1353.2796359708063
46,1971,1223.9769459572076,1370.6001760707918
47,1970,1244.5930835484367,1386.8194015931501
48,1969,1265.069121815026,1402.8026433202426
49,1968,1284.047068370693,1417.1906204029215
50,1967,1302.0501645024835,1430.505829228383
51,1966,1319.3532679817752,1443.0223740699128
52,1965,1335.9501052620192,1454.7332191517928
53,1964,1351.6422339851467,1465.4391510202865
54,1963,1366.5558177354644,1475.3014984252152
55,1962,1380.6696045709125,1484.2985547088156
56,1961,1393.9933236558188,1492.439589534351
57,1960,1406.6479203752144,1499.845083933038
58,1959,1419.2571502276087,1507.1383241282556
59,1958,1431.4515842166106,1513.953912277406
60,1957,1443.1261180886554,1520.1864031049402
61,1956,1455.2446332964123,1526.7993342587051
62,1955,1467.4607398097685,1533.4459690905685
63,1954,1478.8703445409974,1539.2218650508114
64,1953,1488.5463263056865,1543.4772599649796
65,1952,1498.6403942729723,1548.364983677676
66,1951,1508.0477552285354,1552.7813725127546
67,1950,1517.5639193617812,1557.5230751541947
68,1949,1526.2904378016626,1561.6927902768687
69,1948,1534.4441083397355,1565.5053268137829
70,1947,1542.021040572274,1568.9582590444354
71,1946,1549.0173043289483,1572.0491364532943
72,1945,1555.4289291289942,1574.7754833907165
73,1944,1561.2519036280546,1577.134798728042
74,1943,1566.4209707813775,1579.1870312995509
75,1942,1570.930329129953,1580.929456670213
76,1941,1574.7740996650339,1582.3593139867098
77,1940,1577.9463244397828,1583.4738053254428
78,1939,1580.4409651497012,1584.2700950258886
79,1938,1582.2323359625507,1584.7239210832358
80,1937,1583.3121082545645,1584.8312277987418
81,1936,1583.6718045704374,1584.587886998799
82,1935,1583.3027950559365,1583.989696297762
83,1934,1582.196293782989,1583.0323773084174
84,1933,1580.9118546428042,1581.8830835426459
85,1932,1579.4471262058314,1580.5392780746693
86,1931,1578.723306388387,1579.8154582572256
87,1930,1577.753218469623,1578.8453703384616
88,1929,1576.3108373196035,1577.4029891884418
89,1928,1574.2628587954764,1575.355010664315
90,1927,1572.249536007695,1573.3416878765331
91,1926,1570.6151767060376,1571.707328574876
92,1925,1568.1740031109525,1569.2661549797906
93,1924,1565.1619487711173,1566.2541006399554
94,1923,1562.686022906467,1563.7781747753052
95,1922,1558.5569012109424,1559.649053079781
96,1921,1553.5709544314655,1554.663106300304
97,1920,1548.6765548993726,1549.7687067682111
98,1919,1543.3192361353808,1544.4113880042194
99,1918,1537.8655417110913,1538.9576935799296
100,1917,1532.634712970564,1533.7268648394022
