ages,birth_year,1.5C,2C
0,2017,45.57060415871344,123.67943194049988
1,2016,47.99420140630638,125.89462135358215
2,2015,51.399669708784984,128.84348585847994
3,2014,54.681787494376316,131.66899984649046
4,2013,57.705913376699236,134.22457410733577
5,2012,60.52809544669014,136.5662546836348
6,2011,63.30409759629471,138.849803418489
7,2010,66.2007879110219,141.242086348036
8,2009,69.00681382852567,143.53174886003134
9,2008,71.66718371897024,145.66364254777608
10,2007,74.22246185780959,147.6783225105199
11,2006,76.63450488544746,149.53763620203094
12,2005,79.03471343422484,151.3729750575676
13,2004,81.38883364844763,153.15007601389016
14,2003,83.65110508720386,154.82847568897418
15,2002,85.76528693505128,156.35192076697044
16,2001,87.77730954164589,157.76632906289163
17,2000,89.66655368992407,159.0510687906694
18,1999,91.45539930943673,160.2285072763629
19,1998,93.16403334339199,161.31843206429917
20,1997,94.86291771671196,162.39128253197632
21,1996,96.52406426339279,163.41904786137223
22,1995,98.0400075034964,164.29423981528856
23,1994,99.47173515457442,165.07782324812138
24,1993,100.83470840831076,165.77170914740418
25,1992,102.1217162898884,166.36860389795038
26,1991,103.3548650453096,166.89053061528455
27,1990,104.55628050715099,167.35953150751482
28,1989,105.7251297119854,167.77468948883237
29,1988,106.80359262478319,168.0781094212866
30,1987,107.93649464004946,168.41453213493483
31,1986,109.04179316780235,168.70182997196932
32,1985,110.07229705196295,168.89272620110432
33,1984,111.0795673037588,169.03869574693638
34,1983,111.98422032568001,169.05815689987037
35,1982,112.87658048684806,169.04134456115008
36,1981,113.71036865079985,168.94188962293185
37,1980,114.49009497179813,168.7642117608091
38,1979,115.21049060977805,168.50295114493886
39,1978,115.8770513427606,168.16268897631446
40,1977,116.48312524264378,167.73663674314707
41,1976,117.04224322155312,167.23818765895558
42,1975,117.52990914891691,166.6427067674739
43,1974,118.13529095221328,166.13922203106415
44,1973,118.63928592819893,165.5118977108859
45,1972,119.22772761699542,164.94640860697496
46,1971,119.72895473104572,164.2709330022871
47,1970,120.22033777198813,163.56267925551475
48,1969,120.75473050366884,162.8743372496109
49,1968,121.22338331351335,162.09660793493285
50,1967,121.56823772795376,161.17124791368383
51,1966,121.8558482590682,160.16462459601743
52,1965,122.00464226057268,158.9949760217017
53,1964,121.94966297457351,157.59715387186438
54,1963,121.78227739903612,156.05703819834832
55,1962,121.46319090549105,154.33506940017998
56,1961,121.07176206337476,152.51033753483512
57,1960,120.56077442523546,150.5353540401234
58,1959,119.9540100097759,148.43362515248728
59,1958,119.23646188441508,146.1888600888351
60,1957,118.38282336166608,143.77541668272815
61,1956,117.3709828346434,141.17084258666102
62,1955,116.27093449296541,138.4447858773532
63,1954,115.10274173419737,135.6169583536593
64,1953,113.76178514712832,132.65007161091006
65,1952,112.24242943498017,129.5389007887643
66,1951,110.58094160963327,126.32013087857534
67,1950,108.74852255150692,122.96538846924558
68,1949,106.7734685608344,119.50340349024376
69,1948,104.62830754272116,115.90642282378215
70,1947,102.32403635064026,112.18591997219534
71,1946,99.8491654371218,108.33089180922195
72,1945,97.21397215820295,104.35211215343216
73,1944,94.4115844083514,100.24321568144713
74,1943,91.41656862798527,96.06627143854445
75,1942,88.25314084628937,91.84749962187814
76,1941,84.88510146408595,87.55275355507726
77,1940,81.42941017856316,83.30109620729613
78,1939,77.7599310037278,78.96854687369631
79,1938,73.85469348223293,74.53481042967131
80,1937,69.65247558352742,69.94119968275608
81,1936,65.18147997627042,65.21852444149758
82,1935,60.422898129581384,60.350658392808676
83,1934,55.330701485724326,55.29433318528656
84,1933,50.1644863660021,50.152279498130426
85,1932,44.94899772902937,44.94899772902937
86,1931,43.081423516416216,43.081423516416216
87,1930,41.20706864064049,41.20706864064049
88,1929,39.49275593038275,39.49275593038275
89,1928,38.031875693466986,38.031875693466986
90,1927,36.764065127182825,36.764065127182825
91,1926,35.4602946410198,35.4602946410198
92,1925,33.999066475305675,33.999066475305675
93,1924,32.63228697765801,32.63228697765801
94,1923,31.385997573972787,31.385997573972787
95,1922,30.212174836126795,30.212174836126795
96,1921,29.16557434843915,29.16557434843915
97,1920,28.11448240085264,28.11448240085264
98,1919,27.0714539335039,27.0714539335039
99,1918,26.098420468311,26.098420468311
100,1917,25.252424140030858,25.252424140030858
