ages,birth_year,1.5C,2C
0,2017,14.620077457231742,41.29096723781174
1,2016,17.043674704824685,43.50615665089404
2,2015,19.477578286224066,45.731652397782774
3,2014,21.78813135073619,47.83379762778425
4,2013,23.84258372661211,49.68048236360669
5,2012,25.697017221395555,51.32778344447367
6,2011,27.507229065060567,52.931493189651576
7,2010,29.440120308400587,54.658507795951365
8,2009,31.284370987333254,56.297502501162946
9,2008,32.98466965240715,57.79315427330062
10,2007,34.581615428297006,59.18605764039483
11,2006,36.03709946563807,60.43809920827621
12,2005,37.482556573173426,61.68070929194642
13,2004,38.88376674284547,62.87966343990729
14,2003,40.203660256100456,63.99730255538028
15,2002,41.38605786956829,64.97744738641452
16,2001,42.476951338455954,65.86608967970415
17,2000,43.45578268764725,66.64267145168715
18,1999,44.344992927921936,67.32963370476399
19,1998,45.164408726081895,67.94655410372191
20,1997,45.984556563308274,68.5639598148216
21,1996,46.77751299476935,69.15392807546944
22,1995,47.43587742837839,69.60905897299092
23,1994,48.020702637991654,69.99040595784429
24,1993,48.574636675068405,70.33381060302547
25,1992,49.09062043351621,70.63223833356828
26,1991,49.59091291588165,70.90797255535163
27,1990,50.0977936062292,71.18331702886441
28,1989,50.61058409475638,71.45761749469906
29,1988,51.07106628843497,71.67337554679624
30,1987,51.624227984667215,71.97563554467692
31,1986,52.18818980570557,72.28257390640721
32,1985,52.715924626315186,72.54721855004091
33,1984,53.25915831647804,72.82134964979574
34,1983,53.73321041392169,73.01636064242608
35,1982,54.228737180935596,73.22299822545277
36,1981,54.699790428486615,73.39540341629547
37,1980,55.151210356256655,73.53850441447095
38,1979,55.57805731058545,73.64744838119958
39,1978,55.985966011854366,73.72761594160839
40,1977,56.36866140894465,73.77279940809127
41,1976,56.74005244309287,73.79697439588398
42,1975,57.07602220378386,73.77608998833506
43,1974,57.566119068400795,73.89975988577541
44,1973,57.994143105287904,73.95318241809828
45,1972,58.54636729340687,74.12266167428899
46,1971,59.05157353739997,74.23701049175669
47,1970,59.58757934494145,74.37407713502955
48,1969,60.20768936124001,74.58719683158877
49,1968,60.803606238954885,74.7676125308865
50,1967,61.31773152572182,74.85773785325131
51,1966,61.81708488366989,74.92460450783558
52,1965,62.22056402708167,74.88712223034828
53,1964,62.463687852427114,74.68082191316148
54,1963,62.65549783236011,74.4126299364855
55,1962,62.75743650097675,74.04398152312142
56,1961,62.84960964086747,73.65497513678181
57,1960,62.8855582484119,73.19914444737513
58,1959,62.88983220095639,72.7010319981726
59,1958,62.848677517997686,72.14659983400777
60,1957,62.73767559545905,71.51141004548874
61,1956,62.53561739579475,70.77423423837884
62,1955,62.313414470404304,70.00596455582823
63,1954,62.0920626856934,69.22757740425168
64,1953,61.80070130500327,68.39074448306772
65,1952,61.435324040781964,67.49149596775831
66,1951,61.03385865254675,66.56779625360961
67,1950,60.569199300739314,65.5925763106601
68,1949,60.07136891668878,64.59589605476499
69,1948,59.52998636595083,63.56657603203558
70,1947,58.94476285517796,62.504399808979656
71,1946,58.31540670899492,61.40914879219625
72,1945,57.64162333152234,60.28060219953953
73,1944,56.92311516725593,59.1185370308004
74,1943,56.12955051886034,57.924036284666
75,1942,55.25998370529185,56.69669128610919
76,1941,54.31345105940557,55.43608558742903
77,1940,53.288970468937094,54.141794769886225
78,1939,52.18554090274669,52.8133862389704
79,1938,50.99943315789264,51.44731900761287
80,1937,49.72920349270499,50.04293547261114
81,1936,48.37337001610106,48.599560654263534
82,1935,46.93041133156206,47.11650157872037
83,1934,45.39876512031962,45.59304663264614
84,1933,43.86963835642759,44.07136397504031
85,1932,42.34308071506931,42.55148854957996
86,1931,40.27772435897767,40.48613219348831
87,1930,38.20206166907958,38.41046950359023
88,1929,36.24974949606875,36.4581573305794
89,1928,34.549328223468734,34.75773605797937
90,1927,33.044748714396036,33.253156548906695
91,1926,31.580246030688933,31.78865386519958
92,1925,29.98895104035347,30.19735887486411
93,1924,28.482215258981363,28.690623093492004
94,1923,27.115390470744444,27.323798305255092
95,1922,25.84790804796494,26.056315882475587
96,1921,24.717906993067764,24.926314827578413
97,1920,23.59398231158552,23.802390146096172
98,1919,22.510383492123488,22.718791326634136
99,1918,21.50214205761775,21.710549892128395
100,1917,20.62546873975726,20.833876574267908
